Sl. No,Polling Station No,nNo.StatiogPollin,K MDAIA .REDNAXELA V,RRADHA.NCP,SAMUEL JOSEPH DMK,THENNARASAN.R ANBU NTK,S VEENA. AMAK,S VEDHACHALAM. AMMK,S VAITHEESWARAN. MNM,M.SARUMUGAM.IND,N GANESAN. IND,A.SKESAVAN.IND,G SRINIVASAN. IND,G SOMASUNDARAM. IND,P DHANRAJ. IND,NANDHAKUMAR NARMADA IND,G BHARADAN. IND,K BHARATHI. IND,S PRAVEEN. IND,A.R MURUGAVEL. IND,MUNIYANDI.T IND,RRAVI.IND,C RAGHUL. IND,G VIJAYAKUMAR. IND,T SAMUEL SANTHAKUMAR. JOSEPH IND,Total Valid Votes,Rejected Votes,Total Votes
186,117M,174,1,230,81,0,3,46,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,536,0,5,541
187,117A(W),171,1,209,53,1,1,58,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,498,0,7,505
188,118M,125,0,206,45,0,5,41,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,425,0,1,426
189,118A(W),138,1,190,27,0,3,41,2,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,407,0,4,411
190,119M,112,0,197,50,0,7,46,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,418,0,5,423
191,119A(W),105,1,156,25,0,2,34,1,0,2,0,0,0,0,0,2,1,0,2,0,0,0,1,332,0,6,338
192,120M,126,0,137,29,0,5,42,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,340,0,6,346
193,120A(W),98,0,125,16,1,1,61,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,305,0,2,307
194,121M,118,1,148,29,1,3,26,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,328,0,4,332
195,121A(W),113,0,113,15,0,2,33,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,280,0,1,281
196,122M,166,1,137,26,0,0,58,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,395,0,2,397
197,122A(W),134,1,110,23,2,2,70,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,348,0,4,352
198,123,216,1,268,42,1,4,78,0,0,0,1,0,0,0,1,5,2,1,0,0,0,0,0,620,0,8,628
199,124,129,0,191,45,1,8,30,1,0,0,2,1,0,1,0,3,0,1,0,0,0,0,0,413,0,3,416
200,125M,115,0,191,34,0,2,33,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,381,0,9,390
201,125A(W),109,0,159,23,1,1,41,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,340,0,2,342
202,126M,146,0,186,50,0,1,39,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,425,0,9,434
203,126A(W),164,1,185,33,1,1,48,0,0,1,0,1,0,1,1,4,0,0,0,0,0,1,0,442,0,4,446
