Sl. No,Polling Station No,SAMAJ M.GIRIDHARAN BSP-BAHUJAN PARTY,CONGRESS A.M.MUNIRATHINAM INC-INDIAN NATIONAL,KATCHI A.M.KRISHNAN PMK-PATTALI MAKKAL,TAMILAR PAVENDHAN NTK-NAAM KATCHI Y.R,VISWANATHADOSS THOZHILALARGAL VTVTK-VEERATH VINOTH THIYAGI KATCHI R,IYAKKAM SIRUPANMAYINAR VIJAYAKUMAR DSMI-DESIYA MAKKAL G,NEEDHI MNM-MAKKAL JAWAHAR MAIAM R,IND-Independent T.RAJENDRAN,IND-Independent R.ELUMALAI,IND-Independent K.SEKAR,IND-Independent PALANI A,IND-Independent P.PARTHIBAN,IND-Independent BALAJI J,IND-Independent K.MANI,IND-Independent N.MANI,C.MUNIRATHINAM IND-Independent,M.MUNIRATHINAM IND-Independent,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
165,121M,1,116,354,6,9,0,0,0,3,0,0,3,0,2,0,1,0,0,495,0,1,496,0
166,121A(W),0,133,262,13,4,0,0,7,12,1,1,2,3,5,1,3,3,3,453,0,4,457,0
167,122,4,343,348,19,33,1,1,3,9,2,0,4,1,2,1,3,2,7,783,0,6,789,0
168,123M,0,253,77,47,49,2,0,3,2,0,0,1,0,0,0,1,0,0,435,0,2,437,0
169,123A(W),0,300,55,60,18,0,0,1,4,0,0,2,0,0,0,2,0,3,445,0,0,445,0
170,124M,0,146,277,24,14,2,0,1,2,0,0,1,0,0,0,0,0,1,468,0,3,471,0
171,124A(W),2,147,302,13,6,0,0,3,9,1,0,2,1,3,0,0,0,2,491,0,4,495,0
172,125,1,311,291,2,13,1,0,4,3,0,0,1,0,2,1,1,0,1,632,0,5,637,0
173,126,0,256,408,93,22,1,2,4,5,0,0,3,0,2,0,1,1,1,799,0,7,806,0
174,127,1,150,466,8,9,0,0,3,2,1,0,0,0,0,0,1,0,0,641,0,1,642,0
175,128,1,140,591,40,12,0,0,1,2,0,0,0,0,0,2,2,0,1,792,0,8,800,0
176,129M,3,252,211,44,31,0,0,3,3,0,0,0,0,1,1,3,0,1,553,0,3,556,0
177,129A(W),1,252,231,40,11,0,0,1,4,0,1,3,1,1,0,2,2,3,553,0,8,561,0
178,130,2,90,453,11,15,0,1,4,6,0,0,1,1,1,0,2,0,0,587,0,3,590,0
179,131,0,175,606,7,20,0,0,4,3,0,2,4,0,2,2,0,1,3,829,0,10,839,0
180,132,3,313,430,34,29,0,1,4,3,0,0,3,0,2,0,0,1,0,823,0,1,824,0
181,133M,0,71,357,5,10,0,1,5,2,0,0,0,0,1,0,0,0,0,452,0,2,454,0
182,133A(W),0,88,328,8,9,0,1,3,5,0,0,1,1,3,0,0,0,1,448,0,6,454,0
183,134,1,623,39,47,49,0,1,2,0,0,0,1,0,1,1,0,0,1,766,0,2,768,0
184,135,1,540,56,25,68,0,1,6,0,0,0,0,0,0,1,1,1,1,701,0,1,702,0
185,136M,0,246,224,19,35,0,0,4,1,0,0,0,0,0,0,0,0,1,530,0,7,537,0
186,136A(W),1,247,216,30,17,0,0,1,5,0,0,1,1,1,0,1,0,4,525,0,2,527,0
187,137,0,415,252,101,43,1,1,2,0,0,0,2,1,0,0,0,0,0,818,0,3,821,0
188,138,1,152,241,60,5,0,0,2,1,0,0,0,0,1,0,0,0,2,465,0,3,468,0
189,139M,1,128,278,22,19,0,1,1,1,0,0,0,0,0,0,0,0,3,454,0,11,465,0
190,139A(W),2,151,226,39,6,0,1,1,2,0,0,0,0,1,0,1,0,1,431,0,9,440,0
191,140,0,188,438,18,20,0,2,1,4,0,0,2,0,1,0,1,0,1,676,0,6,682,0
192,141M,0,180,278,19,18,1,1,3,2,0,0,0,0,0,0,0,0,0,502,0,3,505,0
193,141A(W),2,200,244,28,7,2,1,1,2,2,0,3,1,3,0,1,1,0,498,0,4,502,0
194,142,0,209,253,48,21,0,0,1,4,0,0,2,1,0,2,0,0,2,543,0,3,546,0
195,143,4,239,380,27,11,0,2,2,9,0,0,2,2,3,0,4,0,3,688,0,5,693,0
196,144,2,129,342,50,4,0,0,0,18,0,2,2,1,4,1,1,0,0,556,0,2,558,0
197,145,4,198,216,42,11,0,1,1,1,0,0,0,0,1,0,0,0,0,475,0,0,475,0
198,146,4,221,331,17,28,0,1,3,7,0,0,6,0,0,3,1,0,1,623,0,4,627,0
199,147,0,226,120,29,13,0,0,1,0,1,0,1,1,1,2,0,0,2,397,0,2,399,0
200,148M,1,108,340,2,17,0,1,0,1,0,0,0,0,0,1,0,0,0,471,0,3,474,0
201,148A(W),1,134,323,2,10,0,1,2,4,1,0,2,1,0,0,0,0,2,483,0,6,489,0
202,149M,1,194,230,11,25,0,0,0,0,0,0,0,0,0,0,0,0,0,461,0,2,463,0
203,149A(W),2,225,204,9,7,0,1,3,1,0,0,0,0,1,0,0,1,0,454,0,3,457,0
204,150,1,301,60,30,12,0,0,4,1,0,0,0,0,0,1,1,0,1,412,0,1,413,0
205,151M,1,99,443,25,18,0,0,1,3,0,0,1,0,2,0,0,0,0,593,0,0,593,0
206,151A(W),0,111,408,23,6,2,0,1,8,1,1,4,1,4,0,1,0,1,572,0,1,573,0
207,152,3,509,218,80,54,2,1,4,2,1,1,2,3,4,1,2,1,3,891,0,5,896,0
208,153M,2,194,221,10,35,0,1,2,1,0,0,1,0,0,0,2,0,1,470,0,3,473,0
209,153A(W),3,210,173,12,6,0,1,2,2,0,0,1,0,3,4,1,0,1,419,0,1,420,0
210,154,1,225,17,8,40,0,0,1,0,0,0,2,0,0,0,0,0,0,294,0,2,296,0
211,155,2,323,303,29,29,0,0,3,2,0,2,3,1,2,0,1,0,1,701,0,5,706,0
212,156,1,353,93,29,49,0,0,1,0,0,0,1,1,0,0,1,0,1,530,0,1,531,0
213,157,2,154,468,15,14,0,0,1,6,0,0,2,0,1,0,2,0,2,667,0,7,674,0
214,158,0,222,346,19,8,0,0,2,2,0,0,0,0,2,0,1,0,2,604,0,2,606,0
215,159,0,95,580,13,6,0,0,4,4,0,2,2,2,1,1,0,1,0,711,0,3,714,0
216,160,1,129,525,2,5,1,1,8,5,1,0,0,1,2,0,0,1,2,684,0,3,687,0
217,161,1,109,432,30,6,1,0,4,5,0,0,0,2,7,0,1,1,3,602,0,4,606,0
218,162,0,167,323,38,18,0,0,3,8,0,0,3,1,2,2,0,0,0,565,0,0,565,0
219,163M,3,171,210,24,17,0,1,2,2,1,0,0,0,1,0,0,0,3,435,0,3,438,0
220,163A(W),1,193,172,31,6,0,0,1,9,1,0,0,0,0,2,3,0,6,425,0,2,427,0
221,164,0,325,175,52,16,0,0,26,3,0,0,2,0,0,0,1,0,1,601,0,1,602,0
222,165,0,32,437,4,11,0,0,0,9,1,0,2,0,1,0,2,2,1,502,0,4,506,0
223,166M,4,227,217,26,33,0,0,0,0,0,0,0,1,0,0,0,0,1,509,0,4,513,0
224,166A(W),2,282,216,28,15,0,0,0,4,0,0,1,0,1,2,1,1,10,563,0,4,567,0
225,167,1,75,378,41,3,0,1,3,12,0,0,1,0,4,2,0,0,0,521,0,0,521,0
226,168,1,413,137,66,48,0,1,5,4,0,1,1,1,1,1,1,0,0,681,0,3,684,0
227,169,1,258,208,34,15,0,0,1,4,0,2,0,1,5,7,0,1,4,541,0,2,543,0
228,170,4,379,96,40,49,0,4,13,4,0,0,1,0,1,1,0,1,3,596,0,2,598,0
229,171,2,488,41,45,26,0,0,0,1,0,1,0,0,1,2,1,0,0,608,0,2,610,0
230,172,3,439,70,29,21,2,0,1,1,0,1,1,0,1,0,2,2,0,573,0,2,575,0
231,173,3,482,115,33,92,0,0,3,0,0,0,2,0,1,1,1,1,5,739,0,7,746,0
232,174,3,90,343,3,11,0,1,4,1,0,0,2,0,4,1,1,0,0,464,0,5,469,0
233,175,3,305,141,33,4,0,0,12,0,0,0,0,0,0,0,1,0,0,499,0,5,504,0
234,176,1,62,523,9,31,0,0,0,0,0,0,0,0,0,0,1,0,0,627,0,5,632,0
235,177,4,58,560,13,29,0,0,4,4,0,1,0,0,1,0,1,0,1,676,0,2,678,0
236,178,0,228,473,32,38,0,0,0,2,0,1,2,1,3,0,0,0,0,780,0,11,791,0
237,179,1,30,671,6,7,0,1,0,4,0,0,0,1,1,0,0,1,0,723,0,2,725,0
238,180,2,248,239,23,27,0,0,2,3,0,0,1,1,0,1,1,1,0,549,0,5,554,0
