Polling Station No.,Building,Polling Areas
49,"Panchayat Uniton Middle School, West side, Nagalapuram","1.Panikkarkulam (R.V) And (P) Nagalapuram Block 3 , 99.OVERSEAS ELECTORS"
50,"Panchayat Union Primary School, North East Side, Ayyanaroothu","1.Ayyanaroothu (R.V) And (P) North street Block 1 , 99.OVERSEAS ELECTORS"
51,"Panchayat Union Primary School, Middle Portion, Ayyanaroothu","1.Ayyanaroothu (R.V) And (P) Sandhi street Block 2 , 2.Ayyanaroothu (R.V) And (P) South Street Block 3 , 99.OVERSEAS ELECTORS"
52,"Panchayat Union Primary School, South Portion, Ayyanaroothu","1.Ayyanaroothu (R.V) And (P) Middle street Block 4 , 2.Ayyanaroothu (R.V) And (P) A.Kuppanapuram Block 6 , 99.OVERSEAS ELECTORS"
53,"Panchayat Union Primary School, South West Portion, Ayyanaroothu","1.Ayyanaroothu (R.V) And (P) Pallivasal Street Block 5 , 2.Ayyanaroothu (R.V) And (P) Indhira Nagar Street Block 7 , 99.OVERSEAS ELECTORS"
54,"Panchayat Union Primary School, New Building,","1.Ucilankulam (R.V) And (P) Single Houses Street Block 1 , 2.Ucilankulam (R.V) And (P) North Street Block 2 , 3.Uchilankulam (R.V) And (P) South Street Block 2 , 99.OVERSEAS ELECTORS"
55,"Panchyat Union Primary School,SSA Building, North Portion","1.Therku Elanthaikulam (R.V) And (P) Ramalingam Block 3 , 2.Therku Elanthaikulam (R.V) And (P) Manankathan Block 7 , 3.Therku Elanthaikulam (R.V) And (P) Manankathan Block 8 , 99.OVERSEAS ELECTORS"
56,Community Hall,"1.Therku elanthaikulam (R.V) And (P) Therku Elanthaikulam Block 1 , 99.OVERSEAS ELECTORS"
57,"Panchayat Union Primary School, Main Building, East Portion,","1.Therku Elanthaikulam (R.V) And (P) Aathikulam Block 4 , 2.Therku Elanthaikulam (R.V) And (P) Aathikulam Block 5 , 99.OVERSEAS ELECTORS"
58,Panchayat Union Primary .School. Main Building,"1.Therku Elanthaikulam (R.V) And (P) Kammapatti Block 2 , 99.OVERSEAS ELECTORS"
59,Hindu Primary School,"1.Therku Elanthaikulam (R.V) And (P) Aathikulam Block 6 , 99.OVERSEAS ELECTORS"
60,"T.D.T.A.. Appasamy Middle School, New Building","1.Rajapudhukudi (R.V) And (P) Rajapudhukudi Block 1 , 99.OVERSEAS ELECTORS"
61,"T.D.T.A.. Appasamy Middle School, New Building North","1.Rajapudhukudi (R.V) And (P) Rajapudhukudi Block 2 , 99.OVERSEAS ELECTORS"
62,"T.D.T.A Appasamy Middle School , Old Building","1.Sannathu puthukudi (R.V) And (P) Sannathu puthukudi Block 1 , 2.Sannathu Puthukudi (R.V) And (P) Sannathu Puthukudi Block 2 , 3.Sannathu Puthukudi (R.V) And (P) Sannathu Puthukudi Block 3 , 4.Sannathu Puthukudi (R.V) And (P) Sannathu Puthukudi Block 4 , 5.Sannathu Puthukudi (R.V) And (P) Sannathu Puthukudi Block 5 , 99.OVERSEAS ELECTORS"
63,"T.D.T.A.Primary School, Main Building","1.Therkumaillodai (R.V) And (P) Therkumaillodai Brlock 1 , 2.TherkuMaillodai (R.V) And (P) TherkuMaillodai Block 2 , 3.TherkuMaillodai (R.V) And (P) VadakuMaillodai Block 4 , 4.TherkuMaillodai (R.V) And (P) Kailasapuram Block 5 , 99.OVERSEAS ELECTORS"
64,T.D.T.A. Primary School,"1.Therkumayelodai (R.V) And (P) Thalaial nadanthankulam Block 4 , 2.Therkumayelodai (R.V) And (P) Thalaial Nadanthankulam Block 5 , 99.OVERSEAS ELECTORS"
65,"R.C. Primary School, Main Building, East Side","1.Kayathar (s.p) Pillaiarkovil street ward 1 , 2.Kayathar (s.p) Sakthi Vinayagar Kovil Street , 3.Kayathar (S.P) Indhira Nagar , 4.Kayathar (S.P) KottaiPillaiar Kovil Street Ward 2 , 99.OVERSEAS ELECTORS"
66,"R.C. Primary School, Main Building, West Side","1.Kayathar (S.P) Theyagaraja Bhawather Street , 2.Kayathar (S.P) RajaKovil Street , 3.Kayathar (S.P) LurdumathaKovil Street , 4.Kayathar (S.P) Ambalavanar Street 8 , 5.Kayathar (s.p) Sudalaimadan Kovil Street Ward # , 6.Kayathar (S.P) KatturajaStreet , 7.Kayathar (S.P) Upatheiyar Kennatru Theru , 8.Kayathar (S.P) Kalaivanarstreet , 9.Kayathar (S.P) Kaliamman Kovil Street , 99.OVERSEAS ELECTORS"
67,Panchyat Union Middle School North Building East Room,"1.Kayathar (s.p) Chedambaranar Street , 2.Kayathar (S.P) Kanthariamman Kovil Street , 3.Kayathar (S.P) Subramaniyaswamy Kovil Street , 4.Kayathar (S.P) Santhikenntru Street , 5.Kayathar (S.P) Pudhukenatru Street , 6.Kayathar (S.P) Karupasamy KOvil Street Ward 6 , 7.Kayathar (S.P) Main Road Ward 5 , 8.Kayathar (S.P) Hospital Road , 9.Kayathar (S.P) Kattabomman Street , 10.Kayathar (S.P) Kadamboor KeelaMelStreet , 11.Kayathar (S.P) Police line , 12.Kayathar (S.P) Kadamboor tenvadal Street , 99.OVERSEAS ELECTORS"
68,Panchyat Union Middle School North Building west Room 3rd,"1.Kayathar (S.P) Bharathiar Street , 2.Kayathar (S.P) Jawaherlal Street , 3.Kayathar (S.P) Kadamboor Street , 4.Kayathar (S.P) Sathiram Ward 6 , 5.Kayathar (S.P) Subregister Office Street , 6.Kayathar (S.P) Nanthavanathu Kenatru Street , 7.Kayathar (S.P) Mutharamman Kovil North Street , 8.Kayathar (S.P) Mutharamman Kovil Street , 9.Kayathar (S.P) Kanniamman Kovil Street , 10.Kayathar (S.P) Mariamman Kovil Street Ward 7 , 11.Kayathar (S.P) Missan Kovil Street , 12.Kayathar (S.P) Vivekananthan Street , 13.Kayathar (S.P) Sekadi Street , 14.Kayathar (s.p) Kalivanan street , 99.OVERSEAS ELECTORS"
69,"Panchayat Union Primary School, Main Building Uchi makaliamman kovil street","1.Kayathar (S.P) Main Road Ward 9 , 2.Kayathar (S.P) Pallivasal North Street ward 9 , 3.Kayathar (S.P) Sathkathulla Appa Street Ward 9 , 4.Kayathar (S.P) Seethakkadi Street Ward 9 , 5.Kayathar (S.P) Pallivasal Nadu Street Ward 9 , 6.Kayathar (S.P) Kajamohadin Street Ward 9 , 7.Kayathar (S.P) Jaherhussian Street Ward 9 , 8.Kayathar (S.P) Pallivasal Melatheru Ward 9 , 9.Kayathar (S.P) Main Road Ward 10 , 10.Kayathar (S.P) Umarupulavar Street Ward 10 , 11.Kayathar (S.P) Uppuk Kenatrutheru Ward 10 , 12.Kayathar (S.P) Main Road Ward 11 , 13.Kayathar (S.P) SentamilStreet Ward 11 , 14.Kayathar (S.P) Aajath Street Ward 11 , 15.Kayathar (S.P) Bhavalar Street Ward 11 , 16.Kayathar (S.P) Ginna STreet Ward 11 , 99.OVERSEAS ELECTORS"
70,"Town panchayat Office, New Building, Kayathar","1.Kayathar (S.P)Ward 8 China pillaiar Kovil Street , 2.Kayathar (S.P) Hospital Road , 3.Kayathar (S.P) Ward 8 Aarokkamatha Vadaku Street , 4.Kayathar (S.P) Ward 8 AarokyaMathaKovil Street , 5.Kayathar (S.P) Shanthana Matha Kovil North Street , 6.Kayathar (S.P) Shanthana MathaKovil Street , 7.Kayathar (S.P) Ward 8 Muthuramalinganar Street , 8.Kayathar (s.p) ward 12 Arasan kulam , 99.OVERSEAS ELECTORS"
71,Panchyat Union Middle School Southern Side West Room 1st Hall,"1.Kayathar (s.p) North subramaniyapuram , 2.Kayathar (S.P) Ward 12 Subramaniyapuram South , 3.Kayathar (S.P) Rajiv Nagar , 99.OVERSEAS ELECTORS"
72,Panchyat Union Middle School Southern Side Eastern Building,"1.Kayathar (S.P) Ward 12 North Subramaniyapuram Kalani , 2.Kayathar (S.P) Ward 12 Pudhukottai , 3.Kayathar (S.P) Ward 12 Bharathinagar , 99.OVERSEAS ELECTORS"
73,"R.C. Primary School, West Side","1.Akilandapuram (R.V) And (P) Akilandapuram Block 1 , 2.Akilandapuram (R.V) And (P) Akilandapuram Block 2 , 3.Akilandapuram (R.V) And (P) Akilandapuram Block 3 , 4.Akilandapuram (P) Akilandapuram Block 4 , 99.OVERSEAS ELECTORS"
74,"Mahalakshmi Middle School, North Block South Side","1.Akilandapuram (R.V) And (P) Sathirapatti 5 , 2.Akilandapuram (R.V) And (P) Karisalkulam Block 6 , 99.OVERSEAS ELECTORS"
75,"Mahalakshmi Middle School, South Block East Side","1.Akilandapuram (P) Karisalkulam Block 7 , 2.Akilandapuram (R.V) And (P) Salaipudhur Block 8 , 99.OVERSEAS ELECTORS"
76,"R.C. Middle School, Main Building","1.Pannikulam (R.V) And (P) Pannikulam Block 1 , 2.Pannikulam (R.V) And (P) Pannikulam Block 2 , 99.OVERSEAS ELECTORS"
77,"R.C. Middle School, Soth side New Building","1.Pannikulam (R.V) And (P) Pannikulam Block 3 , 2.Pannikulam (R.V) And (P) Pannikulam Block 4 , 99.OVERSEAS ELECTORS"
78,"Panchayat Union Primary School ,North Side","1.Thirumalapuram (R.V) And (P) Thirumalapuram south street Block 1 , 2.Thirumalaipuram (R.V) And (P) Thirumalapuram Middle Street Block 1 , 3.Thirumalapuram (R.V) And (P) Thirumalapuram North Street Block 1 , 4.Thirumalapuram (R.V) And (P) Thirumalapuram West Street Block 1 , 5.Thirumalapuram (R.V) And (P) Nouchikulam Block 2 , 99.OVERSEAS ELECTORS"
79,Panchayat Union Middle School,"1.Kappulingampatti (R.V) And (P) Kappulingampatti Block 3 , 2.Kappulingampatti (R.V) And (P) Kappulingampatti Block 2 , 3.Kapulingampatti (R.V) And (P) Kumarageri Block 3 , 4.Kappulingampatti (R.V) And (P) Avudaiammalpuram Block 4 , 99.OVERSEAS ELECTORS"
80,T.D.T.A Primary School.,"1.Savalaperi (R.V) And (P) Savalaperi Block 1 , 2.Savalaperi (R.V) And (P) Savalaperi Block 2 , 3.Savalaperi (R.V) And (P) Nagampatti Block 3 , 99.OVERSEAS ELECTORS"
81,Panchayat Union Primary School.,"1.Asoor (R.V) And (P) K.Gopalapuram Block 1 , 2.Asoor (R.V) And (P) Sivanoor Block 2 , 3.Asoor (R.V) And (P) Asoor Block 3 , 99.OVERSEAS ELECTORS"
82,Panchayat Union Primary School.,"1.Sivagnanapuram (R.V) And (P) Sivagnanapuram Block 1 , 2.Sivagnanapuram (R.V) And (P) Sivagnanapuram Block 2 , 99.OVERSEAS ELECTORS"
83,Panchayat Union Middle School.,"1.Sivagnnapuram (R.V) And (P) Vakaithuoor block 3 , 2.Sivagnnapuram (R.V) And (P) Senivelalapuram Block 4 , 3.Sivagnnapuram (R.V) And (P) Chockendrapandiyapuram Block 5 , 4.Sivagnnapuram (R.V) And (P) Vakaikulam Block 6 , 99.OVERSEAS ELECTORS"
84,"Hindu Primary School, Main Building, North Side,","1.Chedambarapuram (p) Chedambarapuram block 1 , 2.Chedambarapuram (P) Chedambarapuram Block 2 , OVERSEAS ELECTORS"
85,"Hindu Primary School, Main Building, South Side,","1.Chedambarapuram (P) Chedambarapuram Block 3 , 2.Chedambarapuram (P) Chedambarapuram Block 4 , 99.OVERSEAS ELECTORS"
