Polling Station No.,Building,Polling Areas
31,"Kulapati Dr.S.Balakrishna Joshi Gurukulam Matric Hr Sec School,2nd Street V V Nagar,Kolathur,Chennai-600099",1. Kolathur [ Ward No.65 ] G K M Colony 31st Street (Ma.Po.Si. Street) 2. Kolathur [ Ward No.65 ] G K M Colony 30th Street ( MGR Street) 999. OVERSEAS ELECTORS.
32,"Kulapati Dr.S.Balakrishna Joshi Gurukulam Matric Hr Sec School,2nd Street V V Nagar,Kolathur,Chennai-600099",1. Kolathur [ Ward No.65 ] G K M Colony 29th Street(Sivaji street) 2. Kolathur [ Ward No.65 ] G K M Colony 32nd Street ( Jeevanandham Street ) 999. OVERSEAS ELECTORS.
33,"Kulapati Dr.S.Balakrishna Joshi Gurukulam Matric Hr Sec School,2nd Street V V Nagar,Kolathur,Chennai-600099",1. Kolathur [ Ward No.65 ] G K M Colony 33rd Street Thiru-Vi-Ka Street 2. Kolathur [ Ward No.65 ] G K M Colony 35th Street Azad Street 999. OVERSEAS ELECTORS.
34,"Kulapati Dr.S.Balakrishna Joshi Gurukulam Matric Hr Sec School,2nd Street V V Nagar,Kolathur,Chennai-600099",1. Kolathur [ Ward No.65 ] G K M Colony 34th Street Vinobaaji Street 2. Kolathur [ Ward No.65 ] G K M Colony 36th Street Jayaprakash Street 999. OVERSEAS ELECTORS.
35,"Kulapati Dr.S.Balakrishna Joshi Gurukulam Matric Hr Sec School,2nd Street V V Nagar,Kolathur,Chennai-600099",1. Kolathur [ Ward No.65 ] G K M Colony 37th Street Punidha Anthoniyaar Street 2. Kolathur [ Ward No.65 ] G K M Colony 38th Street Ambedkar Street 999. OVERSEAS ELECTORS.
36,"Kulapati Dr.S.Balakrishna Joshi Gurukulam Matric Hr Sec School,2nd Street V V Nagar,Kolathur,Chennai-600099",1. Kolathur [ Ward No.65 ] G K M Colony 39th Street Kakkanji Street 2. Kolathur [ Ward No.65 ] G K M Colony 41st Street Sir.C.V.Raman Street 3. Kolathur [ Ward No.65 ] G K M Colony 42nd Street Jagajeevanram Street 4. Kolathur [ Ward No.65 ] G K M Colony 43rd Street Thillaiyaadi Valliyammai Street 999. OVERSEAS ELECTORS.
37,"Dhanish Matric Hr Sec School,Kambar Nagar ,Chennai-600082",1. Kolathur [ Ward No.65 ] Valmiki Street 2. Kolathur [ Ward No.65 ] Valmiki Street Junction 3. Kolathur [ Ward No.65 ] Adhiyamaan Nagar Rajiv Gandhi Street 4. Kolathur [ Ward No.65 ] Adhiyamaan Nagar Rajiv Gandhi 1st Street 5. Kolathur [ Ward No.65 ] Adhiyamaan Nagar Rajiv Gandhi Street Ext 6. Kolathur [ Ward No.65 ] Kambar Nagar 6th Street 7. Kolathur [ Ward No.65 ] Kambar Nagar 1st Cross Street 8. Kolathur [ Ward No.65 ] Kambar Nagar Avvai Street 9. Kolathur [ Ward No.65 ] Kambar Nagar 7th Street 10. Kolathur [ Ward No.65 ] Vetri Selvi
38,"Dhanish Matric Hr Sec School,Kambar Nagar ,Chennai-600082",1. Kolathur [ Ward No.65 ] Bharat Avenue 2. Kolathur [ Ward No.65 ] Kambar Nagar 1st Street 3. Kolathur [ Ward No.65 ] Kambar Nagar 2nd Street 4. Kolathur [ Ward No.65 ] Kambar Nagar 3rd Street 5. Kolathur [ Ward No.65 ] Kambar Nagar 4th Street 6. Kolathur [ Ward No.65 ] Vetri Selvi Anbalagan Nagar Buddhar Street 7. Kolathur [ Ward No.65 ] Vetri Selvi Anbazhagan Nagar Sri Ranga Street 8. Kolathur [ Ward No.65 ] Vetri Selvi Nagar Anbazhagan Nagar Nabinayakam Street 9. Kolathur [ Ward No.65 ] Vetri Selvi Nagar Anbzhagan Nagar Ramanujam Street
39,"Dhanish Matric Hr Sec School,Kambar Nagar ,Chennai-600082",1. Kolathur [ Ward No.65 ] Vasantham Nagar 1st Street 2. Kolathur [ Ward No.64 ] Vasantham Nagar 2nd Street 3. Kolathur [ Ward No.64] Vasantham Nagar 3rd Street 4. Kolathur [ Ward No.64 ] Vasantham Nagar Vasan Street 5. Kolathur [ Ward No.64 ] Vivek Nagar 6. Kolathur [ Ward No.64] Kambar Nagar 5th Street 7. Kolathur [ Ward No.64] Kambar Nagar 5th Cross Street 999. OVERSEAS ELECTORS.
40,"Dhanish Matric Hr Sec School,Kambar Nagar ,Chennai-600082",1. Kolathur [ Ward No.65 ] Poombugar Nagar 1st Main Road 2. Kolathur [ Ward No.64 ] Poombugar Nagar 2nd Main Road 3. Kolathur [ Ward No.64 ] Poombugar Nagar 1st Sreet 4. Kolathur [ Ward No.64 ] Poombugar Nagar 1st Cross Street 5. Kolathur [ Ward No.64 ] Yamuna Nagar 999. OVERSEAS ELECTORS.
