Sl. No,Polling Station No,R KARTHIKEYAN.,J BADUSHA. SULTHAN,LARENEG EMAN K NAGAJOTHI.,EHT V MUNIYASAMY.,S SROTCELE,C VETRIKUMARAN.,OT NI,K K. THIRUVALAVAN. ARASU,ANBUMANIKANDAN TAMILSOORIYAN.K,K BASHA. SULTHAN,B SEBASTHIYAN.,IARUDAM M PREMKUMAR.,TSEW N RAMU.,M VENKATESAN.,rednet de,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
134,87,211,3,396,1,0,15,35,64,1,0,0,0,0,2,0,2,730,0,730,0
135,88,245,5,182,0,0,18,23,48,0,0,0,0,1,0,0,4,526,0,526,0
136,88(A),251,3,210,3,0,20,21,35,0,0,0,0,1,0,0,5,549,0,549,0
137,89,186,5,158,2,0,6,38,57,0,0,0,0,0,0,1,6,459,0,459,0
138,89(A),169,3,185,1,1,10,36,34,0,0,1,0,0,1,2,5,448,0,448,0
139,90,240,20,200,3,0,3,12,51,0,0,0,0,0,0,0,7,536,0,536,0
140,90(A),203,7,295,1,0,0,13,22,1,0,0,0,0,1,0,2,545,0,545,0
141,91,204,7,201,1,0,11,57,55,1,0,0,0,1,0,0,4,542,0,542,0
142,92,214,8,223,0,0,13,64,43,1,0,0,0,1,1,1,10,579,0,579,0
143,93,235,4,171,0,0,12,82,41,0,0,0,1,0,0,0,2,548,0,548,0
144,94,191,14,87,1,0,8,45,41,0,0,0,0,0,0,1,4,392,0,392,0
145,94(A),178,4,99,0,0,7,55,28,0,0,0,0,0,0,0,7,378,0,378,0
146,95,165,10,107,0,0,5,32,59,1,0,0,0,0,0,0,8,387,0,387,0
147,95(A),165,3,126,0,1,8,31,30,0,0,0,1,0,0,1,1,367,0,367,0
148,96,111,10,96,0,0,5,40,31,0,0,0,0,0,0,0,4,297,0,297,0
149,96(A),105,5,122,0,0,8,31,19,1,1,0,0,0,1,0,5,298,0,298,0
150,97,118,12,118,1,0,3,24,30,0,0,0,0,0,0,0,3,309,0,309,0
151,97(A),94,7,92,0,0,5,36,22,0,0,0,0,0,1,0,1,258,0,258,0
152,98,202,9,151,0,0,10,28,75,0,2,0,0,0,0,0,3,480,0,480,0
153,99,134,7,131,2,0,9,20,60,0,0,0,0,0,0,1,1,365,0,365,0
154,99(A),112,5,212,2,0,11,8,35,0,0,1,0,0,2,1,4,393,0,393,0
155,100,151,6,154,0,0,4,25,55,1,0,1,0,1,1,0,7,406,0,406,0
156,100(A),141,4,187,1,0,6,32,34,0,0,0,0,0,4,0,4,413,0,413,0
157,101,93,6,122,0,1,7,33,13,0,0,0,0,0,0,0,3,278,0,278,0
158,101(A),72,1,104,4,0,7,48,13,0,0,0,0,1,0,0,4,254,0,254,0
159,102,159,21,258,0,0,6,47,81,1,0,1,0,0,1,0,5,580,0,580,0
160,103,257,9,313,3,0,1,32,70,0,0,0,0,0,0,1,3,689,0,689,0
161,104,213,12,140,1,0,9,43,56,0,1,0,0,1,0,0,3,479,0,479,0
162,104(A),195,5,193,0,0,9,36,33,0,0,0,0,0,1,0,5,477,0,477,0
163,105,218,8,142,0,0,6,40,90,0,0,0,0,0,1,0,4,509,0,509,0
164,105(A),222,8,186,0,0,10,40,46,0,0,0,0,0,0,1,3,516,0,516,0
165,106,187,13,183,0,0,11,46,56,0,1,0,0,1,0,0,5,503,0,503,0
166,106(A),141,7,208,1,0,13,43,23,1,1,0,0,1,2,0,4,445,0,445,0
167,107,200,12,143,1,1,15,79,71,4,0,0,0,1,0,0,6,533,0,533,0
168,107(A),185,7,172,1,0,15,70,40,3,0,0,0,0,0,0,5,498,0,498,0
169,108,147,9,153,1,0,12,55,54,1,0,0,0,0,0,0,7,439,0,439,0
170,108(A),119,1,158,0,0,10,55,25,0,0,0,0,0,1,0,7,376,0,376,0
171,109,179,4,120,0,0,13,46,51,0,0,0,0,0,1,0,4,418,0,418,0
172,109(A),133,3,190,0,0,6,40,32,0,0,0,0,0,0,0,3,407,0,407,0
173,110,203,15,194,0,0,1,36,58,0,0,0,0,0,1,1,3,512,0,512,0
174,111,182,18,321,2,0,1,31,53,0,0,0,0,0,4,0,8,620,0,620,0
