Polling Station No.,Building,Polling Areas
36,"Panchayat Union Ele. School, Western Side, Pannaipuram","1.Pannaipuram (R.V) And (TP) Ward-14 North Main Street , 2.Pannaipuram (R.V) And (TP) Ward-14 Nanthagopal Kovil Street , 3.Pannaipuram (R.V) And (TP) Ward-15 Muniyappa Kovil Street , 4.Pannaipuram (R.V) And (TP) Ward-15 Bazzar Main Street , 5.Pannaipuram (R.V) And (TP) Ward-12 Kallar School Street , 6.Pannaipuram (R.V) And (TP) Ward-12 South Street 7.Pannaipuram (R.V) And (TP) Ward-12 Middle Street New Section"
37,"Govt. Higher Secondary School, Southern Side, Nabard Building, South Block, Pannaipuram","1.Pannaipuram (R.V) And (TP) Ward-7 South Main Street , 2.Pannaipuram (R.V) And (TP) Ward-7 Bokes School Street , 3.Pannaipuram (R.V) And (TP) Ward-7 Valluvar Street 4.Pannaipuram (R.V) And (TP) Ward-12 Hindhu Middle School , 5.Pannaipuram (R.V) And (TP) Ward-7 Vinayagar Kovil Street , 6.Pannaipuram (R.V) And (TP) Ward-13 Sowdamman Kovil Street"
38,"Panchayat Union Ele. School 4th Building, Kariyanampatti, Pannaipuram.","1.Pannaipuram (R.V) And (T.P) Ward-11 East Street, 2.Pannaipuram (R.V) And (T.P) Ward-11 Petchiamman Kovil Street , 3.Pannaipuram (R.V) And (T.P) Ward-11 Harijana Street"
39,"Panchayat Union Ele. School, Centre Building, West Portion, Kariyanampatti, Pannaipuram","1.Pannaipuram (R.V) And (T.P) Ward-11 West Street 2.Pannaipuram (R.V) And (T.P) Ward-8 Kaliamman Kovil Street , 3.Pannaipuram (R.V) And (T.P) Ward-8 Savadi Street , 4.Pannaipuram (R.V) And (T.P) Ward-8 Veereashwar Kovil Street"
40,"Panchayat Union Ele. School West Block, Kariyanampatti, Pannaipuram.",1.Pannaipuram (R.V) And (T.P) Ward-11 East Street 2.Pannaipuram (R.V) And (T.P) Ward-11 Norht Street 3.Pannaipuram (R.V) And (T.P) Ward-8 Asariyar Street 4.Pannaipuram (R.V) And (T.P) Ward-6 Matha Kovil Street 5.Pannaipuram (R.V) And (T.P) Ward-9 West Street 6.Pannaipuram (R.V) And (T.P) Ward-9 Chinnan Kulam Street 7.Pannaipuram (R.V) And (T.P) Ward-7 Valluvar Street 8.Pannaipuram (R.V) And (T.P) Ward-7 Pillayar Kovil Street
41,"Sri Renganatha Swamy Ele. School, Eastern Side, Mallingapuram (Pannaipuram).",1.Pannaipuram (R.V) And (T.P) Ward-2 Harijana Street 2.Pannaipuram (R.V) And (T.P) Ward-1 North Street 3.Pannaipuram (R.V) And (T.P) Ward-1 Seventh Street 4.Pannaipuram (R.V) And (T.P) Ward-1 West Street 5.Pannaipuram (R.V) And (T.P) Ward-1 Pillayar Kovil Street 6.Pannaipuram (R.V) And (T.P) Ward-1 Middle Street 7.Pannaipuram (R.V) And (T.P) Ward-1 High Way Street 8.Pannaipuram (R.V) And (T.P) Ward-1 Lakumiya Gowdar Street
42,"Sri Renganatha Swamy Ele. School, Western Side, Mallingapuram (Pannaipuram).","1.Pannaipuram (R.V) And (T.P) Ward-2 Odai Street , 2.Pannaipuram (R.V) And (T.P) Ward-3 Gandhi Nagar 3.Pannaipuram (R.V) And (T.P) Ward-2 Selva Nayagapuram"
43,"Govt.Primary School, Western Block, Keelasindalaicheri","1.Pannaipuram (R.V), Melasinthalaiseri (P) Ward-3 Main Road North , 2.Pannaipuram (R.V), Melasinthalaiseri (P) Ward-3 Sowdamman Kovil Opp. Street , 3.Pannaipuram (R.V), Melasinthalaiseri (P) Ward-3 Sowdamman Kovil Back Street , 4.Pannaipuram (R.V), Melasinthalaiseri (P) Ward-3 New Colony North , 5.Pannaipuram (R.V), Melasinthalaiseri (P) Ward-3 Pillaiyar Kovil Street , 6.Pannaipuram (R.V), Melasinthalaiseri (P) Ward-3 Muniyappar Kovil Street , 7.Pannaipuram (R.V), Melasinthalaiseri (P) Ward-3 Gownder Street , 8.Pannaipuram (R.V), Melasinthalaiseri (P) Ward-3 Middle Street , 9.Pannaipuram (R.V), Melasinthalaiseri (P) Ward-3 Main Road , 10.Pannaipuram (R.V), Melasinthalaiseri (P) Ward-3 Main Road South , 11.Pannaipuram (R.V), Melasinthalaiseri (P) Ward-3 GLR Water Tank Street"
44,"Panchayat Union Ele School, West Block Northern Side, Melasinthalaiseri.","1.Pannaipuram (R.V), Melasinthalaiseri (P) Ward-2 Main Road , 2.Pannaipuram (R.V), Melasinthalaiseri (P) Ward-2 Sowdamman Kovil Street , 3.Pannaipuram (R.V), Melasinthalaiseri (P) Ward-2 Nandagopal Kovil Street , 4.Pannaipuram (R.V), Melasinthalaiseri (P) Ward-2 Main Road Middle Street , 5.Pannaipuram (R.V), Melasinthalaiseri (P) Ward-2 Valluvar Street , 6.Pannaipuram (R.V), Melasinthalaiseri (P) Ward-2 Latrine Road , 7.Pannaipuram (R.V), Melasinthalaiseri (P) Ward-2 North Street"
45,"Panchayat Union Ele. School East Block, Northern Side, Melasinthalaiseri.","1.Pannaipuram (R.V), Melasinthalaiseri (P) Ward-3 Main Road , 2.Pannaipuram (R.V), Melasinthalaiseri (P) Ward-3 Main Road Middle Street , 3.Pannaipuram (R.V), Melasinthalaiseri (P) Ward-3 Panchayat Office Backside Street , 4.Pannaipuram (R.V), Melasinthalaiseri (P) Ward-3 Rajendran Bazzar Street , 5.Pannaipuram (R.V), Melasinthalaiseri (P) Ward-3 East Odai Street , 6.Pannaipuram (R.V), Melasinthalaiseri (P) Ward-3 Lakshmi Kovil Street , 7.Pannaipuram (R.V), Melasinthalaiseri (P) Ward-3 Anna Nagar , 8.Pannaipuram (R.V), Melasinthalaiseri (P) Ward-3 South Colony"
