Sl. No,Polling Station No,M ALAGAR MNM,S ANBARASI Katchi,S VASANTHAKUMAR,LARENEG EMAN J M VOLTAIRE Centre (Communist) CPI,EHT M JEYAPAL Kazagam,S SROTCELE J SITHICK ABUBAKKAR,OT T VISHWAKARMA RAAM,D ISMAIL,N KUPPUSAMY,. J KESAVARAJAH,P SANKARAPANDI,IARUDAM,K THEIVAMMAL,HTRON R NATARAJAN,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
143,95,185,282,57,55,1,0,5,1,0,1,1,0,0,1,0,4,593,0,593,0
144,96,132,309,43,53,1,0,6,0,0,0,0,0,1,0,1,4,550,0,550,0
145,97,169,332,79,72,0,0,6,0,0,0,0,0,0,0,0,6,664,0,664,0
146,98,151,242,58,44,0,0,7,0,1,1,0,0,0,1,0,9,514,0,514,0
147,99,200,262,46,60,1,1,6,0,0,0,0,1,0,1,0,6,584,0,584,0
148,100,89,177,14,38,0,0,3,0,0,1,0,0,0,0,0,1,323,0,323,0
149,100(A),86,197,22,22,0,0,3,0,0,0,0,1,0,1,1,3,336,0,336,0
150,101,199,287,50,60,1,1,7,0,4,1,0,0,0,0,1,9,620,0,620,0
151,102,232,265,48,70,2,0,4,1,0,0,0,0,0,0,1,4,627,0,627,0
152,103,219,163,58,54,1,0,15,0,1,0,0,0,0,1,0,9,521,0,521,0
153,103(A),214,129,47,20,0,0,10,1,0,0,1,0,0,0,0,8,430,0,430,0
154,104,133,177,62,39,1,0,11,1,0,0,0,0,0,0,0,6,430,0,430,0
155,105,118,160,36,26,2,0,7,0,0,0,0,0,0,0,0,6,355,0,355,0
156,105(A),100,151,26,30,0,0,6,0,0,1,0,0,0,0,0,3,317,0,317,0
157,106,205,272,65,34,0,0,15,0,0,0,0,0,0,1,0,4,596,0,596,0
158,107,149,303,36,61,0,2,11,0,0,1,0,0,0,0,0,3,566,0,566,0
159,108,97,324,15,35,2,0,16,0,1,2,0,0,0,0,0,4,496,0,496,0
160,109,121,440,36,62,0,0,8,0,0,0,0,0,0,0,0,7,674,0,674,1
161,110,139,217,30,69,0,0,9,0,0,0,0,0,0,0,0,10,474,0,474,0
162,111,95,189,16,38,2,0,18,0,0,0,0,0,0,0,1,2,361,0,361,0
163,111(A),109,202,20,33,0,0,9,0,0,0,0,0,1,0,0,2,376,0,376,0
164,112,161,298,48,91,0,2,12,0,1,1,0,1,0,0,0,7,622,0,622,0
165,113,104,319,20,44,0,0,2,0,0,2,0,0,0,0,0,10,501,0,501,0
166,114,180,304,33,77,0,0,2,0,0,0,0,0,1,2,0,4,603,0,603,0
167,115,117,230,47,42,2,0,7,0,0,0,1,0,0,0,0,3,449,0,449,0
168,116,87,172,26,39,0,0,1,0,0,0,0,0,0,0,0,0,325,0,325,0
