Sl. No,Polling Station No,K.KUPPAN AIADMK,M.KOTTESWARAN BSP,K.P.SHANKAR DMK,RUYITTOVURIT R.EGAVALLI NMK,D.SASIRAJ SP,SEEMAN NTK,M.SOUNDARA PANDIAN AMMK,lareneG D.MOHAN MNM,K.GOPINATH IND,ot BALAJI V.SURESH IND,limaT M.CHELLAM IND,udaN D.THAMIZHIZHAN IND,evitalsigeL B.DHANASEKARAN IND,C.DHANRAJ IND,PRAVINA IND,RAJ M.A.MICHAEL IND,KUMAR N.RAMESH IND,KUMAR N.RAJESH IND,U.VENKATESH IND,HUSSAIN B.ZAKIR IND,Total Valid Votes,Rejected Votes,Total Votes
118,83,108,0,184,0,1,90,0,6,0,0,0,0,10,0,1,0,2,1,0,0,403,0,0,403
119,83(A),118,2,217,1,2,79,0,5,1,0,0,0,8,0,0,3,3,0,4,0,443,0,1,444
120,84,177,0,323,2,1,89,1,10,0,0,0,0,0,1,1,0,1,0,2,0,608,0,3,611
121,85,192,0,277,1,2,106,0,8,0,0,0,1,0,0,0,0,1,0,0,0,588,0,2,590
122,86,67,0,201,0,2,135,7,3,0,0,0,0,0,0,0,1,1,0,0,0,417,0,1,418
123,87,53,0,157,0,0,82,1,7,0,0,0,0,0,0,0,1,2,0,0,0,303,0,1,304
124,87(A),93,1,199,0,0,75,1,7,0,0,0,0,0,0,1,1,1,0,1,0,380,0,1,381
125,88,91,0,124,1,0,142,2,5,0,1,0,0,1,0,0,1,0,0,0,1,369,0,0,369
126,88(A),109,0,138,0,1,101,1,3,0,0,0,0,0,1,1,0,0,0,0,0,355,0,2,357
127,89,52,0,108,0,1,73,1,7,0,0,0,0,0,0,0,1,1,0,0,0,244,0,0,244
128,89(A),65,1,162,0,1,66,0,4,1,0,0,0,0,0,0,2,1,0,1,1,305,0,1,306
129,90,83,0,269,1,0,154,0,11,0,0,1,0,0,0,0,1,4,0,2,1,527,0,0,527
130,91,83,0,232,0,0,102,0,3,0,0,0,0,1,0,0,3,0,0,0,0,424,0,1,425
131,91(A),91,1,215,1,1,81,1,6,0,0,0,0,1,0,0,0,3,0,2,0,403,0,2,405
132,92,86,1,209,0,0,121,2,6,1,0,2,1,0,1,0,4,7,0,0,0,441,0,0,441
133,93,77,1,190,0,0,150,2,6,2,0,0,1,1,0,0,0,2,0,0,0,432,0,2,434
134,93(A),110,0,232,1,2,144,4,10,1,3,0,0,0,0,1,1,1,0,0,1,511,0,3,514
135,94,80,0,187,0,0,126,2,18,0,0,1,1,0,0,0,1,0,0,1,0,417,0,3,420
136,94(A),102,2,184,0,1,78,2,20,0,0,0,0,0,0,0,1,1,1,1,0,393,0,3,396
137,95,74,0,150,1,1,99,6,6,0,0,0,0,0,0,0,0,0,0,2,0,339,0,2,341
138,96,124,0,267,1,0,135,1,14,0,0,0,0,1,0,0,2,2,0,0,0,547,0,6,553
139,97,50,2,293,2,0,97,2,10,0,0,0,0,0,1,0,12,2,0,0,0,471,0,2,473
140,97(A),46,1,321,2,0,68,1,5,0,0,0,0,1,1,0,9,3,2,3,0,463,0,1,464
141,98,124,3,329,0,1,161,6,15,2,0,2,0,2,0,0,5,0,0,4,1,655,0,7,662
142,99,134,0,294,2,0,195,3,34,1,0,0,0,0,0,0,5,2,0,0,0,670,0,4,674
143,100,51,0,169,1,0,83,4,22,0,0,0,0,0,0,0,0,0,0,0,0,330,0,6,336
144,101,143,2,237,1,0,200,6,28,0,0,0,1,0,0,0,11,1,0,1,0,631,0,9,640
145,102,99,0,363,0,0,70,0,3,0,0,0,1,0,1,0,0,0,0,0,0,537,0,1,538
146,102(A),83,0,374,0,0,83,1,4,0,0,1,0,0,0,0,5,1,0,1,1,554,0,1,555
147,103,148,0,238,0,1,124,3,13,0,0,0,0,0,0,0,2,3,0,1,0,533,0,5,538
148,104,78,1,193,0,1,114,11,8,0,0,0,0,0,0,0,3,2,0,0,0,411,0,3,414
149,104(A),97,0,196,0,3,72,14,6,0,0,0,0,0,0,0,4,2,0,1,0,395,0,2,397
150,105,103,0,168,1,0,110,4,20,0,1,0,0,0,0,0,1,0,0,0,0,408,0,1,409
151,106,188,2,244,1,1,172,17,17,1,0,1,0,1,0,0,2,2,1,0,0,650,0,5,655
152,107,91,0,153,0,0,132,3,13,0,0,0,0,1,0,0,4,0,0,0,0,397,0,2,399
153,107(A),104,2,136,1,1,104,3,13,0,0,0,0,0,0,0,3,0,0,1,0,368,0,4,372
154,108,91,1,107,0,3,134,3,9,0,0,0,0,0,0,0,4,1,0,0,0,353,0,2,355
155,109,155,1,271,0,3,198,5,19,1,0,1,0,2,0,1,2,1,0,0,0,660,0,3,663
156,110,140,2,263,1,2,165,15,15,1,0,0,0,0,0,2,0,0,0,1,0,607,0,5,612
157,111,125,0,201,0,1,128,7,23,0,0,0,0,0,0,2,4,1,0,1,0,493,0,3,496
158,112,101,0,151,0,0,111,7,22,0,0,0,1,0,0,0,8,0,0,0,0,401,0,1,402
159,113,82,0,202,2,0,88,1,36,0,0,0,0,0,0,0,3,0,0,1,0,415,0,5,420
160,114,77,0,161,0,0,153,5,15,0,0,0,0,0,0,0,2,0,0,1,0,414,0,1,415
161,114(A),88,0,159,2,1,97,5,19,1,0,0,0,0,0,0,2,0,0,3,0,377,0,3,380
162,115,79,0,176,1,0,116,1,6,0,0,0,1,0,0,0,8,6,0,0,0,394,0,3,397
163,115(A),80,0,197,0,0,83,1,13,0,0,1,1,1,1,0,5,6,0,1,0,390,0,3,393
164,116,80,2,237,0,0,96,3,20,0,0,0,0,0,0,0,7,0,0,0,0,445,0,4,449
165,117,106,0,348,0,0,130,1,22,0,1,1,1,0,0,0,40,3,0,2,0,655,0,2,657
166,118,63,1,204,0,0,90,0,6,0,0,0,0,0,0,0,10,0,0,0,0,374,0,3,377
167,118(A),82,2,219,1,0,70,1,10,0,0,0,0,0,0,0,14,1,1,1,1,403,0,0,403
168,119,62,2,355,1,2,129,2,28,0,0,0,0,0,0,0,21,0,0,1,0,603,0,3,606
169,120,72,1,285,3,0,165,1,18,0,0,1,1,0,2,0,6,0,0,1,0,556,0,2,558
170,121,79,2,208,1,0,138,0,1,0,0,1,0,0,0,0,1,4,0,0,0,435,0,5,440
171,121(A),91,0,205,1,2,100,0,5,0,0,0,1,0,2,1,6,0,0,10,0,424,0,3,427
172,122,161,1,274,2,0,179,1,4,0,0,0,0,0,0,0,7,6,0,1,0,636,0,4,640
173,123,111,0,187,1,0,128,7,21,0,0,0,0,0,0,0,4,0,0,0,0,459,0,1,460
174,123(A),104,0,203,3,0,103,7,31,1,0,1,0,0,1,0,0,0,0,0,1,455,0,2,457
