Polling Station No.,Building,Polling Areas
32,"Gowrava Elementary School, New Building, Kamuthi","1.Kamuthi(T.P) Kundar street turning (Ward 9) 2.Kamuthi(T.P) Local fund road (Ward 7) 3.Kamuthi (T.P) Kasukkara bazar (Ward 7) 4.Kamuthi(T.P) Chairman chettiyar street (Ward 7) 5.Kamuthi (T.P) Krishnan koil street (Ward 7) 6.Kamuthi (T.P) Bajanai mada street, Pallakukara street (Ward 6) 7.Kamuthi (T.P) Kamatchi chettiyar street (Ward 7), .8.Kamuthi (T.P) Pillaiyarkovil Street (Ward 7) , 9.Kamuthi (T.P) l.F. Road ward 7 , 10.Kamuthi (T.P) Kadaladi chettiyar street (Ward 7) , 11.Kamuthi (T.P) Kaasukkara bazar street (Ward 7)"
33,"Gowrava Elementary School, Eastern Side, Kamuthi","1.Kamuthi (T.P) Akraharam street (ward 9) , 2.Kamuthi (T.P) Maravarsangam Sundaramchettiyar Street (Ward 10)) , 3.Kamuthi (T.P) Thaluka Kacheri Street (Ward 9) , 4.Kamuthi (T.P) Annamalai Chettiyar Street (Ward 10)) , 5.Kamuthi (T.P) Thaluk office street ward 9 , 6.Kamuthi (T.P) Melakara street ward 9 , 7.Kamuthi (T.P) Sayakara street ward 9 , 8.Kamuthi (T.P) Mettu street (Ward 10) , 9.Kamuthi (T.P) Pavundu street ward 9 , 10.Kamudhi (T.P) Muthirulandi Servai street (Ward 12) , 11.Kamuthi (T.P) North mudukulathur road (Ward 10). 12.Kamuthi (T.P) Annamalai Chettiyar Stree, (Ward 10). 13. Singanrao Street (Ward 10), 14. Kamuthi (T.P.) Munseep Street (Ward 10)"
34,"Panchayat Union Elementary School, Western portion, Kannarpatti","1.Kamuthi (T.P) Kannarpatti north street ward 8 , 2.Kamuthi (T.P) Kannarpatti Middle street ward 8 , 3.Kamuthi (T.P) Kannarpatti Local Fund Road (Ward 8) , 4.Kamuthi (T.P)) Police colony ward 8"
35,"Panchayat Union Elementary School, Eastern portion, Kannarpatti","1.Kamuthi (T.P) Kannarpatti west street ward 8 , 2.Kamuthi (T.P) Periya Udappangulam Ist North Street (Ward 5) , 3.Kamuthi (T.P) Periya Udappangulam UIInd North Street (Ward 5) , 4.Kamuthi (T.P) Periya Udappangulam South Street (Ward 5) , 5.Kamuthi (T.P) Sethurajapuram southstreet ward 5 , 6.Kamuthi (T.P) Sethurajapuram northstreet ward , 7.Kamuthi (T.P) Ayyankovilpatti ward 5"
36,"Panchayat Union Elementary School, Northern Portion, K.Nedungulam","1.K.Nedunkulam West street ward 3 , 2.K.Nedunkulam East street ward 3 , 3.K.Nedunkulam North street ward 2 , 4.K.Nedunkulam North street 2 ward 2 , 5.K.Nedunkulam South street ward 2 , 6.K.Nedunkulam South street 2 ward 2 , 7.K.Nedunkulam Kaliyamman koil street ward 2 , 8.K.Nedunkulam Middle street ward 2 , 9.K.Nedunkulam East street ward 2"
37,"Panchayat Union Elementary School,Southern Portion, K.Nedungulam","1.K.Nedunkulam North street ward 1 , 2.K.Nedunkulam Middle street ward 1 , 3.K.Nedunkulam K.Nedunkulam middle street ward1 , 4.K.Nedunkulam Kaliamman koil street ward 1 , 5.K.Nedunkulam K.Nedunkulam north colony ward 5 , 6.K.Nedunkulam Kalaikulam ward 4 , 7.K.Nedunkulam K.Nedunkulam south colony ward 1 , 8.K.Nedunkulam South nedunkulam ward 1"
38,"Panchayat Union Elementary School, West Side, South Portion, Ramasamypatti","1. Ramasamipatti (p) First street , 2. Ramasamipatti (P) Second Street , 3.Ramasamipatti (P) Third Street , 4.Ramasamipatti (P) Fourth Street"
39,"Panchayat Union Elementary School, Eastern Side New Building, Ramasamipatti","1.Ramasamipatti Fifth Street , 2.Ramasamipatti Sixth Street , 3. Ramasamipatti Seventh Street , 4.Ramasamipatti Eighth Street , 5. Ramasamipatti Nineth street"
40,"Government Higher Secondary School, North Building, West side 2nd room, Ramasamypatti","1.Ayyanarkulam north street (ward 4) , 2.Ayyananarkulam Melastreet (Ward 4) , 3. Ayyanarkulam Middle Street (Ward 4) , 4.Ayyanarkulam East Street (Ward 4) , 5.Koraipallam,Matiammankovil Melastreet (Ward 4) , 6. Koraipallam East Street (Ward 4) , 7.Rettaipuli (Ward 4)"
41,"Government Higher Secondary School, South Building, East Portion (Ground Floor) Ramasamypatti","1.RamasamyPatti South Street (Ward 4) , 2.RamasamyPatti Melastreet (Ward 3) , 3.RamasamyPatti Pillaiyarkovil South Street (Ward 3) , 4.RamasamyPatti Middle Street (Ward 4)"
42,"Panchayat Union Elementary School,North Portion, New Building, Mustakurichi",1.Mustakurichi West street colony ward1 2.Mustakurichi Middle street Ward1 3.Mustakurichi South street Ward1 4.Mustakurichi North street Ward1 5.Mustakurichi East street Ward1 6.Mustakurichi Cross street Ward1 7.Mustakurichi Colony street Ward1 8.Mustakuruchi East Street Ward2 9.Mustakuruchi Colony Street Ward2 10.Mustakuruchi South Street Ward2
43,"Panchayat Union Elementary School, New Building, Perumalkudumpanpatti",1.Perumalkudumpanpatti Oorani Street Ward2 2.Perumalkudumpanpatti South Street1 ward2 3.Perumalkudumpanpatti Southstreet2 Ward2 4.Perumalkudumpanpatti west street ward2 5.Perumalkudumpanpatti North street ward2 6.Pudhupatti North Street ward3 7.Puduppatti South street Ward3 8.Asoor Colony street Ward3 9.Asoor south street1 ward3 10.Asoor South Street2 ward3
44,"RC.Elementary School, Thiruchiluvaipuram",1.Otthapuli village west street Ward5 2.Otthapuli east street Ward5 3.Udaikulam north street Ward5 4.Udaikulam south street Ward5 5.Thiruchiluvaipuram North street (Ward5) 6.Thiruchiluvaipuram South street (Ward 5)
45,"Panchayat Union Elementary School, New Building, Western Portion, Periyamanakulam","1.Chinnamanakulam ward 4 , 2.Chinnamanakulam East street Ward4 3.Periyamanakulam north street Ward4 4.Periyamanakulam west street Ward4 5.Periyamanakulam east street Ward4 6.Periyamanakulam road street Ward4"
46,"Panchayat Union Elementary School, Muthalnadu","1.Mudhalnadu West street ward 1 , 2.Mudhalnadu Middle street Ward2 3.Mudhalnadu East street Ward2 4.Mudhalnadu North street Ward2 5.Mudhalnadu colony Ward 2 , 6.Oththavedu Ward3 7.Kudikiniyan Ward3 8.Arisikuludhan Ward3"
47,"Adi Dravidar Welfare School, West Builiding, Sengapadai","1.Sengapadai melastreet (north side) Ward 1 , 2.Sengapadai mulaikottu thinnai street Ward 1 , 3.Sengapadai 2nd street Ward 2 , 4.Sengapadai 1st street Ward 1 , 5.Sengapadai south street melpuram Ward 1 , 6. Sengapadai ammankovil street Ward 2 , 7. Sengapadai mainroad Ward 2 , 8. Sengapadai south street kelpuram ward 2"
48,"Adi Dravidar Welfare School, East Building, Sengapadai","1.Sengapadai south street Ward 2 , 2.Sengapadai sayalgudi mainroad Ward 1 , 3. Pambul nayakkanpatti north street melpuram Ward , 4.Pambul nayakkanpatti north street kelpuram Ward , 5. Pambul nayakkan patti north street kelpuram ward , 6. Pambul nayakkan patti mainroad Ward 3 , 7.Pambul nayakkanpatti west street Ward 3 , 8. Pambul nayakkanpatti bazar street Ward 3 , 9. Pambul nayakkan patti east street Ward 3 , 10.Pambul nayakkanpatti mainroad Ward 3"
49,"Panchayat Union Middle School, Old Building, West Portion, Peraiyur","1.Peraiyur pillaimar street 1 ward 1 , 2.Peraiyur pillaimar street 2 ward 1 , 3. Peraiyur nadar first street ward 1 , 4.Peraiyur nadar second street ward 1 , 5.Peraiyur east street ward 1 , 6.Peraiyur police line street ward 1 , 7.Peraiyur south street 1 ward 1 , 8.Peraiyur south street 2 ward 1"
50,"Panchayat Union Middle School, Old Building, East Portion, Peraiyur","1.Mettupatti north street ward 3 , 2.Mettupatti nadar south street ward 3 , 3.Mettupatti colony ward 3 , 4.Sernthakottai ambethkar street ward 3 , 5.Sernthakottai colony street ward 3 , 6.Sernthakottai veeransundaralingam street"
51,"Government Higher Secondary School, South Side East Building, 3rd Room, Peraiyur","1.Peraiyur Kadaitheru veedhi (ward 2) , 2.Peraiyur Muslim IInd Street (Ward 2) , 3.Peraiyur Muslim Ist Street (Ward 2) , 4.Peraiyur East Street (Ward 2) , 5.Peraiyur Ist Middle Street (Ward 2) , 6.Peraiyur IInd Middle Street (ward 2) , 7.Peraiyur IInd East Street (Ward 2) , 8.Peraiyur IIIrd East Street (Ward 2) , 9.Peraiyur Ist East Street (Ward 2)"
52,"Government Higher Secondary School, North Side New Building, West Portion (Ground Floor), Peraiyur","1.Peraiyur Ist North Street (Ward 2) , 2.Peraiyur IInd North Street (Ward 2) , 3.Peraiyur IVth North Street (ward 2) , 4.Peraiyur IIIrd North Street (Ward 2) , 5.Peraiyur Kanmaikarai Ist Street (Ward 2) , 6.Peraiyur Peraiyur Colony (Ward 2) , 7.Peraiyur Kanmaikarai IInd Street (Ward 2) , 8.Peraiyur Kanmaikarai IIIrd Street (Ward 2)"
53,"Panchayat Union Middle School, New Building, Western Portion, Peraiyur","1.Ariyanachipuram (ward 2) , 2.Peraiyur North street Colony (Ward 2) , 3.Peraiyur Colony (Ward 2) , 4.Peraiyur South Street (Ward 2) , 5.Peraiyur PeterPuram (Ward 2)"
54,"Panchayat Union Elementary School, Western Portion, Keelavalasai","1 Samipatti east street (ward 4) , 2. Samipatti West street (Ward 4) 3.Peraiyur Colony Street (Ward 4) , 4.Sangarappanpatti South street (Ward 5) , 5.Sangarappanpatti North street (Ward 5) , 6.Kelavalasai West street (Ward 5) , 7.Kelavalasai East street (Ward 5)"
55,"Panchayat Union Elementary School, Eastern Portion, Keelavalasai","1.Sengottaipatti Colony (Ward 4) , 2.Sengottaipatti South street (Ward 4) , 3.Sengottaipatt North street (Ward 4) , 4.Sengottaipatti west street (Ward 4)"
