Sl. No,Polling Station No,M ESWARI,S G BATCHA SIKKANDAR,EMAN J PANDIAMMAL,LARENEG,EHT B MANI,S SROTCELE S V E NAIDU RAJAKUMAR,OT R ELANGOVAN,SURESH KREMMER,R M KRISHNAPRABBU,. N SATHIYENDRAN,IARUDAM S SIVASANKAR,R K RAJASURIYAA,LARTNEC,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
279,191(A),0,136,147,2,4,14,50,1,0,0,3,0,0,0,4,361,0,361,0
280,192,1,134,227,4,3,34,77,1,0,6,2,1,0,0,18,508,0,508,0
281,193,0,142,200,0,6,5,52,0,0,7,0,0,1,0,3,416,0,416,0
282,194,4,125,287,2,7,30,101,0,3,6,3,0,1,1,17,587,0,587,0
283,195,0,166,163,1,6,30,52,0,1,5,1,0,0,0,7,432,0,432,0
284,195(A),1,109,157,0,4,14,58,1,0,6,1,0,0,2,3,356,0,356,0
285,196,0,187,120,0,10,37,38,0,0,2,2,0,0,0,4,400,0,400,0
286,196(A),1,158,117,0,6,20,38,1,0,4,2,0,0,0,4,351,0,351,0
287,197,1,213,206,2,7,37,55,1,0,2,1,0,0,0,13,538,0,538,0
288,198,1,225,120,1,2,30,30,2,0,3,0,1,0,0,2,417,0,417,0
289,198(A),0,197,75,0,2,12,29,0,0,3,0,0,0,1,2,321,0,321,0
290,199,2,241,108,0,12,22,44,0,2,8,0,0,0,1,6,446,0,446,0
291,200,1,176,124,2,7,27,20,0,1,3,0,0,0,1,6,368,0,368,0
292,200(A),0,154,85,0,5,21,28,0,0,2,1,0,1,0,6,303,0,303,0
293,201,1,285,109,1,16,28,45,2,0,5,0,0,1,0,4,497,0,497,0
294,202,0,412,13,0,106,12,22,0,0,7,0,0,0,0,2,574,0,574,0
295,203,0,237,88,1,27,22,55,2,1,4,1,0,0,0,8,446,0,446,0
296,203(A),0,201,100,0,22,14,46,1,0,1,0,0,0,0,3,388,0,388,0
297,204,0,156,87,0,17,28,53,0,2,2,0,0,1,0,1,347,0,347,0
298,204(A),1,156,122,3,15,17,41,0,0,3,1,0,0,1,0,360,0,360,0
299,205,1,273,205,1,25,48,71,0,3,2,1,0,3,1,2,636,0,636,0
300,206,1,248,178,2,7,58,76,2,0,3,0,0,0,3,9,587,0,587,0
301,207,1,163,95,1,3,42,35,0,0,1,0,0,0,1,10,352,0,352,0
302,207(A),0,171,86,3,4,16,42,0,0,2,1,0,0,0,2,327,0,327,0
303,208,2,108,146,0,0,17,41,2,0,0,0,0,0,0,8,324,0,324,0
304,208(A),2,91,148,0,1,12,63,0,0,1,1,0,0,0,7,326,0,326,0
305,209,1,140,134,1,6,15,50,0,0,5,1,0,1,0,5,359,0,359,0
306,210,1,143,109,2,3,32,68,0,0,2,4,0,0,0,6,370,0,370,0
307,211,1,203,134,1,16,46,33,1,3,8,4,0,0,5,5,460,0,460,0
308,212,0,172,77,1,10,47,39,1,0,2,3,0,1,0,2,355,0,355,0
309,212(A),2,154,138,1,8,25,45,0,1,2,2,0,0,1,2,381,0,381,0
310,213,0,144,83,0,2,26,32,1,1,1,2,0,0,0,4,296,0,296,0
311,213(A),1,116,94,1,3,18,34,3,2,2,1,0,1,1,5,282,0,282,0
312,214,1,306,149,1,11,60,70,0,3,0,0,1,0,0,3,605,0,605,0
313,215,0,204,96,2,21,68,27,0,0,4,4,0,0,0,8,434,0,434,0
314,215(A),4,226,146,0,16,40,30,2,2,2,1,0,0,0,3,472,0,472,0
315,216,1,243,162,1,11,64,80,1,1,4,4,0,0,2,8,582,0,582,0
316,217,1,157,94,2,7,36,56,0,2,2,0,1,1,0,1,360,0,360,0
317,218,0,253,151,0,10,38,60,1,1,1,1,1,0,0,9,526,0,526,0
318,219,0,179,84,0,15,32,54,0,0,3,0,0,0,1,1,369,0,369,0
