Sl. No,Polling Station No,Raja.N Makkal Katchi Sakthi Desiya,G Kamalakannan. Tamilnadu Ilangyar Katchi,Karthikeyan.R. Tamilar Katchi Naam,Sarathbabu Maiam Needhi Makkal,Subashree Arasiyal Makkal Anaithu,Suresh.R.Dr. Manavadhikaa Federal Bhartiya r,Thameem Mohammed M Ansari. India Democratic of Party Social,Chinnadurai Rajesh South Democratic of National India Party,Vincent.J India (Athawale) Republican of Party,Anbarasu.E Independent,Anbarasu.S Independent,M Anbarasu. Independent,M Kumar. Ashok Independent,Mohammed Ali Independent,Lincon.A Abraham Independent,Sathiyaraj.P Independent,Saravanan.K Independent,Saravanan.C Independent,S.V. Saravanan Independent,Nithiyanandam.S Independent,Raji.B Independent,Sridhar.S Independent,Sridhar.S Independent,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
77,50 M,290,128,0,1,40,14,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,480,0,480,0
78,50 AW,266,148,0,2,26,22,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,467,0,467,0
79,51 M,228,122,1,1,39,23,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,421,0,421,0
80,51 AW,221,119,0,0,25,27,0,0,3,0,0,4,1,1,0,1,4,1,0,1,0,0,0,1,1,1,411,0,411,0
81,52 M,196,121,0,1,46,31,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,406,0,406,0
82,52 AW,203,125,2,1,31,32,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,5,403,0,403,0
83,53,285,184,0,0,60,44,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,4,587,0,587,0
84,54 M,233,120,0,0,51,50,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,2,463,0,463,0
85,54 AW,199,136,1,1,23,47,0,0,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0,2,0,1,415,0,415,0
86,55 M,182,128,1,0,48,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,380,0,380,0
87,55 AW,197,149,1,0,23,15,0,0,3,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,4,396,0,396,0
88,56,356,167,0,2,62,72,0,0,4,0,0,1,0,0,1,2,0,0,0,0,0,0,0,1,4,5,677,0,677,0
89,57 M,213,104,0,1,40,21,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,389,0,389,0
90,57 AW,220,127,1,0,36,34,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,422,0,422,0
91,58,142,74,0,0,14,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,238,0,238,0
92,59,313,156,0,0,40,26,0,0,8,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,548,0,548,0
93,60 M,196,111,0,2,32,13,0,0,8,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,366,0,366,0
94,60 AW,196,123,1,0,27,19,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,370,0,370,0
95,61,144,59,0,1,32,19,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,260,0,260,0
96,62 M,177,75,1,2,44,43,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,349,0,349,0
97,62 AW,178,97,0,0,25,37,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,2,344,0,344,0
98,63,190,106,0,0,41,72,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,412,0,412,0
99,64,246,161,0,3,43,64,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,522,0,522,0
100,65 M,169,86,0,0,38,43,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,343,0,343,0
101,65 AW,164,99,0,1,21,38,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,329,0,329,0
102,66 M,192,104,0,1,47,55,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,406,0,406,0
103,66 AW,175,118,0,1,28,62,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,390,0,390,0
104,67 M,171,98,0,1,28,22,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,325,0
105,67 AW,168,89,0,0,22,29,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,316,0,316,0
106,68,155,102,1,2,32,62,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,361,0,361,0
107,69 M,199,113,0,1,30,48,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,401,0,401,0
108,69 AW,175,106,0,0,21,56,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,373,0,373,0
109,70 M,94,40,0,0,13,27,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,179,0,179,0
110,70 AW,207,102,1,4,18,95,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,4,435,0,435,0
