Sl. No,Polling Station No,Ananthalakshmi Party,OT Ganesan Lakshmi Dravida Kazhagam,EHT K. Kannan Katchi,UDANLIMAT ot( ISAKAVIS S. Karuppasamy Puratchi,EVITALSIGEL eb desu htob M. R. Kalyanasundari Kanagapriya Katchi,ees rof G. Samikkalai Kazagam,)c()(C ItraP yratnemailraP M.G.R. Nambbi Party Makkal Kazhagam,MORF dna P. Palanichamy,S. Mugunthan MNM,ISAKAVIS ) G. Jeevanantham,C. Ashokkumar,P. Anbalagan,R. Ganesan,N. Karthik,D. Kesavakumar,S. Thangaraj,M. Dharmalingam,S. Pandiarajan,N. Balakrishnan,G. Mayilvaganan,M. Marimuthu,E. Lakshmanan,M. Kumar Vinoth,T. Mary Joys,No.of,egaP No.of,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
122,88A(W),178,4,172,0,0,1,55,14,0,0,13,0,1,0,1,2,2,3,0,1,0,0,0,0,0,0,447,0,2,449,0
123,89,266,4,245,2,5,2,85,50,0,0,14,0,0,0,0,2,2,1,1,4,0,1,0,2,1,1,688,0,5,693,0
124,90,251,1,108,1,2,0,75,17,0,0,22,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,483,0,3,486,0
125,91M,131,2,72,0,0,0,55,39,0,0,11,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,314,0,5,319,0
126,91A(W),150,3,76,1,2,0,28,23,0,1,5,0,0,0,0,2,0,1,1,0,0,0,0,1,0,0,294,0,5,299,0
127,92,331,0,173,0,1,0,91,16,0,1,28,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,645,0,7,652,0
128,93,253,0,170,0,1,0,89,1,0,0,28,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,547,0,3,550,0
129,94,226,0,133,0,0,0,52,4,0,0,24,1,0,0,0,0,1,0,2,2,1,0,0,1,1,1,449,0,3,452,0
130,95,330,3,192,2,0,2,55,22,0,0,21,0,0,0,0,3,0,2,0,0,3,0,0,0,1,0,636,0,3,639,0
131,96,243,0,153,0,0,0,66,18,3,0,13,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,501,0,3,504,0
132,97,181,0,128,0,1,0,47,15,0,0,15,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,390,0,6,396,0
133,98,133,1,110,0,0,1,14,61,1,0,8,0,1,0,1,0,0,1,2,0,1,1,0,1,0,0,337,0,1,338,0
134,99,158,1,132,1,1,1,22,15,1,0,4,0,0,0,0,0,2,1,3,0,4,0,0,0,1,0,347,0,2,349,0
135,100M,162,1,88,1,0,0,40,38,0,0,8,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,343,0,4,347,0
136,100A(W),157,1,131,0,1,2,18,16,1,0,13,1,1,1,0,1,1,3,1,0,1,0,0,0,1,0,351,0,5,356,0
137,101M,189,0,84,0,0,0,73,47,0,0,29,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,426,0,10,436,0
138,101A(W),166,1,128,1,1,0,39,39,1,0,30,0,0,0,0,1,2,1,1,1,0,1,0,1,0,0,414,0,7,421,0
139,102,139,1,206,1,0,1,40,53,1,0,15,0,0,1,0,1,1,2,0,0,1,0,0,0,0,0,463,0,4,467,0
140,103M,155,0,141,0,0,1,81,56,0,0,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,453,0,2,455,0
141,103A(W),186,3,176,2,1,1,33,23,0,0,13,0,0,1,1,2,2,0,0,1,1,0,0,0,0,0,446,0,1,447,0
142,104,294,2,219,3,0,2,77,54,0,0,22,0,0,1,2,2,2,0,1,0,0,0,0,0,2,1,684,0,11,695,0
143,105,282,1,215,2,2,0,82,60,0,0,24,0,0,0,0,2,2,0,0,1,0,0,0,1,0,1,675,0,7,682,0
144,106,175,2,193,0,1,0,71,50,0,0,7,0,0,1,0,1,4,3,1,0,0,1,0,0,0,0,510,0,5,515,0
145,107,195,1,134,0,0,0,62,34,0,0,15,0,1,0,0,1,2,0,0,1,1,0,0,1,0,0,448,0,6,454,0
146,108M,144,0,108,0,1,0,52,41,0,0,8,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,358,0,1,359,0
147,108A(W),126,2,156,0,1,0,15,22,0,0,7,0,0,1,2,2,1,1,2,0,0,0,0,1,1,0,340,0,4,344,0
148,109M,155,1,129,0,1,0,64,47,0,0,12,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,413,0,3,416,0
149,109A(W),119,2,234,2,1,0,35,19,0,0,10,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,429,0,1,430,0
150,110,116,1,85,1,0,0,16,12,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,0,1,240,0
151,111M,174,2,111,1,1,0,55,91,0,0,17,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,455,0,8,463,0
152,111A(W),183,1,128,1,1,2,45,54,0,1,19,1,0,0,0,0,0,1,3,0,1,0,0,0,0,0,441,0,4,445,0
