Sl. No,Polling Station No,"SELVAPERUNTHAGAI, K NATIONAL CONGRESS INDIAN","E VINOTH, SAMAJ BAHUJAN PARTY","M THANIGAIVEL, NEEDHI MAKKAL MAIAM","D PUSHPARAJ, TAMILAR KATCHI NAAM","E LOKESH, MAKKAL KATCHI SAKTHI DESIYA","S SAROJA, INDEPENDENT","P SUDHAKAR, INDEPENDENT","K DEVARAJAN, INDEPENDENT","M PARTHIBAN, INDEPENDENT","V LEENA, INDEPENDENT","E VASANTHI, INDEPENDENT","R VEDHAGIRI, INDEPENDENT","D VAIRAMUTHU, INDEPENDENT",Votes,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
42,35 M,218,110,1,5,57,95,0,0,0,0,1,0,0,0,2,1,490,0,490,0
43,35 A(W),241,148,1,5,30,58,0,0,0,0,0,0,1,1,4,6,495,0,495,0
44,36,224,105,1,8,40,41,1,0,0,0,0,1,0,0,1,1,423,0,423,0
45,37,262,210,0,14,41,31,1,0,0,0,0,0,0,0,0,2,561,0,561,0
46,38,297,230,0,13,56,5,0,0,0,0,0,0,1,0,3,3,608,0,608,0
47,39,363,273,1,8,74,27,0,2,0,1,0,0,0,0,2,4,755,0,755,0
48,40 M,132,377,2,1,27,15,0,0,0,1,0,0,0,1,1,7,564,0,564,0
49,40 A(W),151,349,4,2,16,6,0,0,0,0,0,0,1,2,2,7,540,0,540,0
50,41,93,76,0,1,28,12,0,0,0,0,0,0,0,1,24,1,236,0,236,0
51,42,273,481,1,3,41,9,1,0,0,0,0,1,1,0,1,3,815,0,815,0
52,43 M,277,155,3,11,55,16,0,0,0,0,0,0,1,0,2,4,524,0,524,0
53,43 A(W),283,190,1,12,37,8,0,0,0,0,0,0,1,0,4,6,542,0,542,0
54,44,281,336,2,9,37,7,0,1,0,0,0,0,1,0,11,12,697,0,697,0
55,45,271,463,4,7,37,5,0,1,0,0,0,0,1,1,7,3,800,0,800,0
56,46 M,151,244,0,1,53,6,0,0,0,0,1,0,0,0,5,4,465,0,465,0
57,46 A(W),177,246,0,1,27,0,0,0,0,0,0,0,1,0,4,3,459,0,459,0
58,47,423,333,3,5,65,8,0,1,0,0,0,0,1,0,32,9,880,0,880,0
59,48,390,378,2,7,48,10,0,0,0,0,0,0,0,2,5,12,854,0,854,0
60,49 M,201,216,1,4,53,12,1,0,0,0,0,1,0,0,4,3,496,0,496,0
61,49 A(W),230,222,1,6,26,6,0,1,0,0,0,0,0,0,1,4,497,0,497,0
62,50 M,189,177,4,4,49,5,0,1,0,0,0,1,0,0,3,0,433,0,433,0
63,50 A(W),216,206,1,3,21,4,0,0,0,0,0,2,1,0,0,4,458,0,458,0
64,51,361,342,4,14,49,12,1,0,0,0,0,1,0,0,1,5,790,0,790,0
65,52 M,256,167,2,5,51,22,0,1,0,0,0,0,0,0,15,3,522,0,522,0
66,52 A(W),264,186,0,5,26,8,1,0,1,1,1,0,0,1,6,10,510,0,510,0
67,53,234,190,2,1,36,1,0,0,0,1,0,0,0,0,7,3,475,0,475,0
68,54,231,343,2,22,70,4,1,0,0,0,0,0,0,0,23,9,705,0,705,0
69,55,238,223,0,7,49,5,0,0,0,0,0,0,0,0,5,5,532,0,532,0
70,56,258,412,3,10,53,2,0,0,0,1,0,0,0,0,2,5,746,0,746,0
71,57 M,160,239,6,5,64,4,0,1,0,0,0,0,0,1,4,3,487,0,487,0
72,57 A(W),158,311,3,6,28,2,0,1,0,1,0,1,0,0,4,5,520,0,520,0
73,58,196,258,2,34,37,5,0,0,0,0,0,0,0,0,1,5,538,0,538,0
74,59 M,218,115,0,6,52,6,1,0,0,0,1,0,0,0,31,3,433,0,433,0
75,59 A(W),199,160,2,8,26,5,0,0,0,0,2,1,0,2,17,4,426,0,426,0
76,60,297,287,3,22,36,9,3,0,0,0,0,0,2,0,0,7,666,0,666,0
77,61,235,306,5,29,36,12,0,0,1,0,0,1,1,1,0,5,632,0,632,0
78,62,183,171,0,29,34,3,0,0,0,0,0,1,0,0,0,9,430,0,430,0
79,63,194,177,0,53,32,2,0,0,0,0,0,0,0,0,1,11,470,0,470,0
80,64,176,230,2,28,27,3,0,1,0,0,0,0,0,0,0,5,472,0,472,0
81,65,171,189,0,17,48,5,0,0,0,0,1,0,2,0,4,2,439,0,439,0
82,66,262,277,2,35,64,8,0,0,0,0,0,0,0,0,1,6,655,0,655,0
83,67,196,262,3,17,49,13,0,0,0,0,0,1,0,1,1,9,552,0,552,0
84,68,187,254,0,30,43,1,0,0,0,0,0,0,0,0,0,4,519,0,519,0
85,69,225,174,0,14,35,10,0,0,0,0,0,0,0,1,12,5,476,0,476,0
86,70 M,120,104,1,22,40,5,0,0,0,0,0,0,0,0,1,3,296,0,296,0
87,70 A(W),109,106,0,22,19,2,0,0,0,1,0,1,0,0,0,4,264,0,264,0
88,71 M,143,215,2,20,48,2,0,0,0,0,0,0,0,1,1,5,437,0,437,0
89,71 A(W),127,217,1,16,20,1,0,0,0,1,1,0,1,1,1,8,395,0,395,0
90,72,293,262,2,36,63,8,0,1,0,0,0,0,1,1,3,7,677,0,677,0
91,73,241,256,1,42,76,6,0,0,0,0,0,0,1,0,3,5,631,0,631,0
92,74,279,210,4,17,57,8,0,3,0,0,1,0,0,0,51,8,638,0,638,0
93,75,262,163,0,6,40,2,0,0,0,0,1,0,0,1,18,4,497,0,497,0
94,76,225,197,1,22,53,9,0,0,0,1,1,0,0,0,1,6,516,0,516,0
95,77,242,236,0,50,70,13,0,0,0,1,0,0,0,0,1,5,618,0,618,0
96,78 M,165,137,1,10,53,7,0,1,0,2,0,1,0,0,5,2,384,0,384,0
97,78 A(W),155,136,0,11,23,5,0,0,0,3,1,0,1,0,4,3,342,0,342,0
98,79 M,170,196,14,6,47,7,0,0,0,0,1,0,0,0,4,4,449,0,449,0
99,79 A(W),151,268,8,5,8,6,0,0,0,0,0,2,0,0,5,1,454,0,454,0
100,80 M,206,175,0,1,57,4,0,0,0,1,0,0,0,2,15,2,463,0,463,0
101,80 A(W),202,211,2,2,23,0,2,1,0,1,0,1,1,2,7,8,463,0,463,0
102,81 M,206,167,0,7,48,7,0,0,0,0,0,0,0,0,20,4,459,0,459,0
103,81 A(W),210,189,0,3,25,10,0,2,0,0,0,1,0,0,13,2,455,0,455,0
104,82,386,266,3,14,128,13,0,3,2,0,0,1,0,0,12,7,835,0,835,0
105,83 M,174,195,0,5,41,7,0,0,0,0,0,0,0,0,4,6,432,0,432,0
106,83 A(W),181,203,1,7,16,2,0,0,1,0,0,1,0,0,1,3,416,0,416,0
107,84,366,164,2,4,32,4,2,0,0,0,0,1,0,1,7,5,588,0,588,0
108,85,313,279,19,9,33,5,0,0,0,1,0,0,2,0,2,4,667,0,667,0
109,86,254,218,40,0,55,4,0,0,0,0,1,0,0,0,2,3,577,0,577,0
110,87,332,154,1,7,45,3,0,0,1,0,1,1,0,0,10,1,556,0,556,0
111,88,303,219,3,5,81,7,1,0,0,0,0,1,1,0,18,2,641,0,641,0
112,89 M,192,143,4,9,73,5,0,0,0,0,0,0,1,1,15,4,447,0,447,0
113,89 A(W),257,161,1,13,42,3,0,0,0,1,0,0,1,0,10,3,492,0,492,0
114,90,414,293,5,8,86,13,0,0,0,0,0,0,0,0,22,5,846,0,846,0
115,91M,204,276,5,8,26,3,0,0,0,0,0,0,1,0,5,1,529,0,529,0
116,91 A(W),220,295,0,4,8,3,0,0,0,0,0,0,0,0,1,1,532,0,532,0
117,92,248,307,2,12,18,4,1,0,0,0,0,1,0,0,6,3,602,0,602,0
118,93,231,388,2,3,28,5,0,0,0,0,0,0,1,0,2,3,663,0,663,0
119,94,372,178,39,28,50,24,0,1,0,1,0,0,0,0,16,6,715,0,715,0
120,95,274,284,20,14,99,21,0,0,2,1,0,0,0,0,16,7,738,0,738,0
121,96,300,362,5,16,100,9,0,1,0,1,0,1,0,1,27,6,829,0,829,0
122,97 M,220,233,0,7,59,9,0,2,2,0,0,0,1,0,48,7,588,0,588,0
123,97 A(W),214,280,2,8,32,4,0,1,1,1,0,1,0,0,14,13,571,0,571,0
124,98M,189,211,1,3,40,7,0,1,0,0,0,0,1,0,30,3,486,0,486,0
125,98 A(W),173,249,3,6,18,4,0,2,1,0,0,0,0,0,7,4,467,0,467,0
126,99 M,145,196,2,10,53,6,0,0,0,0,0,0,0,0,5,3,420,0,420,0
127,99 A(W),134,203,3,12,21,2,2,0,0,0,0,0,0,1,2,4,384,0,384,0
128,100 M,195,116,1,5,48,6,1,0,0,0,0,0,0,0,8,1,381,0,381,0
129,100 A(W),207,167,3,9,15,4,0,0,1,0,0,0,1,0,7,1,415,0,415,0
130,101,304,302,28,1,69,8,1,0,1,0,1,0,0,3,6,5,729,0,729,0
131,102 M,186,148,11,12,33,2,2,0,0,0,0,0,2,0,3,3,402,0,402,0
132,102 A(W),181,149,7,9,24,1,0,0,2,0,0,1,0,0,2,3,379,0,379,0
133,103,449,273,1,7,45,5,0,0,0,0,0,0,1,0,30,2,813,0,813,0
134,104 M,166,115,1,15,57,1,0,0,0,0,0,0,0,0,38,3,396,0,396,0
135,104 A(W),143,143,2,15,33,0,0,1,0,0,0,1,0,0,26,2,366,0,366,0
136,105,225,262,4,19,98,3,1,4,0,0,0,1,0,1,70,8,696,0,696,0
137,106,258,265,0,23,77,3,0,2,1,0,0,1,0,0,36,8,674,0,674,0
138,107,147,177,0,23,58,2,0,2,0,1,0,0,0,0,34,8,452,0,452,0
139,108,309,207,0,17,72,1,0,2,0,0,0,1,0,2,53,6,670,0,670,0
140,109 M,198,197,0,7,53,0,0,1,0,0,0,0,0,1,66,1,524,0,524,0
141,109 A(W),182,221,1,11,26,1,0,1,0,0,0,1,0,0,49,2,495,0,495,0
142,110 M,163,140,0,17,59,3,1,1,0,0,0,0,0,0,78,6,468,0,468,0
143,110 A(W),184,157,1,13,40,3,0,2,0,1,0,0,0,0,54,8,463,0,463,0
