Sl. No,Polling Station No,SELVARAJ.V Jananayaga Katchi Indiya,ROHINI.T Katchi Tamilar Naam,SANKAR.P Independent,CHANDRASEKARAN. C Independent,THIYAGARAJAN.C Independent,DINESH.C Independent,DURAIRAJ.S Independent,PRASATH.S Independent,MUTHUSAMY.C Independent,RANCHITH.C Independent,RAMESH.R Independent,RAMASAMY.K.V Independent,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
177,140,194,287,3,5,36,0,16,1,0,0,1,0,1,0,0,544,0,4,548,0
178,141,350,434,2,2,51,0,10,0,0,0,0,2,0,3,6,860,0,11,871,0
179,142,411,331,4,0,51,0,15,0,1,0,1,0,0,1,4,819,0,14,833,0
180,143,301,343,0,1,64,0,17,0,0,0,2,0,1,1,1,731,0,13,744,0
181,144,482,259,3,1,10,2,33,0,0,0,0,0,1,0,2,793,0,12,805,0
182,145,427,293,2,1,36,0,55,0,0,2,0,1,0,1,2,820,0,8,828,0
183,146,133,183,0,6,20,1,20,0,0,0,0,0,0,0,0,363,0,7,370,0
184,147,279,279,3,7,24,1,67,2,0,1,0,0,0,0,3,666,0,7,673,0
185,148,85,302,1,2,24,0,18,0,0,0,0,0,0,0,0,432,0,1,433,0
186,149,235,327,1,1,65,0,24,0,0,2,0,0,0,0,1,656,0,1,657,0
187,150M,194,206,0,0,38,0,11,0,0,0,0,0,0,0,2,451,0,5,456,0
188,150A(W),244,196,1,1,22,1,14,0,0,0,0,0,0,0,1,480,0,5,485,0
189,151,207,151,3,1,46,0,13,0,0,0,0,0,0,0,2,423,0,2,425,0
190,152,224,195,3,0,51,1,13,0,0,0,0,0,0,2,0,489,0,8,497,0
191,153,252,407,1,0,53,0,11,0,0,0,0,0,0,1,4,729,0,8,737,0
192,154,254,239,1,0,45,0,28,0,1,0,0,0,0,0,0,568,0,4,572,0
193,155,308,209,2,1,52,0,14,0,0,0,0,0,0,0,1,587,0,9,596,0
194,156,229,261,6,2,56,2,9,0,1,0,0,0,1,0,1,568,0,7,575,0
195,157,208,164,2,0,34,0,3,0,0,0,0,0,0,0,1,412,0,7,419,0
196,158,410,292,1,0,83,0,12,0,0,1,0,1,0,0,1,801,0,11,812,0
197,159,240,123,0,0,37,0,5,0,2,0,0,0,0,0,0,407,0,2,409,0
198,160,254,250,2,1,72,0,38,1,0,0,0,0,1,0,2,621,0,5,626,0
199,161M,194,183,4,0,68,0,7,0,0,1,0,0,0,0,0,457,0,2,459,0
200,161A(W),255,236,1,0,35,1,14,0,0,0,0,1,1,3,1,548,0,5,553,0
201,162,228,229,1,1,46,0,18,0,1,0,0,1,0,10,5,540,0,7,547,0
202,163,296,493,7,0,49,0,27,1,1,0,0,0,1,2,2,879,0,7,886,0
203,164,318,281,5,1,47,0,7,1,0,0,0,1,1,1,1,664,0,11,675,0
204,165,317,251,2,1,38,2,8,0,0,1,0,0,2,0,3,625,0,12,637,0
205,166,208,269,1,1,35,0,1,1,1,0,1,0,0,0,1,519,0,7,526,0
206,167,187,318,8,0,26,1,2,0,0,1,0,0,0,0,2,545,0,5,550,0
207,168,301,290,1,3,89,1,13,0,2,0,0,0,0,0,2,702,0,13,715,0
208,169,160,147,0,1,33,1,10,0,0,0,0,0,0,0,1,353,0,6,359,0
209,170M,194,192,3,1,41,0,9,0,0,0,0,0,1,0,1,442,0,2,444,0
210,170A(W),252,208,1,1,27,1,15,0,0,0,0,0,0,0,1,506,0,6,512,0
211,171,330,354,2,5,76,1,19,1,0,0,0,2,0,0,0,790,0,12,802,0
212,172,295,251,3,1,52,0,18,3,0,0,0,0,1,0,2,626,0,9,635,0
213,173,243,304,2,2,60,0,5,0,0,0,0,0,1,0,1,618,0,7,625,0
214,174,289,320,0,4,74,1,6,0,0,0,0,1,0,0,0,695,0,14,709,0
215,175,153,177,3,0,36,0,11,1,0,0,0,0,0,1,0,382,0,7,389,0
216,176M,96,233,0,0,40,0,5,0,0,0,0,0,1,0,0,375,0,5,380,0
217,176A(W),95,242,3,0,18,0,1,0,0,0,0,0,0,0,0,359,0,5,364,0
218,177,151,311,8,0,85,0,10,0,0,0,0,0,0,0,0,565,0,9,574,0
219,178,446,160,1,1,19,0,0,0,0,0,0,0,0,1,0,628,0,6,634,0
220,179,258,178,1,2,32,1,5,0,0,0,1,0,0,0,0,478,0,4,482,0
221,180,210,378,4,0,63,0,11,0,1,0,0,0,2,0,2,671,0,1,672,0
222,181,365,298,1,0,43,0,15,1,1,0,1,0,0,0,0,725,0,11,736,0
223,182,129,114,1,0,10,0,1,0,1,0,0,1,0,0,1,258,0,2,260,0
224,183,304,398,3,0,49,0,16,0,0,1,1,0,0,0,1,773,0,6,779,0
225,184,256,494,3,3,61,2,8,0,0,1,0,0,0,0,1,829,0,2,831,0
226,185,312,427,4,1,56,1,0,1,2,0,1,0,0,0,6,811,0,9,820,0
227,186,219,400,3,0,33,0,5,0,0,0,0,0,0,0,1,661,0,7,668,0
228,187,93,241,1,0,16,0,6,0,0,0,0,0,0,0,1,358,0,1,359,0
229,188,261,142,1,3,31,0,8,0,0,1,0,0,2,0,0,449,0,5,454,0
230,189,256,202,1,3,24,2,12,0,0,0,0,0,0,1,0,501,0,5,506,0
231,190,223,131,0,0,17,1,10,0,0,0,0,0,0,0,1,383,0,2,385,0
232,191,235,181,2,2,48,0,8,0,1,0,1,0,0,1,0,479,0,8,487,0
233,192,295,271,0,1,67,1,25,0,0,1,0,0,0,0,2,663,0,6,669,0
234,193,279,220,2,0,50,1,64,2,0,0,0,0,1,1,2,622,0,6,628,0
235,194,177,293,1,0,44,0,22,0,0,0,0,1,1,1,2,542,0,9,551,0
