Sl. No,Polling Station No,S Rajaram,M Muthulakshmi,Abubacker K.A.M. Muhammed,emaN M Ayyadurai,udanlimaT,eht R Ayyadurai,srotcelE T Raja Avani,evitalsigeL K Krishnan Radha,R Ponnusamy Raja,A Ganesan,R Krishnan,ITRAP A Sankar,R Subramanian Siva,S Seenivasan,rullanayadaK R Poologaraj,K Mariduraipandian,S Muruganantham,P Raji,G Velammal,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
176,137,308,3,287,1,12,63,0,0,0,0,2,2,1,6,8,3,0,0,5,1,5,707,0,2,709,0
177,138M,169,1,151,1,21,92,2,0,0,0,1,1,0,1,14,2,1,0,2,0,15,474,0,1,475,0
178,138A(W),214,4,129,0,8,74,0,1,0,0,1,0,2,7,2,7,3,1,5,0,10,468,0,4,472,0
179,139M,234,1,117,1,18,70,0,1,0,0,0,0,0,2,1,1,0,0,0,0,38,484,0,1,485,0
180,139A(W),275,8,126,1,9,48,0,0,1,0,0,2,0,1,1,13,3,0,3,1,9,501,0,0,501,0
181,140,489,7,108,2,8,63,0,1,1,0,0,1,0,3,2,12,0,0,3,1,29,730,0,3,733,0
182,141,375,9,131,2,42,139,0,2,1,0,1,0,0,0,2,1,3,0,3,1,4,716,0,1,717,0
183,142,239,4,264,2,27,29,0,2,2,1,0,1,2,7,1,4,3,1,5,1,0,595,0,2,597,0
184,143,173,6,129,0,33,273,1,2,0,0,1,1,1,3,2,4,5,0,3,2,0,639,0,0,639,0
185,144,198,5,208,5,37,67,2,1,0,0,3,1,3,1,25,3,0,0,2,1,2,564,0,4,568,1
186,145,253,2,218,2,20,21,0,0,0,1,0,0,1,5,1,5,3,0,3,1,0,536,0,1,537,0
187,146,80,3,359,2,10,29,0,0,0,0,0,0,0,2,1,0,1,0,3,0,0,490,0,1,491,0
188,147,112,4,245,0,16,38,0,1,0,0,0,0,0,1,0,0,1,1,5,0,0,424,0,0,424,0
189,148,54,0,409,1,10,19,1,0,0,0,0,1,0,1,0,1,1,0,5,0,1,504,0,2,506,0
190,149,160,8,197,0,41,121,1,0,0,0,0,1,0,2,0,2,0,0,3,0,1,537,0,2,539,0
191,150,121,2,227,3,8,69,3,2,0,1,2,0,1,0,3,1,0,0,0,1,0,444,0,0,444,0
192,151,108,0,351,4,5,48,0,0,0,0,0,0,0,5,0,2,1,2,5,2,0,533,0,1,534,0
193,152,147,1,312,1,12,75,1,3,0,0,1,0,1,1,0,3,2,1,4,1,0,566,0,2,568,0
194,153,27,1,108,0,2,310,1,1,0,0,0,0,0,2,2,0,0,0,0,0,1,455,0,4,459,0
195,154,45,0,76,1,12,322,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,461,0,1,462,0
196,155,74,3,57,0,19,321,0,0,0,0,1,1,1,2,4,1,0,0,0,1,1,486,0,1,487,0
197,156,117,4,37,0,28,55,0,0,0,0,0,0,0,1,0,2,1,1,0,1,17,264,0,2,266,0
198,157,124,9,139,0,20,71,0,0,0,0,2,0,0,0,1,2,0,0,1,0,5,374,0,2,376,0
199,158,200,4,59,1,63,195,0,0,0,0,3,0,0,2,0,6,0,2,0,1,0,536,0,6,542,0
200,159,219,9,442,4,33,21,0,0,0,0,1,0,3,5,1,1,3,0,11,3,0,756,0,0,756,0
201,160,249,3,341,1,49,72,1,0,0,0,0,1,1,1,0,4,4,0,5,2,1,735,0,2,737,0
202,161,282,3,41,1,25,164,0,0,0,0,1,2,0,0,2,2,4,0,0,0,5,532,0,4,536,0
203,162,170,4,58,0,16,102,0,1,0,1,5,0,1,0,6,8,6,0,0,0,1,379,0,4,383,0
204,163M,99,2,198,4,15,90,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,410,0,1,411,0
205,163A(W),124,1,202,1,5,86,0,0,0,0,3,1,0,0,0,6,1,0,0,0,0,430,0,0,430,0
206,164,128,2,128,1,56,211,4,0,0,1,3,1,0,1,6,2,0,1,5,0,1,551,0,3,554,0
207,165M,120,2,34,0,25,183,1,1,0,0,2,0,0,0,2,0,0,0,0,0,1,371,0,1,372,0
208,165A(W),134,1,45,0,9,194,0,2,0,0,5,0,0,1,1,2,1,1,0,0,0,396,0,1,397,0
209,166,222,2,74,1,41,201,0,0,0,1,3,0,2,2,1,7,2,1,0,1,2,563,0,4,567,0
210,167M,312,1,33,0,27,58,0,1,0,0,2,0,1,0,3,4,1,0,1,0,0,444,0,0,444,0
211,167A(W),314,1,39,0,13,66,0,0,0,0,3,0,0,4,4,6,4,0,1,1,0,456,0,2,458,0
212,168,120,1,176,0,24,140,1,0,0,0,2,0,1,5,1,4,2,1,3,0,4,485,0,2,487,0
213,169,395,4,50,1,22,236,1,1,0,0,2,0,1,0,4,1,4,0,0,0,1,723,0,4,727,0
214,170M,107,3,189,3,14,92,2,0,0,1,0,0,2,1,0,0,1,0,2,0,0,417,0,2,419,0
215,170A(W),134,1,189,2,6,74,0,0,1,2,3,3,3,13,2,11,2,1,5,2,1,455,0,1,456,0
216,171,266,3,176,0,28,111,0,0,0,0,4,2,4,6,10,7,3,1,2,1,0,624,0,1,625,0
217,172,225,2,329,3,12,32,0,1,0,0,0,0,0,1,0,5,3,1,5,1,7,627,0,1,628,0
218,173,228,3,461,3,15,25,0,0,1,0,3,0,1,5,0,4,1,1,4,1,14,770,0,3,773,0
219,174,165,2,336,0,5,18,2,0,0,0,1,1,1,1,2,6,1,0,6,1,1,549,0,1,550,0
220,175M,147,4,73,0,48,50,1,0,4,0,1,0,0,0,12,2,2,0,5,0,3,352,0,1,353,0
221,175A(W),189,2,83,2,34,62,1,1,4,0,1,1,2,1,6,6,5,0,9,2,2,413,0,1,414,0
222,176,283,7,141,1,70,119,1,1,0,0,1,0,0,2,22,4,7,1,18,1,2,681,0,1,682,0
223,177,83,2,78,1,33,57,0,0,1,0,1,1,0,4,4,1,0,0,3,0,1,270,0,4,274,0
224,178M,360,12,34,0,30,58,0,0,1,0,0,0,1,0,1,2,2,0,0,0,14,515,0,5,520,0
225,178A(W),414,22,35,1,25,41,1,1,0,0,1,0,0,0,1,10,3,0,0,0,8,563,0,2,565,0
226,179M,292,6,41,0,31,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,415,0,4,419,0
227,179A(W),292,17,46,1,11,35,1,0,0,0,0,0,0,0,0,4,2,0,0,0,1,410,0,1,411,0
228,180,442,7,129,1,40,95,0,0,2,0,0,1,2,2,2,7,4,0,2,0,3,739,0,7,746,0
229,181,259,3,146,2,43,148,2,1,0,0,0,1,0,2,12,2,0,1,2,4,0,628,0,2,630,0
