Sl. No,Polling Station No,Sundararajan .S AIADMK,DMKK.M.Rajesh,KTMT C. Sivalingam,K. Sengodan MNM,A. Chellamuthu AMMK,PIMK.Settu,S. Shobana NTK,IPG P. Ravikumar,A. Arokiasami IND,M. Gunasekaran IND,S. Gopalakrishnan IND,V. Sathishkumar IND,R. Sengoten IND,C. Durairaj IND,M. Palaniyappan IND,M. Bakkiyamani IND,K. Prabhu IND,P. Manivel IND,P. Vijayakumar IND,"INDK.Vijayan,@Viji",T. Vengadachalam IND,I. Jaganathan IND,M. Jagannathan IND,Total Valid Votes,Rejected Votes,NOTA,Total Votes
76,62,324,177,5,5,1,0,28,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,545,3,0,548
77,63,278,342,2,7,14,0,44,1,0,1,0,0,1,1,2,5,0,1,0,0,0,0,0,699,2,0,701
78,64,182,249,2,9,0,1,34,2,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,484,4,0,488
79,65,460,351,4,6,6,2,35,0,1,2,0,0,1,0,0,2,2,2,0,0,0,1,2,877,2,0,879
80,66M,210,206,0,3,4,0,35,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,462,5,0,467
81,66A(W),247,196,1,5,2,0,18,0,0,0,0,0,0,1,4,5,2,2,0,0,0,1,1,485,2,0,487
82,67,286,261,3,6,6,0,45,1,0,1,0,1,0,0,1,2,4,0,0,0,0,0,1,618,2,0,620
83,68,311,275,7,6,3,0,41,0,0,0,1,0,0,3,4,3,3,0,1,0,0,0,1,659,4,0,663
84,69,220,126,0,4,0,0,24,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,377,3,0,380
85,70M,262,210,3,7,2,0,38,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,525,4,0,529
86,70A(W),302,182,4,4,2,0,12,1,0,1,0,1,0,0,3,3,1,0,0,1,0,0,0,517,4,0,521
87,71,294,190,0,2,0,0,13,1,1,0,1,0,0,2,1,1,1,0,0,0,0,0,0,507,4,0,511
88,72M,211,167,0,11,0,0,37,0,0,0,0,0,0,0,1,4,1,0,0,0,1,0,0,433,1,0,434
89,72A(W),244,145,1,10,0,0,20,0,1,1,2,1,2,4,4,9,0,2,0,0,0,0,0,446,2,0,448
90,73,307,288,2,9,5,1,54,1,0,1,2,1,1,1,5,5,0,0,1,0,0,0,1,685,3,0,688
91,74M,155,162,1,13,2,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,4,0,363
92,74A(W),180,176,1,24,0,0,12,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,397,4,0,401
93,75M,175,143,1,9,5,0,18,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,355,1,0,356
94,75A(W),166,138,1,13,2,0,12,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,336,3,0,339
95,76,207,157,1,17,1,0,11,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,397,3,0,400
96,77,229,165,1,11,1,0,22,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,431,5,0,436
97,78M,147,212,0,4,2,0,39,0,0,0,0,0,0,0,2,4,1,0,0,1,0,0,0,412,11,0,423
98,78A(W),183,226,2,4,1,1,20,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,442,2,0,444
99,79M,97,208,2,12,0,0,28,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,350,2,0,352
100,79A(W),123,228,1,5,1,1,9,0,0,1,1,0,0,1,5,3,2,0,1,0,0,1,0,383,1,0,384
101,80,285,252,2,16,1,1,38,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,599,4,0,603
102,81,368,330,3,18,3,0,57,0,0,0,0,0,0,3,1,2,1,1,0,1,0,0,0,788,5,0,793
103,82M,167,204,1,18,2,1,57,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,455,2,0,457
104,82A(W),181,217,2,12,1,0,16,2,0,0,0,0,0,1,1,4,1,0,1,1,0,2,2,444,4,0,448
105,83M,189,192,0,17,0,0,43,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,444,3,0,447
106,83A(W),212,186,3,12,0,1,20,0,0,0,1,0,3,1,4,2,0,2,0,0,0,1,0,448,1,0,449
107,84M,186,156,0,11,1,0,18,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,377,2,0,379
108,84A(W),201,154,1,11,1,0,22,0,0,0,1,0,0,3,0,1,1,0,1,0,0,0,0,397,5,0,402
