Sl. No,Polling Station No,DHANALAKSHMIA.,MUTHUSAMYS.,EDORE KUMARP.,TSEW CHANDRANM.,OT EHT SIVASUBRAMANIYANS.,UDANLIMAT,THANGAVELG.,EVITALSIGEL SEVUGAN,EES( TRAP BALASUBRAMANIAMK.,)C)(C MORF EHT I MADHANK.,EDORE,TSEW KALITHASSR.,MUTHUSAMYA.,VENGATESANA.,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
55,42,252,3,367,31,0,0,0,3,0,1,0,0,2,2,1,662,0,2,664,0
56,43,263,4,422,55,0,5,1,17,0,0,0,2,0,6,1,776,0,8,784,0
57,44,322,1,309,52,0,0,1,28,0,0,0,0,0,1,0,714,0,8,722,0
58,45,314,2,301,37,0,1,1,16,0,0,0,1,2,2,2,679,0,6,685,0
59,46M,172,3,301,33,1,3,0,15,0,0,0,0,0,0,0,528,0,7,535,0
60,46A(W),238,3,266,19,0,1,1,8,1,0,1,2,1,11,0,552,0,6,558,0
61,47M,213,0,208,36,0,2,0,8,0,0,0,1,0,1,0,469,0,1,470,0
62,47A(W),282,2,164,15,0,1,0,13,0,0,0,1,0,2,0,480,0,4,484,0
63,48,207,2,236,33,1,1,1,16,0,0,0,0,0,1,0,498,0,5,503,0
64,49,216,2,281,33,0,0,0,29,0,0,0,0,0,3,0,564,0,8,572,0
65,50M,169,0,273,41,0,1,1,7,0,0,0,0,1,0,0,493,0,4,497,0
66,50A(W),240,1,258,20,0,1,0,11,1,0,0,0,0,3,0,535,0,0,535,0
67,51,215,1,245,32,0,0,0,18,0,0,0,0,1,1,0,513,0,2,515,0
68,52,210,0,315,22,0,0,0,31,1,0,0,0,0,0,0,579,0,5,584,0
69,53M,165,0,202,21,0,0,0,20,0,0,0,0,0,1,1,410,0,5,415,0
70,53A(W),177,1,184,14,0,0,0,27,0,1,1,1,2,0,0,408,0,3,411,0
71,54,264,3,246,40,0,2,0,23,0,0,0,1,0,1,0,580,0,1,581,0
72,55M,167,1,213,30,0,0,1,12,0,1,0,0,0,0,0,425,0,3,428,0
73,55A(W),223,1,198,18,0,0,0,12,0,0,0,0,0,2,0,454,0,3,457,0
74,56,259,2,421,44,0,1,0,19,0,0,0,1,0,3,0,750,0,10,760,0
75,57,171,1,299,42,1,3,0,30,1,0,2,0,0,0,0,550,0,2,552,0
76,58,271,1,305,19,0,0,0,21,0,0,0,0,1,1,0,619,0,3,622,0
77,59,330,3,332,58,1,2,1,18,0,1,1,3,1,1,2,754,0,6,760,0
78,60,371,2,332,61,1,1,0,23,2,0,1,2,3,2,0,801,0,6,807,0
79,61,218,1,267,24,0,0,0,1,1,1,0,1,7,2,1,524,0,4,528,0
80,62,250,0,247,31,1,1,0,4,0,0,1,3,0,1,1,540,0,8,548,0
81,63M,194,1,229,23,0,1,1,4,0,0,0,3,1,0,0,457,0,3,460,0
82,63A(W),233,1,217,12,0,0,0,3,0,0,0,1,0,2,2,471,0,11,482,0
83,64,310,6,281,24,0,4,0,9,1,0,0,0,1,5,0,641,0,5,646,0
84,65,379,5,222,33,0,5,0,7,0,0,0,1,0,2,1,655,0,4,659,0
85,66,359,4,318,53,1,1,0,21,1,0,0,3,0,2,0,763,0,7,770,0
86,67,277,5,248,19,0,1,0,11,0,0,0,1,0,3,0,565,0,3,568,0
87,68,206,3,238,26,1,8,0,13,0,2,0,1,0,0,0,498,0,5,503,0
88,69M,116,1,238,29,0,1,1,11,0,1,0,0,0,1,0,399,0,3,402,0
89,69A(W),166,3,231,16,0,2,0,5,0,0,1,1,0,1,0,426,0,2,428,0
90,70,203,2,343,20,2,0,1,7,0,0,1,0,0,1,0,580,0,3,583,0
91,71,223,1,283,35,0,3,1,12,1,0,0,3,0,2,1,565,0,5,570,0
92,72,281,3,325,39,0,1,0,21,0,0,0,1,0,0,0,671,0,8,679,0
93,73,222,1,395,31,0,3,0,13,0,0,0,0,0,2,0,667,0,3,670,0
94,74,318,6,355,45,0,6,0,10,0,1,1,1,2,2,3,750,0,7,757,0
95,75,269,3,209,21,0,1,0,6,0,0,0,0,0,2,2,513,0,1,514,0
96,76,207,2,233,37,0,1,0,11,0,9,0,1,1,0,0,502,0,5,507,0
97,77M,130,0,244,55,0,6,1,25,0,0,0,0,0,1,0,462,0,7,469,0
98,77A(W),173,2,266,38,0,2,0,20,0,0,0,0,0,1,0,502,0,1,503,0
99,78,163,0,331,44,0,5,0,14,0,0,0,0,0,1,1,559,0,9,568,0
100,79,309,2,337,27,0,0,1,14,0,0,0,0,0,3,1,694,0,3,697,0
101,80,148,2,147,9,0,1,0,4,0,0,0,0,0,1,0,312,0,1,313,0
102,81M,169,0,223,39,0,1,0,11,0,0,0,0,0,0,0,443,0,3,446,0
103,81A(W),183,1,192,25,0,0,0,11,0,0,0,1,1,1,0,415,0,7,422,0
104,82,153,5,191,21,0,0,0,8,1,0,0,0,0,0,0,379,0,3,382,0
105,83M,149,0,254,49,0,2,1,13,0,0,0,0,0,1,0,469,0,4,473,0
106,83A(W),175,0,242,17,1,2,0,11,0,1,1,0,1,0,1,452,0,6,458,0
107,84M,144,2,244,29,1,3,0,10,0,0,0,0,2,0,0,435,0,6,441,0
108,84A(W),193,1,213,25,1,0,0,10,2,0,0,0,0,1,0,446,0,6,452,0
109,85,86,0,237,23,1,4,0,17,0,0,0,0,0,1,0,369,0,5,374,0
110,86,169,0,274,36,0,1,0,10,0,0,0,0,0,1,0,491,0,11,502,0
111,87,259,1,329,53,0,3,0,44,0,0,0,0,1,2,2,694,0,9,703,0
112,88M,197,1,207,63,0,1,0,18,0,0,0,0,0,2,0,489,0,5,494,0
113,88A(W),259,0,176,27,2,2,0,24,0,1,0,1,0,0,0,492,0,5,497,0
114,89M,174,1,247,46,0,2,0,25,0,0,0,0,0,1,0,496,0,7,503,0
115,89A(W),197,2,200,30,0,0,1,20,0,0,0,0,1,2,0,453,0,5,458,0
116,90,181,0,288,44,0,2,0,39,0,0,1,2,0,1,1,559,0,5,564,0
117,91M,119,1,260,46,0,2,0,21,0,1,0,0,1,0,1,452,0,1,453,0
118,91A(W),131,1,250,19,1,1,0,19,0,2,1,1,0,2,1,429,0,2,431,0
119,92M,207,0,187,57,0,1,2,30,0,0,0,1,0,0,1,486,0,5,491,0
120,92A(W),236,0,170,34,0,0,0,29,0,0,0,1,0,3,0,473,0,3,476,0
121,93M,184,1,171,57,0,2,1,23,0,0,0,0,0,0,1,440,0,4,444,0
122,93A(W),251,2,133,28,0,1,0,22,0,0,0,0,0,2,1,440,0,5,445,0
123,94,307,0,263,47,0,4,1,34,0,0,1,1,1,5,0,664,0,5,669,0
124,95M,171,0,198,53,0,2,0,16,0,0,0,0,0,1,0,441,0,5,446,0
