Sl. No,Polling Station No,AYITARAHB ATANAJ YTRAP NAHDARAVILAK.TAV,SIVA.PANJAVARNAM PARTY SAMAJ BAHUJAN,L.VENKATESAN KAZHAGAM MURPOKKU DRAVIDA DESIYA,SANKAR.S KATCHI THOZHILALARKAL VISWANATHADOSS THIYAGI VEERATH,SENTHILKUMAR.M KATCHI JANANAYAKA INDIYA,MURUGAN.S KATCHI TAMILAR NAAM,RAJINI.V.R MAKKAL NAADAALUM KATCHI,KATHIRAVAN.K INDEPENDENT,PRAKASH.A INDEPENDENT,MAHESH.M INDEPENDENT,MATHIVANAN.S INDEPENDENT,VIGNESH.M INDEPENDENT,JAYAVINDAN.G INDEPENDENT,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
233,193,370,3,208,95,3,0,47,0,2,4,1,4,4,3,744,0,14,758,0
234,194,353,4,302,39,0,2,39,0,0,3,1,3,6,4,756,0,12,768,0
235,195,321,2,287,69,1,1,25,1,0,3,2,4,6,2,724,0,11,735,0
236,196,192,1,410,57,2,0,22,0,0,1,1,0,10,3,699,0,8,707,0
237,197,60,2,334,101,3,0,32,0,2,4,0,3,20,2,563,0,4,567,0
238,198,104,1,217,70,2,0,20,0,1,4,3,5,6,1,434,0,4,438,0
239,198A,184,0,245,24,1,0,11,0,0,3,2,0,3,3,476,0,3,479,0
240,199,173,2,319,93,0,2,39,0,3,2,5,4,19,3,664,0,24,688,0
241,200,54,3,329,93,2,0,10,0,2,3,0,2,6,1,505,0,4,509,0
242,200A,167,3,224,41,1,1,20,0,0,1,1,2,8,2,471,0,20,491,0
243,201,288,1,199,67,2,1,28,1,1,5,1,3,9,2,608,0,14,622,0
244,202,280,4,236,43,0,3,46,0,1,8,1,2,6,1,631,0,10,641,0
245,203,308,5,274,33,1,1,24,1,3,13,4,2,5,0,674,0,13,687,0
246,204,219,4,205,37,2,2,23,2,0,4,2,0,3,3,506,0,8,514,0
247,205,256,1,114,25,0,1,13,1,2,2,1,0,1,2,419,0,6,425,0
248,205A,217,0,218,16,0,1,13,1,1,2,3,0,2,1,475,0,4,479,0
249,206,280,5,263,52,1,1,31,3,0,2,0,0,4,0,642,0,4,646,0
250,207,182,4,286,103,1,0,30,0,0,1,2,4,6,5,624,0,9,633,0
251,208,156,1,383,22,1,1,34,0,0,6,1,4,10,2,621,0,2,623,0
252,209,123,2,283,60,1,2,40,1,0,2,4,2,2,1,523,0,1,524,0
253,209A,117,2,257,111,2,0,36,0,1,2,0,4,2,1,535,0,2,537,0
254,210,171,2,285,47,0,1,41,2,2,7,1,3,2,3,567,0,1,568,0
255,210A,103,2,247,45,2,0,48,2,1,3,1,1,1,4,460,0,6,466,0
256,211,101,4,308,83,1,0,14,0,2,1,0,1,4,1,520,0,6,526,0
257,211A,113,0,232,82,1,1,45,0,0,2,4,4,0,0,484,0,3,487,0
258,212,161,1,249,50,2,5,24,0,0,4,1,0,2,1,500,0,3,503,0
259,212A,121,1,227,71,4,1,20,0,0,2,2,8,10,2,469,0,9,478,0
260,213,208,1,392,154,1,2,16,2,0,4,2,1,10,1,794,0,7,801,0
261,214,241,1,362,171,4,0,33,0,1,4,1,8,8,0,834,0,10,844,0
262,215,12,1,440,41,0,3,44,0,0,3,2,1,6,1,554,0,1,555,0
263,216,2,0,312,23,1,0,32,2,0,1,0,1,6,2,382,0,2,384,0
264,216A,8,0,282,41,1,0,21,0,1,9,1,9,7,0,380,0,3,383,0
265,217,161,2,587,23,0,2,22,0,0,3,1,0,2,1,804,0,20,824,0
266,218,132,0,453,5,1,12,24,0,0,0,0,2,4,4,637,0,6,643,0
267,219,71,1,418,12,1,2,18,0,0,2,0,4,10,1,540,0,5,545,0
268,220,69,2,559,44,2,2,56,1,0,3,1,2,17,2,760,0,2,762,0
269,221,68,0,289,10,1,0,12,0,0,0,0,1,6,0,387,0,3,390,0
270,222,72,0,464,29,0,2,25,1,0,0,1,0,3,0,597,0,6,603,0
271,223,97,2,477,24,2,2,48,0,1,5,1,0,2,3,664,0,8,672,0
272,224,80,1,289,39,1,0,36,1,0,6,2,2,12,1,470,0,8,478,0
273,225,73,1,323,21,0,1,43,2,0,2,1,1,13,3,484,0,8,492,0
274,226,253,3,71,4,0,1,8,0,1,3,1,0,1,0,346,0,7,353,0
275,226A,327,0,119,18,2,0,11,0,0,7,0,1,0,0,485,0,6,491,0
276,227,419,4,230,37,0,0,21,0,1,4,0,0,3,2,721,0,7,728,0
277,228,179,4,449,28,3,2,63,1,2,5,8,5,22,8,779,0,9,788,0
278,229,397,5,206,52,0,3,21,0,0,5,1,0,7,3,700,0,11,711,0
279,230,47,2,190,40,0,1,16,0,0,1,0,1,0,0,298,0,2,300,0
280,230A,76,0,384,64,1,1,25,0,0,0,0,2,8,1,562,0,5,567,0
281,231,90,2,303,44,2,1,84,1,0,4,0,3,4,2,540,0,5,545,0
282,231A,136,1,224,34,0,1,45,2,0,0,0,2,2,0,447,0,3,450,0
283,232,247,3,231,98,4,2,16,1,1,9,2,2,5,2,623,0,8,631,0
284,233,253,2,323,51,0,1,33,1,1,5,2,0,3,2,677,0,5,682,0
285,234,130,1,459,71,0,1,41,0,0,1,0,4,10,1,719,0,7,726,0
286,235,139,1,335,53,2,0,54,1,2,2,1,5,9,3,607,0,3,610,0
287,236,164,2,335,84,4,1,59,2,1,5,0,4,13,2,676,0,10,686,0
288,237,256,2,101,22,1,3,12,1,2,5,0,1,2,2,410,0,12,422,0
289,237A,166,1,164,36,2,1,16,0,0,1,1,2,6,1,397,0,5,402,0
290,238,139,8,593,57,5,0,53,1,0,0,1,1,11,2,871,0,2,873,0
291,239,111,0,278,51,0,2,18,0,0,4,1,3,18,9,495,0,10,505,0
292,240,385,1,443,28,1,0,22,0,1,0,0,0,6,2,889,0,15,904,0
293,241,253,2,537,20,3,4,56,2,0,4,1,1,16,5,904,0,10,914,0
294,242,516,3,224,9,0,0,19,1,0,4,0,1,6,3,786,0,10,796,0
295,243,227,1,271,12,1,2,13,0,3,5,1,3,2,2,543,0,4,547,0
