Polling Station No.,Building,Polling Areas
42,"ST.XAVIERS MIDDLE SCHOOLSOUTH BUILDING WESTERN PORTION IRUTHAYAKULAM, VICKRAMASINGAPURAM","1.Vickramasingapuram (M) Gandhinagar West Street , 2.Vickramasingapuram (M) Gandhinagar South Street , 3.Vickramasingapuram (M) Gandhinagar Middle Street , 4.Vickramasingapuram (M) Gandhinagar North Street , 5.Vickramasingapuram (M) Irudhayakulam South Street , 6.Vickramasingapuram (m) Irudhayakulam North Street, Gandhi Nagar East Street. , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
43,ST.SACRED HEART HIGH SCHOOLEASTERN BUILDING SOUTHERN PORTION VICKRAMASINGAPURAM,"1.Vickramasingapuram (M) Ambalavanapuram Main Road , 2.Vickramasingapuram (M) Police Line Road , 3.Vickramasingapuram (M) Georgepuram South Street , 4.Vickramasingapuram (M) Georgepuram Main Road , 5.Vickramasingapuram (M) Georgepuram North Street , 6.Vickramasingapuram (M) Society Street , 7.Vickramasingapuram (M) Ambalavanapuram Society Street, South Street,Society Street. , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
44,NADAR UNION MIDDLE SCHOOLEASTERN BLOCK MUDALIARPATTI VICKRAMASINGAPURAM,"1.Vickramasingapuram (M) Agasthiyerpuram , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
45,"NADAR UNION MIDDLE SCHOOL, NEW BUILDING, NORTHERN SIDE, MUDALIARPATTI VICKRAMASINGAPURAM","1.Vickramasingapuram (M) Vadamalaisamuthiram , 2.Vickramasingapuram (M) Agasthiyerpuram , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
46,NADAR UNION MIDDLE SCHOOLWESTERN BLOCK MUDALIARPATTI VICKRAMASINGAPURAM,"1.Vickramasingapuram (M) Muthu Nagar (Mudhaliyarpatti) , 2.Vickramasingapuram (M) Mudhaliyarpatti , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
47,SRI RAMAR HINDU MIDDLE SCHOOLKOTTAIVILAIPATTI VICKRAMASINGAPURAM,"1.Vickramasingapuram (M) Kondapaiyanpatti , 2.Vickramasingapuram (M) Kottaivilaipatti , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
48,"PANCHAYAT UNION PRIMARY SCHOOL,NORTHERN PORTION, IYANARKULAM","1.Vickramasingapuram (M) Iyanarkulam , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
49,PANCHAYAT UNION PRIMARY SCHOOLSOUTHERN BUILDING WEST SIDE MANNARKOVIL,"1.Mannarkovil (R.V), Mannarkovil (P) Mannarkovil , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
50,PANCHAYAT UNION PRIMARY SCHOOLEASTERN BUILDING MANNARKOVIL,"1.Mannarkovil (R.V), Mannarkovil (P) Mannarkovil , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
51,GOVERNMENT HIGH SCHOOLEASTERN BUILDING MANNARKOVIL,"1.Mannarkovil (R.V), Mannarkovil (P) Mannarkovil , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
