Sl. No,Polling Station No,K VIJAYA Samaj Party Bahujan,ARULMOZHIDEVA .P N Makkal Thannurimai Katchi Tamilaga,R RAMKUMAR Jananayaga Katchi Indiya,K SILAMBARASI Katchi Tamilar Naam,P CHINNUSAMY Of Party India Ganasangam,M JAYANTHI of party India Ambedkarite,P SEERANGAN Independent,S PALANIVEL Independent,S POONGODI Independent,A MANIVANNAN Independent,D MADHIYAZHAGAN Independent,M MUNIYAPPAN Independent,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
1,,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
208,161M,209,223,0,0,6,0,70,0,2,0,0,0,0,0,0,510,0,10,520,0
209,161A(W),238,262,2,0,3,0,45,0,0,0,1,0,1,1,2,555,0,4,559,0
210,162M,163,245,0,0,1,1,56,1,2,0,0,0,1,0,1,471,0,2,473,0
211,162A(W),216,273,1,1,0,1,29,1,0,0,1,0,0,0,0,523,0,3,526,0
212,163M,173,192,1,1,4,7,42,1,0,0,0,0,0,0,0,421,0,10,431,0
213,163A(W),184,197,2,0,0,6,24,0,1,0,1,1,0,2,3,421,0,17,438,0
214,164,163,204,1,2,1,1,55,0,0,0,0,0,0,0,3,430,0,12,442,0
215,165,254,287,0,1,1,2,42,0,0,0,1,1,0,0,2,591,0,7,598,0
216,166,381,286,3,1,2,6,52,1,0,1,0,0,1,0,4,738,0,5,743,0
217,167,342,324,1,0,7,1,74,0,0,1,0,1,0,3,0,754,0,11,765,0
218,168,280,295,0,0,5,1,75,2,1,0,0,2,1,1,0,663,0,6,669,0
219,169,288,381,1,1,12,5,54,0,3,0,2,0,1,0,4,752,0,14,766,0
220,170,383,293,4,0,3,2,72,2,1,0,0,2,1,2,0,765,0,5,770,0
221,171,255,287,1,0,1,7,43,1,1,1,0,0,0,0,0,597,0,9,606,0
222,172M,157,256,0,0,3,0,56,3,1,0,1,0,0,0,1,478,0,5,483,0
223,172A(W),171,283,5,3,1,1,30,1,1,0,3,0,1,2,4,506,0,9,515,0
224,173M,147,259,0,0,1,5,65,0,0,0,0,0,0,2,0,479,0,4,483,0
225,173A(W),170,251,0,2,2,4,34,0,0,1,2,0,0,0,2,468,0,7,475,0
226,174,187,253,5,1,4,5,49,1,1,0,0,0,1,0,1,508,0,4,512,0
227,175,247,235,5,1,5,3,68,0,0,1,1,0,0,0,3,569,0,7,576,0
228,176,374,318,0,0,2,2,72,2,2,2,1,0,0,0,1,776,0,10,786,0
229,177,267,297,4,0,1,2,14,0,0,0,0,2,1,1,0,589,0,7,596,0
230,178,330,303,2,2,6,2,51,0,0,2,1,1,2,4,4,710,0,6,716,0
231,179,214,165,1,1,1,0,28,0,0,0,0,1,0,0,0,411,0,5,416,0
232,180M,248,180,0,0,2,2,50,0,1,0,1,0,0,0,2,486,0,1,487,0
233,180A(W),291,173,3,1,3,0,27,0,0,0,0,0,1,0,2,501,0,2,503,0
234,181M,228,266,1,1,2,2,28,0,0,0,1,0,0,0,0,529,0,5,534,0
235,181A(W),261,202,4,2,1,1,15,0,1,0,0,0,0,5,0,492,0,7,499,0
236,182,412,409,3,2,12,12,52,2,0,1,0,1,0,1,3,910,0,7,917,0
237,183M,184,290,1,0,3,2,27,1,0,0,0,0,0,0,0,508,0,1,509,0
238,183A(W),184,260,1,1,2,3,15,0,0,0,1,1,0,1,7,476,0,6,482,0
