Polling Station No.,Building,Polling Areas
39,"Government High School,Jaganatha Nagar(S) Villivakkam Chennai-600049.",1. South Jaganatha Nagar 3rd Cross Street 2. Villivakkam New Ward No.94 Valliamman Nagar 1st Street 3. Villivakkam New Ward No.94 Valliamman Nagar 2nd Street 4. Villivakkam New Ward No.94 Valliamman Nagar 3rd Street 5. Villivakkam New Ward No.94 South Jaganathan Nagar 3rd Mainroad 6. Villivakkam New Ward No.94 South jaganatha nagar 4th cross street 7. Villivakkam New Ward No.94 South Jaganatha Nagar 5th Cross Street 8. Villivakkam New Ward No.94 South Jaganatha Nagar 6th Cross Street 999. OVERSEAS ELECTORS.
40,"Government High School,Jaganatha Nagar(S) Villivakkam Chennai-600049.",1. Villivakkam New Ward No.94 South jaganatha nagar 7th cross street 2. Villivakkam New Ward No.94 South Jaganatha Nagar 8th cross Street 3. Villivakkam New Ward No.94 South Jaganatha Nagar 9th Cross Street 4. Villivakkam New Ward No.94 Nehru Nagar Erikkari 5. Villivakkam New Ward No.94 Aringnar Anna Street 999. OVERSEAS ELECTORS.
41,"Balaramapuram Community centre,3rd street,villivakkam chennai-49",1. Villivakkam New Ward No.94 Balaramapuram 999. OVERSEAS ELECTORS.
42,"Government High School,Jaganatha Nagar(S) Villivakkam Chennai-600049.",1. Villivakkam New Ward No.94 Amman kuttai 999. OVERSEAS ELECTORS.
43,"Government High School,Jaganatha Nagar(S) Villivakkam Chennai-600049.",1. Villivakkam New Ward No.94 Nehru nagar north erikkari 999. OVERSEAS ELECTORS.
44,"Government High School,Jaganatha Nagar(S) Villivakkam Chennai-600049.",1. Villivakkam New Ward No.94 Bharathi Nagar East Erikkari 999. OVERSEAS ELECTORS.
45,"Government High School,Jaganatha Nagar(S) Villivakkam Chennai-600049.",1. Villivakkam New Ward No.94 Bharathi nagar 2nd street Door No 1 to 60 999. OVERSEAS ELECTORS.
46,"Government High School,Jaganatha Nagar(S) Villivakkam Chennai-600049.",1. Villivakkam New Ward No.94 Bharathi nagar 2nd street Door No 61to 120 999. OVERSEAS ELECTORS.
47,"Government High School,Jaganatha Nagar(S) Villivakkam Chennai-600049.",1. Villivakkam New Ward No.94 Bharathi nagar 2nd street Door No 121 to 350 999. OVERSEAS ELECTORS.
48,"Government Elementary School,7th road Sidco Nagar Villivakkam Chennai- 60049.",1. Villivakkam New Ward No.94 Bharathi nagar 1st street Door no 1 to 70 999. OVERSEAS ELECTORS.
49,"Government Elementary School,7th road Sidco Nagar Villivakkam Chennai- 60049.",1. Villivakkam New Ward No.94 Bharathi nagar 1st street Door no 71 to 250 999. OVERSEAS ELECTORS.
50,"Government Elementary School,7th road Sidco Nagar Villivakkam Chennai- 60049.",1. Villivakkam New Ward No.94 Sidco nagar 1st block 5th street 2. Villivakkam New Ward No.94 Sidco Nagar 1st Block 10th Street 3. Villivakkam New Ward No.94 Sidco Nagar 1st Block 11th Street 4. Villivakkam New Ward No.94 Sidco Nagar 1st Block 12th Street. 5. Villivakkam New Ward No.94 Sidco Nagar 1st Block 13th Street 6. Villivakkam New Ward No.94 Sidco Nagar 1st Block 14th Street 7. Villivakkam New Ward No.94 Bharathi Nagar East Lake Avenue 999. OVERSEAS ELECTORS.
51,"Government Elementary School,7th road Sidco Nagar Villivakkam Chennai- 600049.",1. Villivakkam New Ward No.94 Sidco nagar 3rd block 23rd street 6. Villivakkam New Ward No.94 Sidco Nagar 3rd Block 28th Street 7. Villivakkam New Ward No.94 Sidco Nagar 3rd Block 30th Street 8. Villivakkam New Ward No.94 Sidco Nagar 3rd Block 31st Street 9. Villivakkam New Ward No.94 Sidco Nagar 3rd Block 32th Street 2. Villivakkam New Ward No.94 Sidco Nagar 3rd Block 24th Street 3. Villivakkam New Ward No.94 Sidco Nagar 3rd Block 25th Street 4. Villivakkam New Ward No.94 Sidco nagar 3rd block 26th street 5. Villivakkam New Ward No.94 Sidco Nagar 3rd Block 27th Street 999. OVERSEAS ELECTORS.
52,"Government Elementary School,7th road Sidco Nagar Villivakkam Chennai- 600049.","1. Villivakkam New Ward No.94Sidco Nagar 3rd Block4th main road 2. 2.Villivakkam New Ward No.94 Sidco Nagar 3rd Block, 5th Street 3. Villivakkam New Ward No.94 Sidco Nagar 4th Block 6th Street 4. Villivakkam New Ward No.94 Sidco nagar 3rd block 7th street 5. Villivakkam New Ward No.94 Sidco Nagar 3rd Block 33rd Street 6. Villivakkam New Ward No.94 Sidco Nagar 3rd Block 34th Street 7. Villivakkam New Ward No.94 Sidco Nagar 3rd Block 37th Street 8. Villivakkam New Ward No.94 Sidco Nagar 4th Block 41st Street 9. Villivakkam New Ward No.94 Sidco nagar 4th block 4th street 10. Villivakkam New Ward No.94 Sidco Nagar 4th Block 43rd Street 999. OVERSEAS ELECTORS."
53,"Government Elementary School,7th road Sidco Nagar Villivakkam Chennai- 600049.",1. Villivakkam New Ward No.94 Sidco nagar 1st block 1st main road 2. Villivakkam New Ward No.94 Sidco Nagar 2nd Block 7th Main Road 3. Villivakkam New Ward No.94 Sidco Nagar 2nd Block 16th Street 4. Villivakkam New Ward No.94 Sidco Nagar 2nd Block 17th Street 5. Villivakkam New Ward No.94 Sidco nagar 2nd block 18th street 6. Villivakkam New Ward No.94 Sidco Nagar 2nd Block 19th Street 7. Villivakkam New Ward No.94 Sidco Nagar 2nd Block 20th Street 8. Villivakkam New Ward No.94 Sidco Nagar 2nd Block 21st Street 9. Villivakkam New Ward No.94 Sidco Nagar 2nd Block 22nd Street 999. OVERSEAS ELECTORS.
54,"Government Elementary School,7th road Sidco Nagar Villivakkam Chennai- 600049.",1. .Villivakkam New Ward No.94 Sidco Nagar Police Quarters 2. Villivakkam New Ward No.94 Sidco Nagar Shopping Centre 3. Villivakkam New Ward No.94 Sidco Nagar 3rd Block 5th Street 4. Villivakkam New Ward No. 94 TNHB Anadham Appartment Sidco Nagar 999. OVERSEAS ELECTORS.
