Sl. No,Polling Station No,evitalsigeL ni,V. PETCHIAMMAL TAMILAGAM PT,S.S. MATHIVANAN TAMILAR NAAM NTK,ITRAP,rullanavedusaV P.L.A. JAYAKUMAR TAMILNADU ILANGYAR KATCHI,G. MUTHUPANDI IND,)CS(,P. MOORTHY RAMA IND,No.of,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
207,161,238,268,1,0,6,7,1,58,2,0,1,582,0,11,593,
208,162,210,246,0,0,8,11,0,34,3,0,1,513,0,10,523,
209,163,330,322,2,0,16,23,2,89,1,1,2,788,0,9,797,
210,164,230,249,0,0,21,2,0,109,3,2,1,617,0,8,625,
211,165,203,158,2,0,11,8,2,105,1,0,0,490,0,4,494,
212,166,324,241,0,0,17,3,0,125,1,1,1,713,0,6,719,
213,167,224,209,1,3,14,1,0,87,0,0,1,540,0,2,542,
214,168,262,241,3,2,14,5,113,89,2,4,3,738,0,8,746,
215,169M,238,102,0,0,5,6,32,34,0,0,0,417,0,3,420,
216,169AW,265,121,1,1,8,4,15,27,1,0,3,446,0,2,448,
217,170M,135,114,1,0,1,4,87,21,2,1,1,367,0,2,369,
218,170AW,184,146,4,2,1,3,61,21,0,3,1,426,0,8,434,
219,171,131,257,5,2,1,146,1,28,2,2,1,576,0,3,579,
220,172,206,158,2,0,12,153,2,28,1,1,0,563,0,5,568,
221,173,96,134,1,0,0,273,1,13,0,1,2,521,0,2,523,
222,174,82,124,3,1,4,246,0,30,1,1,0,492,0,4,496,
223,175,70,146,2,0,3,163,0,23,2,1,0,410,0,5,415,
224,176,258,208,8,2,4,157,8,34,1,1,1,682,0,4,686,
225,177,253,206,1,4,15,31,2,127,3,0,1,643,0,6,649,
226,178,249,151,1,3,8,17,35,39,0,0,1,504,0,5,509,
227,179,278,203,2,1,21,6,24,76,0,0,0,611,0,8,619,
228,180,177,131,1,1,5,25,4,17,0,0,2,363,0,2,365,
229,181M,185,171,2,0,9,12,0,38,1,0,0,418,0,3,421,
230,181AW,183,262,1,0,16,6,0,23,1,0,0,492,0,15,507,
231,182,196,352,2,3,1,55,43,33,1,3,2,691,0,26,717,
232,183M,186,68,0,1,5,68,13,18,2,0,1,362,0,4,366,
233,183AW,193,87,3,1,6,64,4,9,2,4,3,376,0,8,384,
234,184,144,304,2,2,9,6,0,25,0,2,1,495,0,4,499,
235,185,185,264,4,4,3,139,29,30,2,8,10,678,0,17,695,
236,186,155,300,0,2,42,12,2,144,2,3,3,665,0,4,669,
237,187,146,371,0,0,31,7,0,202,2,0,3,762,0,15,777,
238,188,160,220,0,1,28,1,1,208,1,0,0,620,0,2,622,
239,189,226,240,2,2,4,126,10,86,2,0,2,700,0,9,709,
240,190,212,186,2,4,4,56,27,59,1,3,2,556,0,7,563,
241,191,89,352,1,0,2,116,2,106,0,2,2,672,0,7,679,
242,192,100,89,0,0,2,22,3,12,0,0,1,229,0,3,232,
243,193,232,25,4,4,2,2,241,73,7,5,2,597,0,9,606,
244,194,329,30,2,5,1,10,222,71,7,3,5,685,0,16,701,
245,195M,153,162,1,0,1,45,47,21,1,0,1,432,0,4,436,
246,195AW,134,196,0,1,3,16,43,12,1,3,5,414,0,15,429,
247,196,160,266,1,1,1,8,0,15,2,2,1,457,0,6,463,
248,197,180,268,2,0,3,13,2,13,1,1,3,486,0,9,495,
249,198,185,140,0,1,9,16,2,6,1,0,0,360,0,7,367,
250,199,127,198,1,0,0,44,2,9,0,0,4,385,0,5,390,
251,200,298,176,2,0,3,17,4,126,2,5,0,633,0,10,643,
252,201,140,239,5,1,4,152,2,89,1,1,7,641,0,11,652,
253,202,108,111,2,1,0,60,1,6,0,2,0,291,0,3,294,
254,203,370,205,3,0,0,20,8,48,6,1,3,664,0,9,673,
255,204M,171,130,1,0,1,35,6,24,2,0,0,370,0,4,374,
256,204AW,208,162,3,1,2,23,4,16,2,1,3,425,0,4,429,
257,205,243,94,0,0,14,1,1,67,0,0,1,421,0,8,429,
258,206,186,308,5,0,29,12,2,65,3,2,3,615,0,7,622,
259,207M,191,131,1,0,0,7,3,30,13,1,0,377,0,1,378,
260,207AW,235,154,0,0,1,2,4,27,10,0,2,435,0,2,437,
261,208,134,130,1,0,0,26,4,34,3,1,3,336,0,4,340,
262,209M,190,145,0,0,6,10,2,53,5,0,1,412,0,12,424,
263,209AW,156,164,3,1,6,8,0,38,4,1,4,385,0,10,395,
264,210M,183,182,2,0,8,18,0,67,1,0,0,461,0,7,468,
265,210AW,135,242,5,1,6,5,1,34,1,1,0,431,0,6,437,
266,211,315,257,5,1,20,14,2,169,2,1,2,788,0,4,792,
267,212,177,292,0,0,9,131,1,75,1,1,1,688,0,13,701,
268,213,121,198,0,1,5,64,0,48,0,0,0,437,0,3,440,
269,214,434,190,2,0,0,5,20,66,3,7,8,735,0,12,747,
270,215,275,132,0,3,2,13,3,34,3,0,1,466,0,4,470,
271,216,183,116,1,1,5,6,4,45,1,1,3,366,0,8,374,
272,217,186,404,1,2,6,13,4,45,0,2,4,667,0,6,673,
273,218M,162,124,1,0,0,35,20,54,6,1,0,403,0,4,407,
274,218AW,205,182,2,0,2,21,10,36,1,3,5,467,0,7,474,
275,219,172,251,0,0,4,11,40,43,8,0,1,530,0,1,531,
276,220,64,215,0,0,0,112,8,60,2,2,2,465,0,3,468,
277,221,305,268,0,0,5,8,0,59,7,0,0,652,0,6,658,
278,222,218,163,0,0,2,7,7,44,4,0,0,445,0,2,447,
279,223,94,338,4,1,4,200,2,70,2,1,4,720,0,5,725,
280,224,100,158,4,2,0,60,1,21,1,0,0,347,0,8,355,
281,225,295,195,3,0,0,18,23,80,1,0,1,616,0,8,624,
282,226M,170,112,0,0,0,6,14,47,2,1,0,352,0,3,355,
283,226AW,217,113,1,0,0,1,10,24,0,0,3,369,0,7,376,
284,227,141,363,6,3,3,82,4,74,0,1,0,677,0,5,682,
285,228,116,118,2,0,3,43,17,55,4,1,1,360,0,4,364,
286,229,352,238,2,0,4,5,1,75,1,0,2,680,0,4,684,
287,230,379,234,3,0,5,9,7,60,1,1,1,700,0,4,704,
288,231,398,197,0,0,1,9,3,44,2,0,4,658,0,6,664,
289,232,115,152,0,0,14,5,1,23,2,0,0,312,0,4,316,
290,233,291,303,2,0,2,3,34,68,4,1,1,709,0,7,716,
291,234,175,279,6,1,11,18,1,22,0,2,3,518,0,10,528,
292,235,307,161,2,3,2,3,2,31,4,0,3,518,0,11,529,
293,236,224,255,3,3,7,176,6,57,5,1,5,742,0,11,753,
294,237,291,253,5,0,3,11,2,34,0,0,5,604,0,10,614,
295,238,138,378,4,0,2,8,0,22,0,3,2,557,0,9,566,
296,239,139,543,7,3,3,36,1,18,3,1,6,760,0,13,773,
297,240,131,372,5,4,2,19,0,6,1,1,0,541,0,11,552,
298,241,99,321,7,0,1,90,3,18,2,2,5,548,0,11,559,
299,242,134,397,0,0,10,3,0,54,2,0,1,601,0,4,605,
300,243,213,250,0,0,0,1,6,32,1,1,3,507,0,10,517,
301,244,439,216,2,1,0,15,0,26,0,0,0,699,0,3,702,
302,245M,207,113,0,1,1,2,9,35,0,0,0,368,0,4,372,
303,245AW,219,142,0,0,1,1,4,31,2,1,1,402,0,6,408,
304,246,233,184,2,1,5,120,18,31,1,0,10,605,0,12,617,
305,247,116,206,2,1,33,44,0,47,1,0,1,451,0,4,455,
306,248,186,220,2,1,27,58,0,66,3,0,0,563,0,2,565,
307,249,204,354,0,2,1,46,3,62,0,1,4,677,0,7,684,
308,250,185,194,3,0,15,16,0,62,5,0,0,480,0,6,486,
309,251,167,183,1,0,24,21,1,58,0,1,2,458,0,2,460,
310,252,128,237,1,0,22,35,1,77,1,1,0,503,0,8,511,
311,253,161,457,5,0,5,42,3,18,2,1,2,696,0,5,701,
312,254,183,220,1,0,4,13,7,19,3,0,1,451,0,6,457,
313,255M,86,206,1,1,1,73,2,65,1,0,1,437,0,3,440,
314,255AW,63,335,1,0,2,32,0,29,0,2,0,464,0,5,469,
315,256,287,128,1,0,7,10,0,38,3,1,1,476,0,3,479,
316,257,112,83,1,0,5,4,0,28,1,0,0,234,0,2,236,
317,258M,150,142,2,0,8,24,1,51,1,1,2,382,0,7,389,
318,258AW,125,189,2,0,9,15,3,26,2,0,4,375,0,9,384,
319,259,250,259,4,2,26,5,1,119,1,1,3,671,0,6,677,
320,260,313,262,0,3,15,4,3,81,1,4,2,688,0,11,699,
321,261,166,351,1,0,1,7,10,53,0,0,1,590,0,9,599,
322,262,217,330,2,0,5,1,18,72,2,0,1,648,0,9,657,
323,263M,126,173,0,2,0,40,1,38,4,4,2,390,0,7,397,
324,263AW,152,220,3,1,2,26,2,15,2,3,5,431,0,7,438,
325,264,119,216,6,1,2,172,3,37,0,0,2,558,0,7,565,
326,265,188,116,1,1,2,125,5,63,1,0,0,502,0,4,506,
327,266M,240,100,1,0,2,14,5,30,0,2,1,395,0,3,398,
328,266AW,215,117,1,1,2,5,3,13,4,0,4,365,0,15,380,
329,267,409,150,3,2,6,38,2,73,1,1,5,690,0,5,695,
330,268,283,193,4,7,8,36,8,96,2,4,2,643,0,21,664,
331,269M,84,74,1,0,2,281,2,12,0,1,1,458,0,1,459,
332,269AW,66,61,2,3,2,341,3,10,1,3,3,495,0,2,497,
333,270M,167,193,3,2,5,7,3,28,0,0,3,411,0,5,416,
334,270AW,157,233,0,1,2,4,1,24,2,2,2,428,0,7,435,
335,271M,115,222,2,2,1,26,31,54,2,1,2,458,0,0,458,
336,271AW,114,284,2,0,1,38,16,31,1,8,7,502,0,13,515,
