Polling Station No.,Building,Polling Areas
43,"24 Manai Telungu Chettiyar Primary School,Main Building Southern Portion,Sankarankovil.","1.Sankaran kovil (M) Ward No 11 PuthuManai 6th Street , 2.SANKARANKOVIL (M) Ward No 9 KRISHNASAMY VEETHI , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
44,"R.C.Middle School,North Side East Wing,Sankarankovil","1.Sangarankovil (M) Ward No 9 Keelasekkadi St , 2.Sankarankovil (M) Ward No 12 Ambethkar Puthu 1st St , 3.Sankarankovil (M) Ward No 12 Ambethkar Nagar 2nd st , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
45,"R.C.Middle School,South Building Northern Portion,Sankarankovil","1.Sankarankovil (M) Ward NO 12 Ambethkar Nagar 1th st , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
46,"R.C.Middle School,North Side East Wing,Sankarankovil","1.Sankarankovil (M) Ward NO 13 Ambethkar Nagar 3rd st , 2.Sankarankovil (M) Ward No 12 Ambethkar Nagar Puthu 2nd St , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
47,"Sengunthar Middle School,North Building Vadakasi Ammankovil 2nd Street,Sankarankovil","1.Sankarankovil (M) Ward No 14 Sundarar Street , 2.Sankarankovil (M) Ward No 14 , 8 Main Road 8 th St , 3.Sangarankovil (M) Ward No 14 Nehru Street , 4.Sankarankovil (M) Ward NO 14 Chekkilar st , 5.Sankarankovil (M) Ward No 14 Keela Amman Sannathi Street , 6.Sankarankovil (M) Ward NO 14 Angur Vinayagar Kovil st , 7.Sankarankovil (M) Ward NO 14 Sounthirapandiya Vinayagar Kovil st , 8.Sankarankovil (M) Ward No 14 Kumaran Street , 9.Sankarankovil (M) Ward NO 21 Vallalar Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
48,"Municipal Primary School,Main Building Northern Portion,Indira Nagar Sankarankovil","1.Sankarankovil (M) Ward No 24 South Car Street , 2.Sankarankovil (M) Ward No 24 Killavadi Vinayagar Kovil st , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
49,"Municipal Primary School,Main Building Southern Portion,Indira Nagar,Sankarankovil","1.Sankaran Kovil(M) Ward No 25 Mela ratha veethi first st , 2.Sankaran Kovil(M) Ward No 25 Mela ratha veethi 2nd st , 3.Sankaran Kovil(M) Ward No 24 Sankara chitti vinayagar st , 4.Sankaran Kovil(M) Ward No 21 Kacheri Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
50,"Govt.girls Hr.Sec.Sschool,North Building,Katcheri Road,Sankarankovil","1.SANKARANKOVIL (M) Ward No 22 UTCHIMAKALIAMMAN KOVIL STREET , 2.SANKARANKOVIL(M) Ward No 22 UTCHIMAKALIAMMAN KOVIL FIRST LANE , 3.SANKARANKOVIL(M) Ward No 22 UTCHIMAKALIAMMAN KOVIL SECOND LANE , 4.SANKARANKOVIL(M) WArd No 22 UTCHIMAKALIAMMAN KOVIL THIRD LANE , 5.SANKARANKOVIL (M) Ward No 22 ATHIMOOLA VINAYAGAR KOVIL STREET , 6.SANKARANKOVIL (M) Ward No 24 ATHISANKARA VINAYAGAR KOVIL STREET , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
51,"Municipal Middle School,North Portion,Gandhi Nagar,Sankarankovil","1.Sankarankovil (M) Ward No 21 Varasanthai st , 2.SANKARANKOVIL (M) Ward No 20 GANDHI NAGAR THIRD STREET , 3.SANKARANKOVIL (M) Ward No 18 GANDHI NAGAR FOURTH STREET , 4.SANKARANKOVIL (M) Ward No 18 GANDHI NAGAR FIFTH STREET , 5.SANKARANKOVIL (M) Ward No 18 GANDHI NAGAR SIXTH STREET , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
52,"Municipal Middle School,South Building,Gandhi Nagar,Sankarankovil","1.Sankarankovil (M) Ward No 20 Gandhi nagar 1st st , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
