Sl. No,Polling Station No,A. GOMATHI Party Samaj Bahujan,P. KABILARASAN Maiam Needhi Makkal,N. THIYAGASUNDARAM Ilangyar Nadu Katchi Tamil,M. THIYAGARAJAN Tamilagam Puthiya,M.A. BANU NASEEMA Democratic India of Party Social,R. VINOTHINI Katchi Tamilar Naam,R.S.A. AMANULLAH Independent,T. ANBAZHAGAN Independent,J. PANNEERSELVAM Independent,A. HALITH MOHAMED Independent,S. MUTHARASAN Independent,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
138,111(A),209,1,105,29,3,0,4,28,1,0,3,2,0,385,0,5,390,0
139,112,204,2,82,19,2,1,23,54,0,0,1,0,0,388,0,8,396,0
140,112(A),214,0,119,15,3,0,14,35,1,0,2,0,1,404,0,3,407,0
141,113,239,0,81,19,4,0,8,40,2,0,2,0,1,396,0,5,401,0
142,113(A),303,1,87,24,6,0,10,24,0,1,3,0,0,459,0,7,466,0
143,114,406,3,31,5,4,0,45,51,4,0,2,0,2,553,0,4,557,0
144,115,431,0,10,5,0,2,66,14,4,0,0,0,0,532,0,0,532,0
145,116,412,2,12,0,0,0,31,14,4,0,0,0,0,475,0,4,479,0
146,117,261,0,20,5,0,1,46,23,9,0,0,0,0,365,0,1,366,0
147,117(A),376,0,10,4,1,0,45,21,4,0,0,0,0,461,0,0,461,0
148,118,213,0,115,9,2,0,18,48,0,0,2,0,1,408,0,2,410,0
149,118(A),239,1,140,14,5,0,12,36,0,0,3,0,0,450,0,6,456,0
150,119,228,2,131,23,8,0,15,54,1,2,1,0,0,465,0,13,478,0
151,119(A),273,4,157,35,9,0,11,35,1,0,2,1,0,528,0,6,534,0
152,120,154,3,130,23,9,0,6,35,0,0,2,0,0,362,0,4,366,0
153,120(A),157,2,115,39,6,0,6,23,1,1,1,1,0,352,0,6,358,0
154,121,217,0,103,34,15,0,2,30,0,0,4,0,0,405,0,11,416,0
155,121(A),220,0,119,49,5,0,4,31,0,0,2,0,0,430,0,9,439,0
156,122,215,0,101,31,4,1,10,34,0,0,2,1,0,399,0,4,403,0
157,122(A),227,0,97,35,1,0,7,19,0,0,1,0,1,388,0,6,394,0
158,123,212,0,113,16,6,0,11,54,0,0,4,0,0,416,0,3,419,0
159,123(A),225,0,131,19,3,0,10,42,0,0,4,0,0,434,0,1,435,0
160,124,370,1,131,33,4,0,25,41,0,0,2,0,0,607,0,8,615,0
161,125,222,1,98,25,7,0,3,57,0,0,3,0,0,416,0,5,421,0
162,125(A),237,0,144,29,4,0,1,30,0,0,3,2,0,450,0,4,454,0
163,126,295,0,222,39,1,0,9,66,0,0,1,0,1,634,0,6,640,0
164,127,247,1,88,29,1,1,16,51,0,1,2,0,0,437,0,4,441,0
165,128,334,0,128,20,4,1,7,100,1,0,0,0,0,595,0,5,600,0
166,129,287,0,150,43,6,1,13,43,1,0,1,1,0,546,0,11,557,0
167,130,211,0,142,42,16,0,8,14,1,0,8,0,0,442,0,2,444,0
168,131,356,1,150,52,5,1,12,63,0,0,10,2,1,653,0,4,657,0
169,132,204,0,119,12,2,2,9,98,0,1,2,0,0,449,0,2,451,0
170,132(A),255,7,136,16,2,2,8,73,0,0,2,1,2,504,0,1,505,0
171,133,235,1,109,25,6,0,6,58,0,0,15,1,0,456,0,3,459,0
172,133(A),199,0,153,28,7,1,6,52,0,0,8,0,0,454,0,7,461,0
173,134,288,1,201,19,4,1,24,73,0,2,5,0,0,618,0,3,621,0
174,135,202,0,143,27,11,0,22,46,1,1,6,0,0,459,0,8,467,0
175,136,249,0,131,22,3,0,4,56,0,0,1,0,0,466,0,5,471,0
176,137,396,4,176,15,8,1,14,103,0,0,1,2,3,723,0,5,728,0
177,138,377,1,267,21,5,0,15,38,0,0,1,1,0,726,0,5,731,0
178,139,318,1,96,21,12,0,25,45,1,0,0,12,1,532,0,4,536,0
179,140,238,2,210,15,20,0,13,58,0,2,2,0,0,560,0,5,565,0
180,141,281,0,192,32,4,0,8,27,0,0,0,2,1,547,0,5,552,0
181,142,180,0,56,11,5,0,14,23,0,0,0,0,0,289,0,4,293,0
182,142(A),238,2,73,9,1,0,13,10,1,0,1,1,0,349,0,7,356,0
183,143,287,1,160,20,3,1,8,54,0,0,1,0,5,540,0,6,546,0
184,144,359,1,163,4,0,0,5,120,0,0,3,0,0,655,0,5,660,0
185,145,219,2,99,20,8,0,6,44,0,0,0,0,0,398,0,2,400,0
186,145(A),215,1,130,27,10,1,5,32,1,0,1,0,0,423,0,3,426,0
187,146,254,1,141,45,8,0,12,36,0,0,5,1,1,504,0,4,508,0
188,147,334,2,136,40,10,1,12,51,0,0,0,0,0,586,0,5,591,0
189,148,219,1,80,18,6,0,21,52,0,0,0,0,0,397,0,3,400,0
190,148(A),275,1,105,16,5,1,11,34,0,0,1,0,0,449,0,7,456,0
191,149,199,0,85,10,5,0,8,67,0,0,1,0,0,375,0,6,381,0
192,149(A),200,1,117,16,8,0,9,48,1,2,1,1,2,406,0,4,410,0
193,150,484,4,157,11,1,0,3,71,2,1,0,1,2,737,0,7,744,0
194,151,220,1,120,14,6,1,8,52,0,0,2,0,0,424,0,3,427,0
195,151(A),221,2,154,14,3,0,3,36,0,0,1,1,0,435,0,5,440,0
196,152,231,3,126,15,4,0,6,45,0,0,0,0,0,430,0,2,432,0
197,152(A),265,1,148,30,2,0,5,25,1,1,0,4,1,483,0,4,487,0
198,153,227,2,63,27,3,1,6,70,0,0,1,0,1,401,0,8,409,0
199,153(A),274,0,71,27,2,1,5,21,0,0,3,0,0,404,0,4,408,0
200,154,195,0,72,17,5,0,5,27,0,0,1,0,0,322,0,5,327,0
201,154(A),194,2,80,21,0,0,1,41,0,0,0,0,0,339,0,0,339,0
202,155,332,3,138,19,3,0,5,64,0,1,2,0,0,567,0,4,571,0
203,156,199,1,80,25,5,1,2,47,0,0,0,0,0,360,0,3,363,0
204,156(A),222,1,84,32,3,1,6,38,0,0,1,0,1,389,0,5,394,0
205,157,398,5,180,11,1,0,14,115,0,1,1,0,0,726,0,7,733,0
206,158,315,3,231,3,3,1,33,68,1,0,0,1,0,659,0,3,662,0
207,159,298,1,259,1,1,1,21,108,0,0,4,0,0,694,0,1,695,0
208,160,270,2,249,1,1,1,10,71,0,1,2,0,2,610,0,1,611,0
209,161,322,2,242,2,0,0,15,109,0,1,0,0,0,693,0,6,699,0
210,162,294,0,138,3,1,0,18,69,1,0,0,1,0,525,0,4,529,0
211,163,261,1,176,6,1,1,37,63,0,0,2,0,0,548,0,4,552,0
212,164,330,1,171,4,1,1,59,47,2,0,1,0,2,619,0,4,623,0
213,165,209,4,222,4,0,3,122,43,0,0,1,2,0,610,0,1,611,0
214,166,308,0,128,1,1,0,29,36,0,0,0,0,1,504,0,3,507,0
215,167,295,0,320,6,1,0,20,92,0,0,1,1,0,736,0,4,740,0
216,168,277,3,272,3,4,0,73,51,0,1,0,1,0,685,0,2,687,0
217,169,337,0,188,4,2,0,22,69,1,0,1,0,0,624,0,2,626,0
218,170,285,2,105,0,1,0,10,110,0,0,2,0,1,516,0,4,520,0
219,170(A),303,3,126,3,1,0,11,58,0,0,0,1,0,506,0,5,511,0
220,171,309,6,103,5,0,1,24,77,0,0,1,0,0,526,0,3,529,0
221,171(A),286,6,140,1,2,0,21,44,2,0,1,1,0,504,0,8,512,0
222,172,412,4,236,5,3,0,18,124,0,0,1,0,2,805,0,1,806,0
223,173,244,1,107,4,1,1,10,71,0,0,0,0,1,440,0,4,444,0
224,173(A),264,1,144,8,1,2,4,43,0,0,0,0,0,467,0,6,473,0
225,174,289,0,235,24,12,0,18,50,0,1,1,1,2,633,0,8,641,0
226,175,200,0,120,11,8,0,8,62,0,0,1,0,0,410,0,2,412,0
227,175(A),186,1,157,24,5,0,3,43,0,0,2,0,1,422,0,7,429,0
228,176,218,2,93,7,0,0,12,53,0,0,1,0,0,386,0,5,391,0
229,176(A),249,2,102,14,1,0,19,52,0,0,0,0,0,439,0,1,440,0
230,177,240,0,7,1,0,0,41,12,0,0,0,0,0,301,0,1,302,0
231,177(A),338,1,6,1,1,0,27,9,0,0,0,1,0,384,0,0,384,0
232,178,318,1,58,6,2,1,33,34,1,1,2,0,1,458,0,3,461,0
233,179,293,0,94,4,1,0,11,73,0,0,1,0,0,477,0,4,481,0
234,180,384,0,31,2,0,1,51,20,2,0,1,0,0,492,0,1,493,0
235,181,381,0,21,9,0,0,37,20,0,0,1,0,0,469,0,2,471,0
236,182,273,6,79,1,0,0,32,48,1,0,0,0,0,440,0,2,442,0
237,182(A),340,3,95,4,1,0,28,35,0,0,1,0,0,507,0,1,508,0
