Sl. No,Polling Station No,oT( lareneG C KUMAR. ASHOK Makkal katchi,eb desu rof ot ASA FAROOK. UMAR Democratic ia IND,gnidrocer eht limaT A BASHA. KAREEM Ulama Council,eeS( eht udaN V PARTHIBAN. Party Youth Development,)( gnitov evitalsigeL S.P MANI. Pensioners Party,tcudnoC ta traP MAHARUNNISHA Tamilar NTK,morf I S RAJA. Needhi MNM,seluR rehto eht L MURUGAN. IND,) naht deifiton RUBMA. P KANTH. RAJI IND,V.A GEORGE. IND,)snoitatS,rof noitpo,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
301,215M,177,0,189,1,2,1,0,2,14,1,0,2,0,389,0,4,393,0
302,215AW,182,3,184,1,0,0,0,3,9,1,2,0,0,385,0,5,390,0
303,216M,163,2,221,2,1,0,2,0,33,5,1,3,0,433,0,6,439,0
304,216AW,212,2,216,2,1,1,0,1,12,2,0,1,0,450,0,2,452,0
305,217,252,4,424,1,2,0,0,0,32,4,2,3,2,726,0,9,735,0
306,218M,172,4,236,1,1,1,0,2,43,2,0,0,0,462,0,4,466,0
307,218AW,197,5,230,1,4,0,1,0,16,1,1,4,2,462,0,7,469,0
308,219,320,3,318,3,1,1,0,0,54,9,0,2,0,711,0,6,717,0
309,220,321,3,306,3,15,0,0,0,54,4,1,1,1,709,0,7,716,0
310,221,343,1,358,1,7,0,1,1,81,1,0,1,0,795,0,2,797,0
311,222,148,0,364,2,2,0,0,0,16,7,0,2,1,542,0,2,544,0
312,223,203,0,302,2,3,1,0,0,27,3,0,3,1,545,0,3,548,0
313,224,324,3,216,0,4,0,1,0,31,3,1,0,2,585,0,5,590,0
314,225,276,4,238,1,3,0,2,0,32,2,1,1,2,562,0,6,568,0
315,226M,193,1,176,0,2,1,0,1,22,5,0,1,2,404,0,3,407,0
316,226AW,235,1,176,3,0,1,0,0,8,3,2,1,0,430,0,3,433,0
317,227,299,0,238,4,1,1,0,0,29,3,0,2,1,578,0,7,585,0
318,228,332,5,249,3,4,0,0,1,39,6,1,6,4,650,0,13,663,0
319,229,196,3,114,1,0,0,1,1,21,7,1,2,0,347,0,3,350,0
320,230M,239,1,177,0,1,0,2,0,30,1,1,0,0,452,0,1,453,0
321,230AW,260,2,178,0,0,0,0,1,19,2,3,2,1,468,0,5,473,0
322,231M,354,6,153,2,3,0,0,0,32,3,1,0,0,554,0,2,556,0
323,231AW,383,19,123,2,4,0,2,1,9,2,0,5,4,554,0,18,572,0
324,232,436,6,324,3,1,1,1,5,28,3,5,3,3,819,0,18,837,0
325,233,283,1,72,0,0,0,0,1,1,1,0,1,0,360,0,3,363,0
326,234,302,2,113,1,1,0,0,0,13,0,0,0,1,433,0,8,441,0
327,235,298,5,210,0,1,0,0,0,31,3,2,1,2,553,0,3,556,0
328,236,313,4,267,0,3,0,1,0,27,3,1,1,0,620,0,9,629,0
