Sl. No,Polling Station No,MAULAANA.JMH AASSAN National Congress Indian,VELU.C Party Samaj Bahujan,KANCHANA.R Murpokku Katchi Makkal Tamizhaga,GEETHA Party Generation People’s New,KEERTHANA.M Katchi Tamilar Naam,CHANDRAN.A Katchi Makkal MGR,"® BABU,IAS Dr.SANTHOSH Maiam Needhi Makkal",JAYAKUMARI.V.L REVATHI Ilangyar katchi Tamilnadu,PAUL.J VICTOR of (Athawale) Party Republican India,VENKATESHAN.D Katchi Makkal Arasiyal Anaithu,YESUDASAN.G Independent,KANNAN.K Independent,GOKUL.S Independent,SIVARAMAN.V Independent,AZHAGAN.A TAMIL Independent,MAHALAKSHMI.N Independent,BALAJI MURALI Independent,VIGNESH.M Independent,VETRISELVAN.A Independent,KANNAN.S JOTHI Independent,HARIHARAN.V Independent,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
143,82(A),129,106,1,0,0,15,5,0,28,0,0,0,0,0,0,0,2,1,1,0,0,0,0,288,0,129,417,0
144,83,207,102,0,0,0,26,6,0,63,1,0,0,0,0,0,0,1,1,0,0,0,0,0,407,0,207,614,0
145,83(A),186,90,3,0,0,13,6,1,43,1,0,0,0,0,1,0,1,0,0,0,0,0,0,345,0,186,531,0
146,84,152,152,0,0,0,38,7,0,62,4,0,1,0,0,0,0,0,0,0,0,0,1,0,417,0,152,569,0
147,85,129,171,2,0,0,19,2,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,0,129,515,0
148,85(A),106,180,0,1,0,18,2,0,71,0,0,0,0,0,0,1,0,1,0,0,0,0,0,380,0,106,486,0
149,86,155,147,1,1,0,20,1,1,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,395,0,155,550,0
150,86(A),128,136,0,0,1,16,1,0,67,1,0,0,1,0,0,0,1,1,1,0,0,0,0,354,0,128,482,0
151,87,120,132,2,0,0,9,3,1,66,0,0,0,0,0,0,0,1,1,0,0,0,2,0,337,0,120,457,0
152,87(A),114,121,0,0,0,8,1,0,67,0,0,0,0,1,0,1,0,0,0,0,0,0,0,313,0,114,427,0
153,88,116,162,0,0,0,14,1,0,55,1,0,0,0,0,1,0,2,0,0,0,0,0,0,352,0,116,468,0
154,88(A),86,120,0,0,1,11,0,0,68,5,1,0,0,0,0,1,0,0,0,0,0,0,0,293,0,86,379,0
155,89,99,165,0,0,0,14,3,1,78,4,0,1,0,0,0,0,0,0,0,0,0,1,1,367,0,99,466,0
156,89(A),86,175,1,0,1,14,1,0,81,0,0,1,0,0,1,1,0,0,1,0,0,0,0,363,0,86,449,0
157,90,120,132,1,0,1,21,1,0,71,3,0,0,0,0,0,2,0,0,0,0,0,0,0,352,0,120,472,0
158,90(A),100,135,1,0,2,22,4,2,83,5,0,0,0,0,0,1,0,0,0,0,0,0,0,355,0,100,455,0
159,91,108,82,1,0,2,19,1,0,78,0,0,0,0,0,0,0,0,0,0,0,0,1,0,292,0,108,400,0
160,91(A),91,73,0,0,1,5,2,1,86,2,0,0,0,0,0,0,0,0,0,0,0,0,0,261,0,91,352,0
161,92,31,105,0,0,0,7,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,186,0,31,217,0
162,92(A),35,116,1,0,0,3,0,1,53,0,0,1,0,0,0,0,0,0,0,0,0,0,0,210,0,35,245,0
163,93,85,181,0,0,0,13,1,0,77,1,0,0,0,0,0,0,0,0,1,0,0,0,0,359,0,85,444,0
164,93(A),75,159,1,0,0,7,1,0,66,0,0,2,0,0,0,1,0,2,0,0,0,0,0,314,0,75,389,0
165,94,92,147,0,0,1,17,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,1,0,319,0,92,411,0
166,94(A),82,138,0,0,0,11,1,0,78,1,0,0,0,0,0,0,0,0,0,0,0,`,0,311,0,82,393,0
167,95,103,144,0,0,0,18,3,0,75,1,0,0,0,0,0,0,1,0,0,0,0,0,1,346,0,103,449,0
168,95(A),94,129,2,0,0,14,2,0,86,1,0,0,0,0,0,0,1,0,0,0,0,0,0,329,0,94,423,0
169,9966,79,104,0,0,0,9,1,0,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,79,333,0
170,96(A),57,98,0,0,0,8,1,0,59,1,0,0,0,0,0,0,2,0,0,0,0,0,0,226,0,57,283,0
171,97,94,139,1,0,0,14,4,0,80,4,0,0,0,0,0,0,0,0,1,0,0,0,0,337,0,94,431,0
172,97(A),76,140,2,0,1,6,9,0,77,3,0,0,0,0,0,1,0,0,0,0,0,0,0,315,0,76,391,0
173,98,95,91,0,0,0,26,1,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,95,349,0
174,98(A),68,91,2,0,0,21,2,0,54,1,0,0,0,0,0,0,0,0,0,0,0,1,0,240,0,68,308,0
175,99,142,109,1,0,0,20,3,0,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,346,0,142,488,0
176,99(A),117,113,0,1,0,13,6,0,73,0,0,0,0,0,0,1,0,0,0,0,0,0,0,324,0,117,441,0
177,100,144,100,0,0,0,23,2,0,96,0,0,0,0,0,0,0,0,0,0,1,0,0,0,366,0,144,510,0
178,100(A),135,96,0,0,0,11,4,0,108,1,0,0,1,0,0,1,0,1,0,0,0,1,1,360,0,135,495,0
179,101,124,116,0,0,0,18,5,0,62,1,0,0,0,0,0,0,2,0,1,0,0,0,0,329,0,124,453,0
180,101(A),120,111,0,0,0,11,3,0,76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,322,0,120,442,0
181,102,155,155,0,0,0,20,4,1,88,3,0,0,0,0,1,0,0,0,0,0,0,1,0,428,0,155,583,0
182,102(A),156,126,0,1,2,18,2,1,93,3,0,0,1,0,0,0,1,0,0,0,0,0,0,404,0,156,560,0
183,103,272,154,0,0,2,31,4,0,85,4,0,0,2,0,0,0,1,0,0,0,1,1,1,558,0,272,830,0
184,104,116,101,0,0,0,21,2,0,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,292,0,116,408,0
185,104(A),101,90,1,0,0,20,1,0,50,2,0,0,0,0,0,0,0,0,0,1,0,0,0,266,0,101,367,0
186,105,180,98,1,0,0,37,4,0,23,0,4,0,1,0,0,0,1,1,0,0,0,0,0,350,0,180,530,0
187,105(A),187,98,1,0,0,18,3,1,26,0,7,0,0,1,0,0,0,1,0,0,0,0,1,344,0,187,531,0
188,106,144,78,0,0,0,19,1,0,70,3,0,0,0,0,1,0,1,0,0,0,1,0,0,318,0,144,462,0
189,106(A),151,91,0,0,0,18,1,0,83,3,0,0,0,1,0,1,0,0,0,0,0,1,1,351,0,151,502,0
190,107,192,110,1,1,0,28,1,0,47,1,0,1,0,0,0,0,0,0,0,0,0,0,0,382,0,192,574,0
191,107(A),196,108,0,0,0,23,0,1,71,1,0,0,0,0,0,0,0,1,0,0,1,0,0,402,0,196,598,0
192,108,270,66,1,0,0,35,3,0,24,3,1,0,0,0,0,0,0,0,0,0,0,0,0,403,0,270,673,0
193,108(A),266,92,2,0,0,20,6,0,30,2,1,0,0,0,0,1,2,0,1,0,0,0,0,423,0,266,689,0
194,109,286,74,0,0,0,22,1,0,31,2,1,0,2,0,0,0,0,0,1,0,0,0,0,420,0,286,706,0
195,109(A),270,81,1,0,0,24,2,0,49,0,0,0,0,0,0,1,0,0,0,0,0,0,2,430,0,270,700,0
196,110,331,67,0,0,0,40,1,0,29,6,0,0,1,0,1,0,0,1,0,0,0,0,0,477,0,331,808,0
197,110(A),358,61,2,0,0,20,0,0,29,2,0,1,1,0,0,0,1,0,0,0,0,0,0,475,0,358,833,0
198,111,104,104,0,0,0,12,9,1,66,1,0,0,0,0,0,1,0,0,0,0,0,0,0,298,0,104,402,0
199,111(A),102,98,0,0,1,8,12,0,84,2,0,0,0,0,0,0,0,1,0,0,0,0,0,308,0,102,410,0
200,112,104,118,0,0,0,16,13,1,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,308,0,104,412,0
