Sl. No,Polling Station No,"M.ANANDH,TamilarKatchiNaam-5-","GOPALAKRISHNG.AN,NeedhiMaiamMakkal-6-","M.AYYAPPAN,Independent-8-","GURUMOORTHI,D.Independent-9-","SUBRAMANIAN,P.Independent-01-","P.PRAKASH,Independent-11-","VIJAYAKUMAR,C.Independent-21-",Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
265,206,198,131,25,16,6,0,0,0,0,0,376,0,4,380,0
266,207,190,119,30,32,80,0,0,0,1,0,452,0,8,460,0
267,207(A),191,106,15,32,109,0,3,0,1,1,458,0,6,464,0
268,208,229,151,41,21,91,0,0,0,4,0,537,0,2,539,0
269,209,154,261,34,25,122,1,0,2,2,0,601,0,2,603,0
270,210,326,127,34,17,8,0,2,0,0,1,515,0,2,517,0
271,211,447,182,45,21,10,0,3,0,1,1,710,0,9,719,0
272,212,256,95,18,16,10,0,0,0,0,1,396,0,5,401,0
273,212(A),254,129,25,13,9,0,4,1,1,1,437,0,5,442,0
274,213,325,150,34,29,17,0,1,1,0,0,557,0,5,562,0
275,214,205,84,24,24,5,0,0,0,1,0,343,0,5,348,0
276,214(A),237,75,16,35,9,1,0,1,1,0,375,0,4,379,0
277,215,298,122,28,18,3,1,1,0,0,0,471,0,4,475,0
278,216,277,112,21,16,4,0,0,0,0,0,430,0,4,434,0
279,217,289,149,22,33,8,0,0,0,0,0,501,0,3,504,0
280,218,190,125,51,14,3,0,0,0,1,0,384,0,2,386,0
281,218(A),184,165,23,10,1,0,2,1,0,1,387,0,3,390,0
282,219,175,63,26,13,8,0,0,0,0,0,285,0,2,287,0
283,220,251,78,26,11,3,1,0,1,0,0,371,0,4,375,0
284,220(A),270,108,16,5,10,1,0,0,0,0,410,0,4,414,0
285,221(A),191,79,15,10,7,1,0,0,1,0,304,0,1,305,0
286,221,182,87,12,20,5,0,0,0,0,0,306,0,2,308,0
287,222,202,160,40,6,7,0,1,0,0,1,417,0,3,420,0
288,223,269,125,36,29,7,2,1,0,0,0,469,0,4,473,0
289,224,259,86,48,21,3,0,0,0,0,0,417,0,6,423,0
290,224(A),317,104,32,27,4,2,1,1,0,1,489,0,4,493,0
291,225,240,151,38,11,11,1,0,0,0,0,452,0,8,460,0
292,225(A),238,220,19,24,16,0,0,0,0,1,518,0,6,524,0
293,226(A),288,120,25,22,7,1,1,0,0,0,464,0,12,476,0
