Sl. No,Polling Station No,M. KANDHAN Tamilargal Kalagam NTK,S. SUNDARAM SHUNMUGA Party,S. IYYAPPAN PARAMASIVA Munnettra,Thiyagi,A. PRABAKARAN Katchi doss,LARENEG emaN srotcelE P. VEERAPANDI Katchi,eht ni,N. KUMAR ASHOK,T. KATHIRAVAN,OT ALNT D. KANDASAMY,TRAP,I IRENUGNAN D. BALAJI GNANA,S. MUTHUDURAI,H. MUTHURAJ,K. LENIN,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
190,141A,82,5,87,1,6,217,6,11,3,1,6,2,4,6,1,438,0,4,442,
191,142,154,2,257,2,3,178,1,41,8,2,4,7,0,2,5,666,0,14,680,
192,143,82,2,70,1,3,357,1,14,1,2,2,0,0,1,0,536,0,2,538,
193,144,87,2,243,4,3,92,1,45,50,0,7,2,1,4,0,541,0,3,544,
194,145,277,3,97,1,1,159,5,16,1,0,1,0,1,1,1,564,0,9,573,
195,146,141,3,158,0,1,262,1,60,3,0,1,3,0,1,0,634,0,3,637,
196,147,147,1,299,2,0,146,1,82,43,1,8,0,1,2,0,733,0,12,745,
197,148,188,2,110,1,1,317,1,32,1,1,0,1,0,1,2,658,0,4,662,
198,149,89,2,212,3,0,145,4,28,8,1,2,1,1,3,2,501,0,2,503,
199,150,74,0,28,1,0,339,1,16,0,0,0,0,0,0,0,459,0,0,459,
200,150A,116,1,15,1,0,273,1,10,0,0,1,0,0,0,0,418,0,3,421,
201,151,103,2,207,3,1,271,2,33,1,1,2,0,1,3,0,630,0,2,632,
202,152,54,0,60,0,1,265,1,42,21,4,3,2,0,1,4,458,0,1,459,
203,152A,66,2,82,2,2,271,2,18,12,5,7,2,1,3,0,475,0,8,483,
204,153,57,2,43,1,0,327,2,47,0,1,3,0,1,0,0,484,0,1,485,
205,153A,77,5,64,1,4,306,2,18,2,1,8,6,0,1,1,496,0,0,496,
206,154,104,1,110,0,0,147,0,34,0,6,1,3,0,0,0,406,0,2,408,
207,154A,138,0,118,0,1,142,1,27,1,6,1,2,0,3,1,441,0,3,444,
208,155,27,1,276,0,0,112,1,13,3,0,0,1,1,0,0,435,0,2,437,
209,156,77,0,272,1,3,96,0,94,0,1,0,6,0,2,0,552,0,6,558,
210,157,95,0,168,1,0,147,0,35,0,0,1,1,0,0,0,448,0,2,450,
211,157A,111,1,192,1,1,138,1,21,0,1,1,2,0,4,0,474,0,3,477,
212,158,84,0,213,0,1,44,0,87,5,1,0,3,0,1,0,439,0,5,444,
213,159,150,4,162,2,0,76,1,46,12,0,2,2,0,0,2,459,0,7,466,
214,160,156,1,70,0,1,180,1,31,0,0,1,1,0,0,0,442,0,2,444,
215,160A,166,2,62,6,5,164,1,8,0,0,3,3,1,6,2,429,0,3,432,
216,161,184,1,139,7,0,294,1,27,8,4,4,3,4,10,1,687,0,12,699,
217,162,135,0,73,3,0,178,2,22,0,8,2,0,0,6,0,429,0,2,431,
218,163,97,0,199,0,1,17,1,41,1,0,0,1,0,0,0,358,0,6,364,
219,163A,87,2,172,2,2,15,0,32,0,0,0,0,0,0,0,312,0,3,315,
220,164,105,0,211,0,1,28,0,28,1,0,0,0,1,0,1,376,0,12,388,
221,165,79,3,169,1,0,18,0,56,1,5,5,0,0,0,0,337,0,5,342,
222,165A,100,4,160,0,0,26,0,22,1,0,3,0,0,0,3,319,0,5,324,
223,166,118,2,267,1,3,45,0,38,2,3,0,1,0,0,0,480,0,11,491,
224,167,96,1,311,2,0,39,0,49,0,1,0,1,1,0,0,501,0,8,509,
225,168,69,0,220,0,2,36,0,52,0,0,0,0,0,1,0,380,0,3,383,
226,168A,68,0,202,2,3,26,0,24,0,0,0,0,1,0,0,326,0,8,334,
227,169,85,0,246,2,0,29,1,50,2,5,0,2,1,0,0,423,0,8,431,
228,169A,81,2,227,1,2,23,0,37,3,1,0,1,0,3,0,381,0,8,389,
229,170,64,3,166,0,1,18,1,44,0,0,0,0,1,0,2,300,0,5,305,
230,170A,90,5,167,1,2,20,0,44,1,0,0,2,0,1,1,334,0,4,338,
231,171,82,3,239,0,2,34,0,37,4,3,0,0,1,0,0,405,0,3,408,
232,172,89,2,221,0,4,25,1,42,1,2,1,0,0,0,2,390,0,7,397,
233,173,154,1,127,0,1,277,3,38,0,4,3,1,1,3,2,615,0,4,619,
234,174,199,5,222,1,0,61,0,63,5,5,5,1,1,2,11,581,0,2,583,
235,175,77,0,93,2,0,205,3,29,0,0,1,0,0,1,0,411,0,0,411,
236,175A,87,2,86,1,2,204,3,13,2,1,5,0,0,1,1,408,0,4,412,
237,176,195,5,299,5,2,68,3,78,0,1,3,6,0,1,2,668,0,5,673,
238,177,92,0,136,3,0,172,3,19,0,1,1,0,0,1,1,429,0,1,430,
239,178,251,4,248,3,1,49,0,49,17,1,1,2,1,1,8,636,0,3,639,
