Sl. No,Polling Station No,CHANDRASEKAR DURAI. INC,P BALARAMAN. AIADMK,J ILAVENIL. BHAVANI BSP,D DESINGURAJAN. MNM,A MAHESWARI. NTK,RAJA PON. AKMK,V VIJAYAKUMAR. AMGRDMK,S PRIYADHARSHAN. ASHOK IND,C.H KUMAR. SAMBATH IND,K SUGUMAR. IND,Total Valid Votes,Rejected Votes,NOTA,Total Votes
112,100,213,195,2,26,40,18,2,1,0,0,497,0,8,505
113,101,134,134,1,6,26,6,0,2,0,1,310,0,3,313
114,102,198,112,0,18,54,8,0,2,2,0,394,0,6,400
115,102(A),178,109,0,23,31,2,1,1,0,0,345,0,4,349
116,103,347,210,3,24,43,13,0,1,0,1,642,0,7,649
117,104,281,133,1,2,28,3,0,2,1,1,452,0,4,456
118,105,140,152,1,16,30,11,0,0,0,0,350,0,7,357
119,105(A),128,151,2,17,20,13,0,1,0,0,332,0,4,336
120,106,303,129,2,22,49,16,1,0,0,2,524,0,2,526
121,107,222,151,1,19,48,8,1,0,0,0,450,0,6,456
122,107(A),206,183,4,19,29,7,2,0,1,1,452,0,4,456
123,108,238,221,3,17,32,6,0,0,0,1,518,0,5,523
124,109,291,143,3,10,50,2,1,1,0,0,501,0,5,506
125,110,151,149,0,25,26,5,0,0,0,0,356,0,2,358
126,111,299,229,1,53,68,14,0,0,0,1,665,0,4,669
127,112,200,129,0,16,41,4,0,0,0,1,391,0,4,395
128,112(A),177,143,1,17,28,5,0,0,1,0,372,0,0,372
129,113,241,139,2,20,63,2,0,0,0,1,468,0,7,475
130,113(A),206,129,4,20,34,2,2,0,1,0,398,0,6,404
131,114,153,148,2,17,38,5,1,0,0,0,364,0,6,370
132,114(A),172,166,6,19,27,3,0,1,0,0,394,0,3,397
133,115,205,115,4,26,25,0,1,1,0,0,377,0,7,384
134,116,125,45,0,8,19,3,0,0,0,0,200,0,2,202
135,117,204,73,4,13,28,1,0,1,0,0,324,0,4,328
136,117(A),181,97,4,22,23,3,1,0,0,0,331,0,6,337
137,118,247,99,3,19,41,3,0,0,0,0,412,0,2,414
138,118(A),198,111,1,24,24,1,0,1,0,1,361,0,0,361
139,119,197,160,0,17,51,6,1,3,0,0,435,0,1,436
140,119(A),191,190,1,19,41,3,0,1,0,1,447,0,8,455
141,120,287,223,4,15,56,3,1,2,0,1,592,0,6,598
142,121,225,138,1,14,33,8,0,0,0,0,419,0,3,422
143,121(A),251,184,2,4,26,7,3,1,0,0,478,0,5,483
144,122,304,325,4,38,63,13,2,0,0,0,749,0,4,753
145,123,258,188,0,11,30,16,1,1,1,1,507,0,4,511
146,124,243,217,3,25,64,9,0,4,1,0,566,0,6,572
147,125,235,212,0,2,19,7,0,0,0,0,475,0,6,481
148,126,208,150,1,45,38,3,2,1,0,0,448,0,5,453
149,127,272,179,1,36,52,10,0,2,0,0,552,0,5,557
