Sl. No,Polling Station No,P KRISHNAGOPAL Dravida Kazhagam Murpokku Desiya,K UMARANI Katchi Jananayaka Indiya,KANIMOZHI.P Katchi Tamilar Naam,SAKTHIVEL.M (Marxist‐Leninist)(Liberation) India of Party Communist,VARADAN.M Party Shakti Jan Lok,V ARPUTHASAMY Independent,S ILANGOVAN Independent,C ELAYARAJA Independent,P KRISHNA KARTHICK Independent,A PRIYA SATHYA Independent,V CHANDRASEKAR Independent,T CHITHAIYAN Independent,P CHINNAN Independent,P SUBRAMANIAN Independent,P DAVID Independent,M KUMAR NIRMAL Independent,P KUMAR PRASANNA Independent,P RASU Independent,D JEYAPANDIAN Independent,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
116,92,222,34,221,3,23,0,0,0,0,1,1,1,0,4,0,0,1,0,3,1,0,1,516,0,3,519,0
117,93,274,26,162,2,66,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,1,0,536,0,4,540,0
118,93(A),258,10,226,3,18,0,0,0,1,0,0,0,0,1,0,2,1,1,1,0,1,0,523,0,2,525,0
119,94,276,21,225,2,59,0,0,0,1,1,0,1,2,2,1,1,0,0,2,0,0,0,594,0,6,600,0
120,95,174,24,137,1,96,2,0,0,1,0,0,0,1,1,1,1,2,1,2,0,1,0,445,0,1,446,0
121,95(A),165,17,200,0,40,0,0,0,0,0,0,0,0,8,0,2,0,2,2,1,1,1,439,0,3,442,0
122,96,138,53,181,4,55,1,0,0,0,0,1,0,0,3,1,1,1,0,0,0,0,0,439,0,5,444,0
123,96(A),140,29,294,2,15,0,0,0,1,1,0,2,1,3,0,1,0,0,1,1,0,0,491,0,3,494,0
124,97,193,39,168,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,467,0,7,474,0
125,97(A),177,23,234,1,34,0,0,1,2,0,1,1,0,1,2,2,2,0,0,0,1,0,482,0,2,484,0
126,98,206,18,147,2,60,3,0,0,1,0,5,0,1,4,0,0,2,1,23,0,2,1,476,0,1,477,0
127,98(A),221,22,196,8,40,1,1,0,0,1,3,0,2,6,0,3,2,0,22,1,0,0,529,0,0,529,0
128,99,202,13,114,1,48,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,382,0,5,387,0
129,99(A),218,8,161,5,25,0,0,0,2,0,0,2,0,3,0,3,2,0,5,0,0,1,435,0,2,437,0
130,100,142,28,212,1,37,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,425,0,4,429,0
131,100(A),111,16,251,5,14,1,0,1,1,0,0,0,2,3,0,2,3,1,3,1,0,0,415,0,2,417,0
132,101,252,23,117,3,34,0,0,0,0,0,4,0,1,0,0,0,0,2,2,0,0,0,438,0,1,439,0
133,101(A),227,12,178,1,10,0,1,0,1,0,4,0,0,4,1,1,4,2,3,0,0,0,449,0,1,450,0
134,102,148,33,115,2,50,0,0,0,0,0,2,0,0,1,0,1,0,0,2,0,0,0,354,0,4,358,0
135,102(A),187,13,126,4,29,2,0,0,0,0,2,1,0,3,1,0,1,0,1,0,0,0,370,0,7,377,0
136,103,305,25,240,11,75,1,0,2,2,2,0,0,1,0,2,1,2,1,5,1,1,0,677,0,5,682,0
137,104,371,28,267,1,72,0,0,0,2,0,2,0,4,3,0,1,1,0,0,0,0,0,752,0,5,757,0
138,105,208,9,151,0,48,0,0,0,0,1,0,0,1,0,0,0,2,0,0,3,0,0,423,0,3,426,0
139,106,197,31,152,0,45,0,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,1,432,0,8,440,0
140,107,308,17,222,0,45,0,0,0,1,0,0,0,1,0,0,1,3,0,1,1,1,0,601,0,2,603,0
141,108,201,18,108,3,36,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,371,0,3,374,0
142,108(A),241,10,140,6,27,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,1,0,430,0,3,433,0
143,109,213,54,115,1,29,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,415,0,6,421,0
144,109(A),205,39,147,3,24,1,0,0,1,0,0,0,0,1,1,1,0,0,3,0,0,0,426,0,5,431,0
145,110,287,44,139,6,28,0,0,0,0,0,0,1,0,2,0,1,1,1,2,1,1,0,514,0,6,520,0
146,111,235,27,133,2,48,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,452,0,6,458,0
147,112,376,17,92,5,32,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,527,0,3,530,0
148,113,240,23,69,1,34,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,369,0,2,371,0
149,113(A),228,14,74,2,21,0,0,0,0,0,1,2,1,2,0,3,0,0,0,1,0,0,349,0,5,354,0
150,114,181,13,96,2,19,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,316,0,5,321,0
151,115,181,21,127,1,54,2,0,0,0,0,1,0,9,0,0,1,1,0,1,1,0,0,400,0,3,403,0
152,115(A),155,21,145,1,37,0,0,0,1,0,0,0,13,2,0,1,0,0,0,2,0,0,378,0,7,385,0
153,116,278,30,105,0,38,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,456,0,0,456,0
154,116(A),229,19,177,3,13,1,0,0,1,0,4,0,0,3,1,1,2,0,0,0,0,0,454,0,3,457,0
155,117,179,24,182,2,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,428,0,4,432,0
156,117(A),192,13,202,1,27,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,441,0,1,442,0
157,118,315,41,232,3,56,0,0,1,0,1,2,0,0,0,0,2,0,0,0,0,0,0,653,0,4,657,0
158,119,302,39,142,6,59,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,552,0,6,558,0
159,120,210,11,147,2,86,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,459,0,4,463,0
160,120(A),220,4,183,1,32,1,0,0,1,1,1,0,0,5,0,2,4,1,1,0,0,0,457,0,3,460,0
161,121,217,26,82,1,31,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,358,0,3,361,0
162,121(A),248,16,102,1,12,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,384,0,1,385,0
163,122,323,33,126,5,45,2,0,0,1,0,2,0,1,1,0,4,0,1,0,1,0,0,545,0,4,549,0
164,123,303,29,113,0,30,1,0,0,0,1,0,0,0,3,1,1,2,0,0,1,0,0,485,0,4,489,0
165,124,279,20,121,3,101,1,0,0,0,0,1,1,0,1,2,0,0,2,0,0,0,0,532,0,1,533,0
166,124(A),321,12,165,1,65,0,1,0,0,0,1,0,0,2,0,0,8,0,3,0,1,0,580,0,1,581,0
167,125,168,19,123,0,68,0,0,0,0,0,0,0,1,0,1,1,2,0,3,0,0,0,386,0,4,390,0
168,125(A),188,8,193,2,49,0,1,1,0,0,0,0,2,3,0,0,1,1,0,0,1,1,451,0,3,454,0
169,126,358,29,245,2,90,0,0,0,0,0,0,0,1,2,0,2,3,0,0,0,0,3,735,0,5,740,0
170,127,230,20,117,2,58,0,0,0,0,0,0,1,0,2,1,0,0,0,1,0,0,0,432,0,3,435,0
171,127(A),251,14,139,1,35,1,0,0,1,0,0,1,1,0,0,0,2,1,1,1,0,0,449,0,3,452,0
172,128,216,25,95,1,52,0,0,1,0,0,3,0,0,1,0,0,0,0,1,0,0,0,395,0,5,400,0
173,128(A),241,14,99,6,21,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,386,0,2,388,0
174,129,208,20,109,4,52,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,395,0,9,404,0
175,129(A),186,13,119,6,20,0,0,0,1,0,0,0,2,1,0,1,3,0,1,0,0,0,353,0,2,355,0
