Sl. No,Polling Station No,Rajendran .R DMK,PPN M.P. Panneerselvam,G. Venkatachalam AIADMK,BSPS.Velan,"KMRGMMM.A.Shahjahan,Shahjahan,Ahamed@","N Eswaran, Imaya NTK","R.S. Chakravarthy, Guru MNM",C. Natarajan AMMK,PIMS.Babu,KM Dhesiya Dhurai Murali,"IPA C. Vaathiar, Murugan","Sundaram, M. Shanmuga IND","INDR.Kumar,Senthil",N. Devaraj IND,M.R. Nawazudieen IND,R. Palanisamy IND,"INDA.Kumar,Ramesh",P. Ramachandran IND,S. Rajasekar IND,T. Vijayaraj IND,Total Valid Votes,Rejected Votes,NOTA,Total Votes
91,57M,267,0,144,0,0,28,32,1,0,0,0,0,0,0,0,0,0,0,0,0,472,2,0,474
92,57A(W),250,0,170,0,0,10,30,0,0,0,0,0,0,1,0,1,0,1,0,0,463,4,0,467
93,58M,192,0,108,0,0,29,24,1,0,0,0,1,0,0,0,0,0,0,0,1,356,6,0,362
94,58A(W),176,0,123,0,0,11,29,0,0,0,0,0,0,0,0,0,1,0,1,0,341,4,0,345
95,59M,217,0,151,0,3,20,33,4,0,0,0,0,0,0,0,0,1,0,0,0,429,3,0,432
96,59A(W),202,1,175,2,0,5,37,4,0,0,0,0,0,0,0,0,0,0,1,0,427,3,0,430
97,60M,236,0,83,0,0,23,15,1,0,0,0,0,0,0,0,0,0,0,0,0,358,2,0,360
98,60A(W),235,0,102,0,1,4,16,0,0,0,0,0,0,0,0,2,1,0,0,0,361,3,0,364
99,61M,232,0,122,0,0,22,33,1,0,0,0,0,0,2,0,0,0,0,0,0,412,3,0,415
100,61A(W),197,2,143,1,1,17,27,0,0,0,0,1,0,1,0,1,0,0,0,0,391,1,0,392
101,62,319,0,151,0,0,24,31,1,0,0,1,1,0,0,1,1,2,0,0,0,532,5,0,537
102,63M,167,0,257,1,0,33,21,4,0,0,0,0,0,0,0,0,0,0,0,0,483,3,0,486
103,63A(W),165,0,264,2,0,15,23,1,0,0,0,0,1,0,0,1,1,0,1,0,474,4,0,478
104,64M,134,0,138,1,0,29,25,3,0,0,0,0,0,0,0,1,0,0,0,0,331,4,0,335
105,64A(W),125,0,161,0,0,12,22,2,0,0,0,0,0,1,0,0,0,0,0,0,323,2,0,325
106,65M,176,1,222,1,0,37,28,1,0,0,0,0,0,0,0,0,2,0,0,1,469,8,0,477
107,65A(W),181,1,229,2,0,16,23,2,0,0,0,0,1,2,0,0,0,0,2,0,459,4,0,463
108,66M,198,1,162,1,0,20,25,3,0,0,0,0,0,0,0,1,1,0,0,0,412,6,0,418
109,66A(W),153,1,209,0,0,14,22,1,0,0,0,0,0,2,0,1,1,0,0,0,404,1,0,405
110,67,311,1,200,0,0,25,12,1,0,0,0,0,0,1,0,0,0,0,0,0,551,0,0,551
111,68,399,3,157,1,0,24,19,1,0,1,0,0,1,1,0,0,0,0,0,0,607,5,0,612
112,69M,195,0,124,3,0,19,27,2,0,0,0,0,0,0,0,0,0,0,0,0,370,2,0,372
113,69A(W),222,0,142,1,1,14,15,1,1,0,0,0,0,1,0,0,1,0,2,0,401,3,0,404
114,70,429,1,184,0,0,34,34,2,0,0,0,0,0,1,0,0,0,0,0,0,685,6,0,691
115,71M,177,0,143,0,0,30,31,2,0,0,0,0,0,0,0,1,0,0,0,0,384,5,0,389
116,71A(W),208,0,175,0,0,14,26,0,0,0,0,0,0,1,0,0,2,0,0,0,426,1,0,427
117,72M,257,2,132,1,0,44,31,3,0,0,0,0,0,0,0,0,0,0,0,0,470,5,0,475
118,72A(W),253,0,183,0,1,15,15,1,0,0,0,0,0,1,0,1,0,0,1,0,471,5,0,476
119,73,305,0,216,1,1,39,17,2,1,0,1,0,0,1,0,3,1,0,1,0,589,4,0,593
120,74M,197,0,107,0,0,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,335,2,0,337
121,74A(W),218,0,149,0,0,15,15,0,1,0,0,0,0,0,1,0,1,0,2,0,402,4,0,406
122,75M,216,2,106,2,0,22,6,3,0,1,0,0,0,0,0,0,0,0,0,0,358,1,0,359
123,75A(W),225,3,143,0,0,17,3,2,0,0,0,0,0,0,0,1,0,0,1,0,395,3,0,398
124,76,427,1,221,0,0,34,20,5,0,0,0,1,0,0,0,0,3,0,0,0,712,5,0,717
125,77M,210,0,119,1,0,47,10,1,0,0,1,0,0,0,0,0,2,0,0,0,391,1,0,392
126,77A(W),228,1,162,1,0,15,6,0,0,0,0,0,0,0,0,1,1,0,0,0,415,0,0,415
127,78,279,0,111,0,0,23,27,0,0,0,0,0,0,1,0,0,0,0,0,0,441,2,0,443
128,79,334,1,255,0,0,44,29,6,0,0,2,0,0,0,0,0,0,0,0,0,671,2,0,673
129,80,377,1,146,0,1,30,17,1,0,0,0,0,0,0,0,1,1,0,1,0,576,4,0,580
130,81,321,0,107,0,1,27,26,2,0,0,0,0,0,0,0,0,1,1,2,0,488,5,0,493
131,82,346,1,187,1,0,28,33,1,0,0,0,1,0,1,0,1,0,0,0,0,600,3,0,603
132,83M,256,1,102,0,0,21,20,1,0,0,0,0,0,0,0,0,0,0,0,0,401,2,0,403
133,83A(W),266,2,100,1,1,9,10,0,1,0,0,0,1,0,0,0,0,0,0,0,391,2,0,393
134,84,304,2,401,0,0,17,29,2,0,0,1,0,0,0,0,0,1,0,1,1,759,5,0,764
135,85,314,0,195,1,1,14,27,1,0,0,0,0,0,0,0,0,0,0,0,0,553,8,0,561
136,86M,188,0,75,2,0,12,26,0,0,0,0,0,0,0,0,0,0,0,0,0,303,0,0,303
137,86A(W),181,1,115,3,0,5,22,0,0,0,0,1,0,1,0,0,0,0,1,0,330,1,0,331
138,87,317,1,158,0,0,22,25,5,0,0,0,0,0,0,0,0,3,0,0,1,532,2,0,534
139,88,206,1,193,0,0,17,17,1,0,0,1,0,1,1,0,0,1,0,1,0,440,6,0,446
140,89,306,1,248,1,0,16,21,3,0,0,0,0,0,0,0,0,1,0,0,0,597,7,0,604
141,90,205,1,244,1,0,12,38,3,0,1,0,0,1,0,0,0,0,0,0,1,507,7,0,514
142,91M,149,0,169,0,0,16,32,2,0,0,0,0,1,0,0,0,0,0,0,1,370,2,0,372
143,91A(W),118,0,163,1,0,5,36,1,0,0,0,0,0,0,0,1,0,0,0,0,325,3,0,328
