Polling Station No.,Building,Polling Areas
49,"PANCHAYAT UNION MIDDLE SCHOOL ADDITIONAL BUILDING II (RIGHT SIDE), MARADI- 643239","1.ERUMAD(R.V), CHERANGODE (P), WARD NO 20 PANANCHIRA , 2.ERUMAD(R.V), CHERANGODE (P), WARD NO 20 KAPPALA PANIYAN COLONY , 999.OVERSEAS ELECTORS"
50,"PANCHAYAT UNION PRIMARY SCHOOL, ( LEFT SIDE) AMMANKAVU - 643253","1.CHERANGODE(R.V) And (P), WARD NO 9 AMMANKAVU , 2.CHERANGODE(R.V) And (P), WARD NO 9 ODAKKANVAYAL , 3.CHERANGODE(R.V) And (P), WARD NO 9 PANDHAPILAVU , 4.CHERANGODE(R.V) And (P), WARD NO 9 SAKKARAIKULAM , 5.CHERANGODE(R.V) And (P), WARD NO 9 KALPARA , 6.CHERANGODE(R.V) And (P), WARD NO 9 MANGAMVAYAL , 999.OVERSEAS ELECTORS"
51,"GOVERNMENT HIGH SCHOOL NEW BUILDING (LEFT SIDE), AMBALAVAYAL - 643239","1.MOONANAD(R.V), NELAKOTTAH (P), WARD NO 1 CHORUCHI , 2.MOONANAD(R.V), NELAKOTTAH (P), WARD NO 1 ARITHINI , 3.MOONANAD(R.V), NELAKOTTAH (P), WARD NO 1 PALATHOTTAM , 4.MOONANAD(R.V), NELAKOTTAH (P), WARD NO 1 IRANI , 5.MOONANAD(R.V), NELAKOTTAH (P), WARD NO 1 THUNAMVAYAL , 6.MOONANAD(R.V), NELAKOTTAH (P), WARD NO 1 IRUMUDI , 7.MOONANAD(R.V), NELAKOTTAH (P), WARD NO 1 MANGODU , 8.MOONANAD(R.V), NELAKOTTAH (P), WARD NO 1 KOZHIMEDU , 9.MOONANAD(R.V), NELAKOTTAH (P), WARD NO 1 AMBLAVAYAL , 999.OVERSEAS ELECTORS"
52,"GOVERNMENT HIGH SCHOOL NEW BUILDING (RIGHT SIDE), AMBALAVAYAL - 643239","1.MOONANAD(R.V), NELAKOTTAH (P), WARD NO 1 AMBALAVAYAL , 2.MOONANAD(R.V), NELAKOTTAH (P), WARD NO 1 VELLANKOLLI , 3.MOONANAD(R.V), NELAKOTTAH (P), WARD NO 1 THIRUKAIPATRA , 4.MOONANAD(R.V), NELAKOTTAH (P), WARD NO 1 VEETIPURA , 5.MOONANAD(R.V), NELAKOTTAH (P), WARD NO 1 KUVAKOLLI , 6.MOONANAD(R.V), NELAKOTTAH (P), WARD NO 1 BUDHAMOOLA , 7.MOONANAD(R.V), NELAKOTTAH (P), WARD NO 1 KUTHIRAVATTAM , 999.OVERSEAS ELECTORS"
53,"PANCHAYAT UNION PRIMARY SCHOOL ADDL. NEW BUILDING, AMBALAMOOLA - 643239","1.MOONANAD(R.V), NELAKOTTAH (P), WARD NO 3 AMBALAMOOLA , 2.MOONANAD(R.V), NELAKOTTAH (P), WARD NO 3 PARIVARAM , 999.OVERSEAS ELECTORS"
54,"PANCHAYAT UNION PRIMARY SCHOOL ADDL. BUILDING (RIGHT SIDE) , AMBALAMOOLA - 643239","1.MOONANAD(R.V), NELAKOTTAH (P), WARD NO 3 THOMARIMADU , 2.MOONANAD(R.V), NELAKOTTAH (P), WARD NO 3 NARIKOLLI , 3.MOONANAD(R.V), NELAKOTTAH (P), WARD NO 3 KOZHICHAAL , 999.OVERSEAS ELECTORS"
55,"PANCHAYAT UNION PRIMARY SCHOOL ADDL. BUILDING( LEFT WING) , AMBALAMOOLA - 643239","1.MOONANAD(R.V), NELAKOTTAH (P), WARD NO 2 AMBALAMOOLA , 2.MOONANAD(R.V), NELAKOTTAH (P), WADR NO 3 MADHUVANTHAL , 3.MOONANAD(R.V), NELAKOTTAH (P), WARD NO 3 ERUTHALODU , 4.MOONANAD(R.V), NELAKOTTAH (P), WARD NO 3 VERAMANGHA , 5.MOONANAD(R.V), NELAKOTTAH (P), WARD NO 2 VITTAKOLLI , 999.OVERSEAS ELECTORS"
56,"PANCHAYAT UNION PRIMARY SCHOOL ADDL. BUILDING( LEFT SIDE), AMBALAMOOLA - 643239","1.MOONANAD(R.V), NELAKOTTAH (P), WARD NO 2 PANNIKKAL , 2.MOONANAD(R.V), NELAKOTTAH (P), WARD NO 3 NELLIMADU , 3.MOONANAD(R.V), NELAKOTTAH (P), WARD NO 2 NELLIPURA , 4.MOONANAD(R.V), NELAKOTTAH (P), WARD NO 2 MULLAN VAYAL , 5.MOONANAD(R.V), NELAKOTTAH (P), WARD NO 2 THOTTAPURA , 999.OVERSEAS ELECTORS"
57,"GTR SCHOOL ( RIGHT SIDE), KOTTATTY - 643240","1.MOONANAD(R.V), NELAKOTTAH (P), WARD NO 5 CHEMBAKAPPALI , 2.MOONANAD(R.V), NELAKOTTAH (P), WARD NO 5 SOLAKADAVU , 3.MOONANAD(R.V), NELAKOTTAH (P), WARD NO 5 KOTTADU , 4.MOONANAD(R.V), NELAKOTTAH (P), WARD NO 5 CHERUKUNNU , 999.OVERSEAS ELECTORS"
58,"GTR SCHOOL ( LEFT WING), KOTTATTY - 643240","1.MOONANAD(R.V), NELAKOTTAH (P), WARD NO 5 KOTTADU , 2.MOONANAD(R.V), NELAKOTTAH (P), WARD NO 5 KANAIYAMVAYAL , 3.MOONANAD(R.V), NELAKOTTAH (P), WARD NO 5 KARUTHAMKUNI , 4.MOONANAD(R.V), NELAKOTTAH (P), WARD NO 5 KARUPAMOOLA , 999.OVERSEAS ELECTORS"
