Polling Station No.,Building,Polling Areas
37,"PANCHAYAT UNION PRIMARY SCHOOL, KESAMPATTI ,BLOCK -2 ADDITIONAL BUILDING","1.Manaloor (P) (RV) Ward-2 Manaloor , 2.Manaloor (P) (RV) Ward-2 Kesampatti , 3.minmalaipatti (P) Manaloor (RV) ward-2 kondikkulam , 4.Manaloor (P) meenmalipatti (RV) ward2 thriu vallnthur North , 5.Manaloor (P) meenmalipatti (RV) ward2thruvallnthur south , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
38,"PANCHAYAT UNION PRIMARY SCHOOL, MINNAMALAIPATTI","1.minmalaipatti (P) (RV) ward-2 pottappatti , 2.s.puthur (PU) meenmalipatti (RV) ward2 meenmalipatti North , 3.Manaloor (P) meenmalipatti (RV) ward2 meen mallipatti South , 4.Manaloor (P) meenmalipatti (RV) ward-2 meen malipatti east , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
39,"PANCHAYAT UNION MIDDLE SCHOOL, MELAVANNARRIRUPPU ,BLOCK -2","1.Melavannariruppu union (RV) W-1 melavannariruppu , 2.Melavannariruppu union (RV) W-1 melavannariruppu colany , 3.Melavannariruppu union (RV) W-1 melavannariruppu kalathuveedu , 4.Melavannariruppu union (RV) W-1 melavannariruppu east , 5.Melavannariruppu union (RV) W-1 melavannariruppu south , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
40,"PANCHAYAT UNION MIDDLE SCHOOL, MELAVANNARRIRUPPU ,SOUTH BUILDING","1.Melavannariruppu union (RV) W-2 vellikkunrampatti north , 2.Melavannariruppu union (RV) W-2 vellikkunrampatti south , 3.Melavannariruppu union (RV) W-2 keelavannariruppu north , 4.Melavannariruppu union (RV) W-2 keelavannariruppu south , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
41,"PANCHAYAT UNION PRIMARY SCHOOL, PIRANPATTI ,NEW BUILDING WEST PORTION","1.Piran patti (p) (RV) W-1 piran patti , 2.Ganapathi patti (p) (RV) W-1 thenur , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
42,"PANCHAYAT UNION MIDDLE SCHOOL, GANAPATHIPATTI, , MODEL SCHOOL BUILDING, SOUTH PORTION","1.Ganapathi patti (p) (RV) W-1 ganapathi patti , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
43,"PANCHAYAT UNION MIDDLE SCHOOL, KUNNATHUR, , SSA BUILDING.","1.Kunnathoor (p) Piran patti (RV) K.iyyapatti , 2.Kunnathoor (p) Piran patti (RV) K. kalathupatti , 3.Kunnathoor (p) Piran patti (RV) Kunnathoor , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
44,"PANCHAYAT UNION PRIMARY SCHOOL,S.UTHTHAMPATTI","1.Kunnathoor (p) Piran patti (RV) K.utthampatti , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
45,"PANCHAYAT UNION MIDDLE SCHOOL, NAGAMANGALAM BLOCK -3 ,BLOCK -3","1.Ganapathi patti (p) Piran patti (RV) Thonipatti , 2.Ganapathipatti union Piran patti (RV) Nagamangalam , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
46,"PANCHAYAT UNION MIDDLE SCHOOL, MELAPATTI ,NEW BUILDING","1.Melappatti union (RV) W-1 melappatti west street , 2.Melappatti union (RV) W-1 melappatti north street , 3.Melappatti union (RV) W-1 melappatti south street , 4.Melappatti union (RV) W-1 melappatti east street , 5.Melappatti union (RV) W-2 melappatti pillaiyar patti , 6.Melappatti union (RV) W-2 melappatti pillaiyar patti uranikarai , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
