Polling Station No.,Building,Polling Areas
35,"Sundaravel Middle School,New South Building East Portion,Poolankulam","1.Poolangulam (R.V),Poolangulam (P) Block 5,VattaKinaru St 2. , 2.Poolangulam (R.V),Poolangulam (P) Block5, Middle Poolangulam South St. , 3.Poolangulam (R.V),Poolangulam (P) Block 5, South Poolangulam. , 4.Poolankulam. (R.V),Poolangulam.(P) Block No 6,South Poolangulam. , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
36,"Panchayat Union Primary School,West Portion New North Building,Poolangulam","1.Poolangulam (R.V),Poolangulam (P) Block No 1,Mariyamman Kovil West St. , 2.Poolangulam (R.V),Poolangulam (P) Block No 1,Vedalasamy Kovil West , 3.Poolangulam (R.V),Poolangulam (P) Block no 1,Mariyamman Kovil East . , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
37,"Panchayat Union Primary School,North East Building,Alagapuripabanasapuram","1.Poolangulam (R.V),Poolangulam (P) Block no 6,Gandhi Annanagar , 2.Poolangulam (R.V),Poolangulam (P) Block no 6,Azhapuri Pavanasapuram. , 3.Poolangulam (R.V),Poolangulam (P) Block no 6,Suvishehshapuram , 4.Poolangulam (R.V),Poolangulam (P) Block No 6,Thanga Subramniapuram , 5.Poolangulam (R.V),Poolangulam (P) Block No 6,Tamiloor. , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
38,"Panchayat Union Primary School,Subramaniapuram.","1.Poolangulam (R.V),Poolangulam (P) Ward no 7, Ayothiyapuri Pattinam. , 2.Poolangulam (R.V),Poolangulam (P) Ward no 7, Subramaniapuram. , 3.Poolangulam (R.V),Poolangulam (P) Ward no 7, Backiyalakshmipuram. , 4.Poolangulam (R.V),Poolangulam (P) Ward no 7, Ramanatha puram. , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
39,"Andipatti Panchyat Office,New Building,Karumbanur","1.Andipatti (R.V),Andipatti (P) Ward no 1, Andipatti. , 2.Andipatti (R.V),Andipatti (P) Ward no 2, Harijan Colony. , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
40,"T.D.T.A. Primary School,North Portion,Karumbanur.","1.Andipatti (R.V),Andipatti (P) Ward no 4 ,Subramniapuram. , 2.Andipatti (R.V),Andipatti (P) Ward no 4, Meenatchipuram Karumbanoor. , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
41,"T.D.T.A. Primary School,South Portion,Karumbanur.","1.Andipatti (R.V),Andipatti (P) Block No 4,South Karumbanur. , 2.Andipatti (R.V),Andipatti (P) Block No 3,North Karumbanoor. , 3.Andipatti (R.V),Andipatti (P) Block No 2 Arunthathiyar Colony. , 4.Andipatti (R.V),Andipatti (P) Block No 2,West Karumbanur. , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
42,"Raja Middle School,New Building East Portion,Kaluneerkulam","1.Kaluneerkulam (R.V), Kaluneerkulam (P) Ward no 2, Pallivasal St. , 2.Kaluneerkulam (R.V),Kaluneerkulam (P) Ward no 2, Ambethkar St. , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
43,"Raja Middle School,New Building Western Portion,Kaluneerkulam","1.Kaluneerkulam (R.V),Kaluneerkulam (P) Ward no 3, Gandhiyar St. , 2.Kaluneerkulam (R.V)Kaluneerkulam (P) Ward no 3, Bharathiyar St. , 3.Kaluneerkulam (R.V),Kaluneerkulam (P) Ward No 3, Kamarajar MainRoad. , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
44,"Marava Middle School North New Building East Portion,Kaluneerkulam","1.Kaluneer Kulam (R.V),Kaluneer Kulam (P). Ward No 1,Pillayar Kovil St, , 2.Kaluneer Kulam (R.V),Kaluneer Kulam (P) Ward no 1,Irulappa Samy Kovil St. , 3.Kaluneerkulam (R.V),Kaluneerkulam (P) Ward No 1, Kalloothu Road. , 4.Kaluneerkulam (R..V),Kaluneerkulam (P) Ward No 1,Indra Colony. , 5.Kaluneerkulam (R.V),Kaluneerkulam (P) Ward No 1,Thiruvalluvar St. , 6.Kaluneerkulam (R.V),Kaluneerkulam (P) Ward no 1, Ramasamy Kovil St , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
