Sl. No,Polling Station No,R R. A M K U D K M A D Y A H,S I. H P T S R B O O M,maraganneP C I. A K R S U M D D A N N A,lareneG R N. A G A K H T Z N A L I M,s K G. K I. M N P A M,ot av dil K A. M L I N K M A H S,limaT etov s V I. A R D U N D I A N N A,udaN af N M. A G D N N I I L A V I,evitalsigeL ruov o f K N. A D M N U I R A H D,P N. A G U D R N U I M U R I,A N. A P P A J D N N A I N A Y I,G K. D I. N N I A M,P I. D N N A I M,S Y. M D A S N U I N U M,s e t o V d ali V al t o T,s e t o V d e t c e j e R f o o.,n o ti p o A T O N r o f s e,s e t o V al t o T,s e t o V d e r e d n e T f o o.,Total Valid Votes
307,249,198,8,1,0,18,207,2,2,1,0,3,6,3,0,1,450,0,5,455,0
308,250,447,8,2,0,34,118,15,0,0,0,2,2,0,0,3,631,0,9,640,0
309,251,529,2,2,0,37,198,6,1,2,1,1,5,0,1,4,789,0,14,803,0
310,252,450,5,2,1,40,202,7,2,0,1,3,12,0,2,2,729,0,5,734,0
311,253,328,6,0,0,60,281,2,2,0,0,1,6,2,1,1,690,0,5,695,0
312,254,245,3,0,0,16,109,0,0,0,0,1,6,2,1,1,384,0,3,387,0
313,255,387,19,1,0,41,293,5,0,3,3,2,4,3,0,1,762,0,4,766,0
314,256,296,19,0,1,27,271,11,1,2,3,1,6,0,0,0,638,0,14,652,0
315,257,376,5,0,0,64,148,7,0,1,1,1,1,1,1,1,607,0,18,625,0
316,258,189,10,0,0,38,337,4,1,1,1,3,12,1,1,3,601,0,11,612,0
317,259,230,6,2,0,16,453,7,2,2,4,6,14,2,2,1,747,0,6,753,0
318,260,122,10,0,2,30,625,8,2,0,4,4,16,4,0,0,827,0,2,829,0
319,261,83,3,1,1,10,219,2,0,0,0,1,4,0,0,0,324,0,3,327,0
320,262,223,2,2,1,35,355,10,2,1,2,3,10,0,0,2,648,0,1,649,0
321,263,164,2,0,0,35,287,6,1,0,2,2,14,2,0,1,516,0,3,519,0
322,264,68,0,0,0,13,483,1,1,0,0,0,2,0,0,0,568,0,0,568,0
323,265M,190,2,2,0,28,211,2,0,0,0,0,0,0,0,0,435,0,0,435,0
324,265A(W),162,2,0,1,9,237,2,0,0,0,1,2,0,0,1,417,0,3,420,0
325,266M,189,3,1,0,17,300,3,1,0,1,0,7,0,1,1,524,0,1,525,0
326,266A(W),142,4,0,0,2,253,6,0,0,0,5,10,0,2,1,425,0,2,427,0
327,267,207,3,0,1,23,354,3,0,0,1,3,8,0,1,1,605,0,1,606,0
328,268,156,6,0,0,35,452,4,0,1,2,5,3,0,2,1,667,0,3,670,0
329,269,149,1,0,1,29,279,1,1,1,1,3,3,0,2,0,471,0,2,473,0
330,270,359,7,0,0,32,471,5,1,1,2,3,1,2,0,3,887,0,9,896,0
331,271,173,1,0,0,18,487,4,0,0,1,0,9,1,0,0,694,0,4,698,0
332,272M,157,6,3,0,23,393,3,1,1,0,0,7,1,0,0,595,0,6,601,0
333,272A(W),143,4,1,4,4,326,3,1,1,2,4,6,0,1,0,500,0,5,505,0
334,273,119,17,0,3,9,224,3,1,0,0,2,4,0,0,0,382,0,0,382,0
335,274M,167,15,2,0,26,343,4,0,0,2,0,8,0,1,1,569,0,1,570,0
336,274A(W),136,7,3,0,12,282,3,1,0,1,4,14,1,1,0,465,0,6,471,0
337,275,243,9,0,2,41,525,6,0,1,0,0,27,3,3,0,860,0,6,866,0
338,276M,89,11,0,1,22,370,3,0,0,0,0,1,1,1,0,499,0,6,505,0
339,276A(W),100,6,0,0,11,297,0,1,1,1,2,12,0,0,1,432,0,0,432,0
340,277,126,5,1,0,31,413,6,1,1,0,4,7,0,1,0,596,0,0,596,0
341,278,151,1,0,3,14,300,5,0,0,0,0,6,1,0,1,482,0,3,485,0
342,279,185,9,1,0,26,397,2,0,0,2,1,22,1,0,1,647,0,6,653,0
343,280,88,3,1,2,16,400,7,0,0,3,6,6,0,0,1,533,0,5,538,0
344,281,72,2,0,1,15,486,1,0,0,0,0,4,0,0,0,581,0,0,581,0
345,282,218,7,0,0,19,409,9,2,0,1,1,9,0,1,1,677,0,3,680,0
346,283,174,11,0,0,14,318,3,1,0,0,1,17,0,0,1,540,0,5,545,0
347,284,444,18,0,0,103,171,4,1,0,2,3,4,1,1,1,753,0,4,757,0
348,285,171,8,1,3,18,158,0,0,0,0,0,2,0,1,1,363,0,2,365,0
349,286M,175,3,4,3,28,376,0,1,0,1,1,12,0,0,1,605,0,4,609,0
350,286A(W),128,2,0,1,11,328,3,0,0,3,3,14,0,0,0,493,0,3,496,0
351,287,128,9,0,1,10,361,7,0,1,3,3,6,1,1,3,534,0,4,538,0
352,288,145,0,0,0,9,511,3,0,0,0,3,16,0,0,0,687,0,7,694,0
353,289,220,11,0,0,7,166,2,1,0,0,1,7,1,0,3,419,0,7,426,0
354,290,252,5,1,1,32,330,5,1,1,0,2,6,0,1,3,640,0,7,647,0
355,291,384,6,0,1,42,389,3,0,0,0,0,5,2,1,0,833,0,8,841,0
356,292M,149,3,0,0,13,390,0,0,0,0,0,5,1,0,0,561,0,2,563,0
357,292A(W),128,2,0,1,9,367,3,4,0,0,1,10,3,1,3,532,0,2,534,0
