Sl. No,Polling Station No,A.KALAIVANAN Party India My,K.SIVAKUMAR Katchi Makkal Thannurimai Tamilaga,K.CHINNATHAMBI Of (Athawale) Party Republican India,N.SENGOTTUVELL U Party Socialist Ahimsa,P.NATARAJAN Katchi Tamilar Naam,R.JANAGARAJ Maiam Needhi Makkal,A.ESWARAN Independent,K.ESWARAN Independent,G.ESWARAN Independent,M.ESWARAN Independent,S.KARTHIKEYAN Independent,T.SHANMUGASUND ARAM Independent,C.SATHIESHKUMA R Independent,R.CHANDRA Independent,K.SARAVANAN Independent,M.SARASWATHI Independent,C.SENTHILKUMAR Independent,SELVARAMALINGA JALLIKKATTU M Independent,K.R.SELVARAJ Independent,C.BALAMURUGAN Independent,S.BALAMURUGAN Independent,P.BALAJICHEZHIA N Independent,R.RANJIT Independent,K.VELU Independent,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
1,,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
98,80A(W),192,230,2,0,0,0,20,0,13,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,464,0,2,466,0
99,81,206,311,4,0,0,0,58,2,5,0,0,0,0,1,6,4,0,0,0,0,0,0,0,1,1,0,1,0,600,0,5,605,0
100,82,341,202,0,0,1,0,51,0,6,2,1,0,1,3,1,4,0,2,0,0,1,4,0,1,0,1,1,3,626,0,1,627,0
101,83M,195,209,3,0,0,0,62,0,10,2,0,0,1,0,2,4,0,0,0,0,0,2,1,0,0,0,0,0,491,0,4,495,0
102,83A(W),189,270,2,1,0,0,34,0,6,2,0,0,1,1,8,9,3,1,0,0,0,0,0,0,0,0,0,0,527,0,1,528,0
103,84,348,211,3,1,0,2,111,1,13,1,0,0,1,0,1,2,3,0,0,0,0,0,1,0,0,0,0,0,699,0,3,702,0
104,85,314,362,3,0,1,0,87,1,13,3,0,0,1,6,3,13,2,0,1,2,1,0,0,0,0,3,0,1,817,0,9,826,0
105,86,273,322,3,1,1,0,56,0,3,2,0,0,0,2,1,3,1,0,1,0,0,3,0,1,1,0,0,1,675,0,6,681,0
106,87,223,247,3,1,2,1,57,0,2,1,0,0,1,3,0,0,1,1,0,0,0,0,0,7,0,0,0,0,550,0,5,555,0
107,88,278,402,2,3,0,0,91,0,10,3,0,0,0,1,2,4,0,1,0,0,0,0,0,0,0,0,1,1,799,0,2,801,0
108,89,346,329,2,1,0,0,81,1,3,1,0,0,0,0,1,1,2,0,0,0,0,0,1,1,0,0,0,2,772,0,5,777,0
109,90,326,331,4,1,1,0,66,0,3,0,1,1,0,2,6,6,5,1,0,0,1,0,2,2,0,0,1,2,762,0,9,771,0
110,91,335,294,0,1,0,0,50,0,4,0,0,0,1,8,0,3,0,0,0,0,0,0,0,2,0,0,0,1,699,0,7,706,0
111,92M,210,160,0,0,0,0,53,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,429,0,3,432,0
112,92A(W),195,210,2,1,0,0,26,0,13,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,449,0,5,454,0
113,93,305,351,4,0,0,0,68,0,10,5,0,0,0,2,0,3,2,1,0,0,0,0,1,1,0,0,0,0,753,0,5,758,0
114,94M,180,176,1,1,0,0,58,1,13,1,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,436,0,7,443,0
115,94A(W),161,196,1,2,1,0,27,0,12,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,406,0,2,408,0
116,95M,255,197,1,0,1,0,33,2,7,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,501,0,4,505,0
117,95A(W),248,252,3,1,0,0,20,0,7,0,0,0,0,1,2,6,1,2,0,0,1,0,0,0,0,0,0,0,544,0,4,548,0
118,96,200,209,1,2,0,0,29,0,5,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,5,0,1,457,0,3,460,0
119,97,326,284,4,1,1,0,28,0,5,1,1,0,0,2,0,6,1,1,0,0,0,0,1,0,0,0,0,1,663,0,1,664,0
120,98,249,312,1,2,0,0,49,0,8,0,0,0,1,2,3,2,1,0,0,0,0,0,0,0,2,0,0,0,632,0,4,636,0
121,99M,196,228,0,0,0,0,45,0,11,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,485,0,2,487,0
122,99A (W),189,238,2,0,0,0,17,1,13,0,0,0,0,1,2,3,2,1,0,0,0,0,0,1,2,0,0,2,474,0,4,478,0
123,100,183,231,0,2,0,1,46,1,6,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,474,0,3,477,0
124,101,208,299,3,1,0,0,51,2,6,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,574,0,10,584,0
125,102,285,366,2,0,0,1,67,0,18,1,0,0,1,2,1,2,2,0,1,0,0,0,0,1,2,0,0,1,753,0,19,772,0
126,103,199,145,2,1,1,4,51,0,15,1,0,0,0,0,0,3,0,1,0,0,0,0,0,2,0,1,2,1,429,0,12,441,0
127,104,294,306,2,1,0,0,102,1,15,5,0,0,0,0,0,2,1,1,0,1,0,0,0,1,0,2,0,0,734,0,4,738,0
128,105,302,355,8,1,0,0,46,0,8,1,0,0,0,0,4,2,3,1,1,0,0,1,0,1,0,0,1,3,738,0,7,745,0
129,106,267,340,3,2,1,0,31,0,6,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,656,0,7,663,0
