Polling Station No.,Building,Polling Areas
38,"Panchayat Union Primary School,New Southern Building,Melagaram","1.Melagaram (TP) Ward 15 N G O Colony 6th Street , 2.Melagaram (TP) Ward 15 Telephone Exchange Employees Quarters , 3.Melagaram (TP) Ward 15 N.G.O Colony 7th Street , 4.Melagaram (TP) Ward 15 N.G.O Colony 8th Street , 5.Melagaram (TP) Ward 15 N.G.O Colony 9th Street , 6.Melagaram (TP) Ward 15 N.G.O Colony 6th Street Extention 1 , 7.Melagaram (TP) Ward 15 N.G.O Colony 6th Street Extention 2 , 8.Melagaram (TP) Ward 15 N.G.O Colony 6th Street Extention 3 , 9.Melagaram (TP) Ward 15 N.G.O Colony 6th Street Extention 4 , 10.Melagaram (TP) Ward 15 Vivekanantha 5th Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
39,"Anantha Primary School,Southern Building,Chinthamani","1.Tenkasi (M) Chinthamani Street Ward 20 Street 5 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
40,"S.D.A.Matriculation Hr. Sec. School,Northern Portion,Tenkasi","1.Tenkasi (M) Keela Avani Moola Street Ward 14 Street 8 , 2.Tenkasi (M) Keela Ratha Street Ward 14 Street 7 , 3.Tenkasi (M) Mudukku Vinayagar Kovil Street Ward 14 Street 2 , 4.Tenkasi (M) Shenbaga Vinayagarkovil Street Ward 11 Street 4 , 5.Tenkasi (M) Mela Aavani Moola Street Ward 14 Street 6 , 6.Tenkasi (M) Mela Mutharamman Kovil Street Ward 12 Street 4 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
41,"S.D.A.Matriculation Hr. Sec. School,Southern Portion,Tenkasi","1.Tenkasi (M) West Masi Street Ward 20 Street 3 , 2.Tenkasi (M) South Masi Street Ward 21 Street1 , 3.Tenkasi (M) North Ratha Street Ward 14 Street 1 , 4.Tenkasi (M) Mattappa Street Ward 21 Street 5 , 5.Tenkasi (M) Perumal Koil Street Ward 21 Street 2 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
42,"Tmt. Manjammal Govt. Girls Hr. Sec. School,New Southern Building Staff Room,Tenkasi","1.Tenkasi (M) L R Samy Palayam Ward 6 Street 2 Door No 1-341 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
43,"Tmt. Manjammal Govt. Girls Hr. Sec. School,S.S.A. Building Hall No.47,Tenkasi","1.Tenkasi (M) L R Samy Palayam Ward 6 Street 2 Door No 342-954 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
44,"Tmt. Manjammal Govt. Girls Hr. Sec. School,Northern Building,Western Portion,Hall No.2,Tenkasi","1.Tenkasi (M) Ward 1 Street 1 Railway Road , 2.Tenkasi (M) Ward 1 Railway Colony , 3.Tenkasi (M) Ward 4 Street 1 Railway Road , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
45,"Tmt. Manjammal Govt. Girls Hr. Sec. School,Northern Building Middle Portion Hall No.4,Tenkasi","1.Tenkasi (M) Sencottai Road Ward 5 Street 1 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
46,"Tmt. Manjammal Govt. Girls Hr. Sec. School,Northern Building Eastern Portion Hall No.7,Tenkasi","1.Tenkasi (M) Thaika Street Ward 4 Street 2 , 2.Tenkasi (M) Mela Avani Moola Veethi Ward 20 Street 6 Thaika Street Ward 5 Street 2 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
47,"I.C.Iswaran Pillai Govt.Boys Hr. Sec. School,West Side of North Main Building Room No. 1,Tenkasi","1.Tenkasi (M) Ward 1 Street 2 T N H B Colony , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
