Sl. No,Polling Station No,R. SAVITHA,K. ANNADURAI DAVID,M. BHARANIRAJAN,M. PALANIKUMAR,A. MURUGESAN,EMAN,LARENEG V. RAJAMANI,EHT R. REVATHY,V. ARUMUGAM,S SROTCELE P. ILANGOVAN,OT S. PANDIYAN UKKRA,M. KARUNAKARAN,M. SHARMA THAYAL SANKAR,S. SEKAR,. K. PACKIYASELVI,R. BALAMURUGAN,M.M. PILLAI,MARDNUKNARAPURIHT S. MANIKANDAN,M.K. KADAR ABDUL MOHIDEEN,K.R. MURUGAN,M. GUNASEKARAN (A) RADHA,K. RAMACHANDRAN,ednet der,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
73,52,144,135,0,27,22,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,389,0,389,0
74,52(A),153,150,1,13,48,0,2,0,35,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,407,0,407,0
75,53,169,182,0,19,23,1,0,0,120,0,0,3,0,0,0,1,1,0,1,0,0,0,0,2,522,0,522,0
76,53(A),156,259,1,23,17,1,0,0,45,0,1,2,0,0,0,0,1,1,0,0,1,0,0,3,511,0,511,0
77,54,115,106,0,12,26,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,340,0,340,0
78,54(A),130,159,1,13,41,0,0,2,43,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,394,0,394,0
79,55,504,158,0,59,17,0,0,0,27,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,770,0,770,0
80,56,264,351,1,34,56,2,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,805,0,805,0
81,57,117,224,0,27,27,0,0,0,39,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,439,0,439,0
82,58,283,284,1,26,26,0,0,0,38,0,0,2,1,0,1,2,2,0,0,0,0,0,0,4,670,0,670,0
83,59,196,215,2,42,50,1,0,1,54,0,0,0,1,0,0,0,0,1,0,0,0,1,0,4,568,0,568,0
84,60,271,304,1,37,41,0,2,3,102,0,0,6,2,0,0,3,1,0,0,0,0,0,1,9,783,0,783,0
85,61,354,237,0,61,28,0,2,0,60,0,0,2,0,0,0,2,5,2,0,0,0,1,0,6,760,0,760,0
86,62,296,240,1,38,25,0,0,0,71,2,0,2,0,0,0,0,1,1,0,0,0,0,0,6,683,0,683,0
87,63,142,152,1,12,39,1,1,0,35,0,1,1,0,0,0,2,0,0,0,0,0,1,1,7,396,0,396,0
88,64,149,175,1,13,63,1,0,0,41,0,0,0,0,0,0,1,0,1,0,0,0,1,0,4,450,0,450,0
89,65,148,140,2,10,54,0,0,0,40,0,1,0,1,1,0,0,0,0,0,0,0,0,0,6,403,0,403,0
90,65(A),158,160,2,12,58,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,428,0,428,0
91,66,204,249,0,11,82,0,0,0,51,0,0,1,1,0,1,0,0,0,0,0,0,0,0,10,610,0,610,0
92,67,129,121,0,12,33,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,336,0,336,0
93,67(A),108,144,1,7,47,0,0,0,17,0,0,1,2,0,0,0,1,0,0,0,0,0,0,3,331,0,331,0
94,68,125,147,1,20,34,1,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,366,0,366,0
95,68(A),115,146,1,19,35,1,0,0,19,1,0,2,1,0,0,2,0,0,0,0,0,0,0,1,343,0,343,0
96,69,112,144,1,10,28,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,325,0,325,0
97,69(A),90,136,1,10,34,0,0,0,24,0,0,1,0,0,1,0,0,0,0,0,0,1,0,3,301,0,301,0
98,70,97,151,1,11,31,0,0,0,35,0,1,1,1,0,0,1,0,0,0,0,0,0,0,4,334,0,334,0
99,70(A),100,170,0,8,29,0,0,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,339,0,339,0
100,71,127,191,3,11,57,0,0,0,41,0,0,1,0,0,0,0,0,1,0,0,0,0,0,7,439,0,439,0
101,71(A),93,233,2,12,53,2,0,0,19,0,0,2,1,0,0,1,1,2,0,0,0,0,1,11,433,0,433,0
102,72,135,149,0,10,36,0,0,0,30,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,366,0,366,0
103,72(A),129,216,1,15,46,0,0,0,33,0,0,2,0,0,0,1,2,0,0,0,0,0,0,3,448,0,448,0
104,73,161,170,2,15,29,0,0,0,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,419,0,419,0
105,73(A),130,219,3,11,39,0,2,0,23,0,0,0,0,0,0,1,2,0,0,0,0,0,1,4,435,0,435,0
106,74,115,196,2,22,57,3,0,0,32,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9,438,0,438,0
107,74(A),79,272,0,16,53,1,1,0,28,1,0,1,0,0,0,2,1,0,1,0,1,1,0,3,461,0,461,0
108,75,130,179,1,19,47,1,0,0,39,0,0,1,0,0,0,0,0,0,0,0,1,0,0,8,426,0,426,0
109,75(A),107,211,3,14,40,1,0,0,34,0,0,2,0,0,0,1,0,0,0,0,0,0,0,8,421,0,421,0
110,76,112,212,1,21,60,2,0,0,48,0,0,0,0,0,0,3,2,0,0,0,0,0,0,5,466,0,466,0
111,76(A),90,238,4,13,39,1,0,0,27,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5,419,0,419,0
112,77,258,256,0,18,51,1,0,0,55,0,0,0,2,1,0,2,0,1,0,0,0,0,1,8,654,0,654,0
113,78,185,145,1,16,32,0,1,0,65,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,453,0,453,0
114,78(A),160,196,1,14,53,1,0,1,49,2,0,1,0,0,0,0,0,1,0,1,0,0,0,2,482,0,482,0
115,79,174,146,1,10,48,3,0,0,38,0,1,0,1,0,0,1,1,0,2,0,1,1,0,5,433,0,433,0
116,80,166,171,3,14,45,1,0,0,37,0,0,0,0,0,0,3,0,0,0,0,4,0,0,9,453,0,453,0
117,81,146,212,1,9,48,0,0,0,53,0,0,3,0,0,1,0,0,0,0,0,0,0,0,4,477,0,477,0
118,82,247,402,3,28,32,0,0,1,59,1,0,0,2,0,0,0,0,1,0,0,0,0,1,3,780,0,780,0
119,83,278,286,2,24,82,0,1,0,61,0,0,1,0,0,0,1,0,1,2,0,0,0,0,10,749,0,749,0
120,84,226,286,2,21,64,0,0,0,72,0,0,0,0,0,1,2,0,0,0,1,0,0,1,15,691,0,691,0
121,85,262,255,2,17,51,0,0,0,56,0,0,2,0,0,0,0,0,0,0,0,1,0,0,11,657,0,657,0
122,86,224,283,0,33,58,3,1,0,69,0,0,2,0,0,0,0,1,0,0,0,0,0,0,7,681,0,681,0
123,87,155,174,0,16,29,0,0,0,41,0,0,3,0,0,0,0,0,1,0,0,0,0,0,2,421,0,421,0
124,87(A),137,202,1,11,32,2,0,0,33,0,1,0,0,0,0,0,0,0,0,1,2,0,0,3,425,0,425,0
125,88,314,425,5,16,32,2,0,0,45,0,1,1,0,1,2,0,1,1,0,0,0,0,0,5,851,0,851,0
126,89,311,246,3,16,41,6,1,0,50,0,0,0,0,0,1,0,1,0,0,1,0,0,0,7,684,0,684,0
127,90,181,187,3,39,15,12,0,0,55,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,501,0,501,0
128,90(A),165,253,2,34,19,0,0,0,25,0,0,1,3,0,0,0,0,1,0,0,0,0,0,1,504,0,504,0
129,91,205,98,0,8,29,4,0,0,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,384,0,384,0
130,91(A),199,97,3,6,45,9,0,0,22,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,385,0,385,0
131,92,162,137,1,6,41,1,0,0,28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,382,0,382,0
132,92(A),161,127,2,9,36,0,0,0,21,0,0,1,1,0,0,2,0,0,0,0,0,1,0,5,366,0,366,0
133,93,200,281,1,53,34,2,0,0,66,0,0,1,1,0,0,0,3,1,0,0,0,0,0,4,647,0,647,0
134,94,159,112,3,10,31,0,0,0,44,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,366,0,366,0
135,94(A),133,143,0,5,39,0,0,0,23,0,0,0,0,0,1,0,0,1,0,0,1,0,0,4,350,0,350,0
136,95,144,91,0,13,30,0,0,0,44,0,0,3,0,0,0,0,0,0,0,0,2,0,0,4,331,0,331,0
137,95(A),123,98,0,12,34,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,294,0,294,0
138,96,184,138,0,14,48,0,0,0,42,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,434,0,434,0
139,96(A),166,138,1,14,47,1,0,0,16,0,0,0,0,0,1,2,0,0,0,1,0,0,1,4,392,0,392,0
140,97,181,181,0,19,27,1,1,0,45,0,0,0,0,0,1,0,1,0,0,1,0,1,0,7,466,0,466,0
141,97(A),167,282,0,20,27,0,0,0,24,0,0,1,1,1,0,0,0,3,1,1,0,0,1,4,533,0,533,0
142,98,242,363,1,40,34,0,0,0,62,0,0,1,1,0,3,0,0,0,0,0,1,0,0,4,752,0,752,0
143,99,135,163,3,23,26,0,0,0,43,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,398,0,398,0
144,99(A),116,230,3,14,16,0,1,0,27,0,0,0,0,0,0,1,0,2,1,1,1,0,0,2,415,0,415,0
145,100,216,164,1,24,12,0,0,1,52,0,0,0,0,0,0,0,1,0,0,1,3,0,0,2,477,0,477,0
146,100(A),177,260,1,17,21,0,1,0,18,0,1,0,0,0,1,0,1,1,0,0,0,0,1,2,502,0,502,0
147,101,277,259,0,24,42,0,0,0,54,0,0,0,0,0,1,2,1,0,0,0,1,0,0,5,666,0,666,0
148,102,165,178,1,19,35,0,0,0,55,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,456,0,456,0
149,102(A),152,222,0,32,33,0,0,0,28,0,1,0,2,0,2,2,0,1,0,0,0,0,0,4,479,0,479,0
150,103,191,242,1,30,23,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,542,0,542,0
151,103(A),155,334,3,18,26,1,0,1,21,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,565,0,565,0
152,104,102,194,2,10,33,0,0,0,55,0,0,1,0,0,1,0,0,0,0,0,1,1,0,7,407,0,407,0
153,104(A),81,274,0,11,28,0,0,0,25,1,0,0,0,0,0,1,1,2,0,1,0,1,0,2,428,0,428,0
154,105,190,225,2,16,40,1,0,1,92,0,1,1,1,0,0,1,1,0,1,1,2,2,0,5,583,0,583,0
