Sl. No,Polling Station No,Sambathkumar .T DMK,"Palaniswami, K. Edappadi AIADMK",A. Jamuna BSP,"IPA P. Eswari, Worker Social",PIM K.N. Gunasekaran,KMRGM S. Suriyamoorthy,D. Thasapparaj MNM,"N. Sekar, Pookadai AMMK",Dhesiya KM C. Mani,KIT R. Manikandan,Shrirathna NTK,"N Sriramachandran, Agni IND",N. Eswaramurthy IND,P. Eswaramoorthy IND,P. Iyyappan IND,V. Kathiravan IND,L. Kathiresan IND,M. Guheshkumar IND,G. Shanmugam IND,G. Sownthararajan IND,K. Dr.Padmarajan IND,A. Palanisamy IND,J. Balasubramaniam IND,M. Balamurugan IND,M. Murugan IND,G. Lakshmi IND,S. Loganathan IND,A. Stalin IND,Total Valid Votes,Rejected Votes,NOTA,Total Votes
71,61,97,406,1,0,1,0,1,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,513,3,0,516
72,62M,132,363,1,0,0,1,2,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515,4,0,519
73,62A(W),95,327,0,0,0,0,0,3,0,1,5,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,2,1,439,4,0,443
74,63,152,558,6,2,0,0,3,4,0,1,11,2,4,0,5,2,0,1,0,0,1,0,1,0,1,0,1,0,755,1,0,756
75,64,110,385,0,0,0,0,4,0,1,0,15,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,519,2,0,521
76,65M,70,404,1,0,0,0,1,1,0,0,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,502,5,0,507
77,65A(W),57,364,1,0,0,0,0,0,0,0,9,0,0,0,0,0,1,3,0,0,0,0,0,1,1,0,0,0,437,4,0,441
78,66,203,497,2,0,0,0,4,0,0,0,10,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,722,1,0,723
79,67,286,568,2,0,0,0,10,2,0,1,29,0,0,0,3,2,1,1,0,0,0,1,1,0,0,0,2,0,909,5,0,914
80,68,195,521,4,1,0,0,5,1,0,0,20,0,1,1,1,3,1,0,0,0,0,0,1,0,0,0,0,1,756,2,0,758
81,69M,112,354,0,0,0,0,3,2,0,1,39,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,515,1,0,516
82,69A(W),78,293,3,0,1,0,1,0,0,0,15,1,0,0,2,2,1,1,0,0,0,0,0,0,0,0,1,2,401,0,0,401
83,70,145,476,2,0,0,0,12,1,0,1,23,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,663,3,0,666
84,71,122,415,1,0,0,0,2,0,0,1,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,567,3,0,570
85,72M,129,317,1,0,0,0,4,1,0,0,28,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,484,6,0,490
86,72A(W),109,311,3,0,0,0,5,0,0,1,14,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,448,2,0,450
87,73,285,465,3,0,0,0,2,1,0,1,26,2,1,0,3,1,1,1,0,0,0,0,0,0,0,0,1,0,793,1,0,794
88,74,106,293,1,0,0,0,2,1,0,0,9,0,0,0,0,3,2,2,0,0,0,0,3,0,0,0,2,0,424,4,0,428
89,75M,116,403,0,1,1,0,2,6,0,1,17,0,1,0,0,6,0,2,0,0,0,0,1,0,1,0,0,0,558,5,0,563
90,75A(W),79,390,3,0,2,0,3,3,0,0,7,0,1,2,2,1,0,0,0,1,0,0,0,0,0,0,1,1,496,3,0,499
91,76M,188,281,0,0,0,0,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,493,2,0,495
92,76A(W),136,297,1,1,0,1,3,0,0,1,2,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,448,0,0,448
93,77,166,271,1,0,0,0,7,1,0,0,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458,3,0,461
94,78M,122,333,4,0,0,2,2,0,0,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,490,2,0,492
95,78A(W),109,313,1,0,0,1,2,1,0,0,9,0,0,1,3,2,2,0,0,0,0,0,0,0,0,0,1,1,446,1,0,447
96,79,235,486,1,0,0,0,7,0,0,1,10,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,742,5,0,747
97,80M,178,292,0,0,0,0,3,1,0,0,23,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,500,2,0,502
98,80A(W),127,282,3,0,0,0,2,1,1,0,3,0,1,0,2,3,3,4,0,0,0,1,0,0,0,0,1,1,435,3,0,438
99,81,90,202,1,0,0,1,2,0,0,0,9,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,309,1,0,310
100,82,237,431,1,1,0,0,10,0,0,0,10,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,692,1,0,693
101,83M,108,320,0,0,0,0,10,2,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,0,0,464
102,83A(W),89,349,2,1,0,0,17,0,0,1,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,468,0,0,468
103,84,273,380,1,0,0,0,21,2,0,0,33,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,714,6,0,720
104,85,163,380,0,0,0,0,23,1,0,0,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,590,3,0,593
105,86,197,292,0,0,0,0,15,0,0,0,13,1,0,0,1,0,3,3,0,0,0,0,2,0,0,0,0,0,527,3,0,530
106,87,215,396,1,0,0,1,12,2,0,2,20,0,0,0,0,2,2,1,0,1,0,1,0,0,0,0,0,0,656,5,0,661
107,88,151,308,2,0,0,0,10,2,0,1,12,0,0,0,2,0,3,5,0,0,0,0,0,1,0,0,1,0,498,4,0,502
108,89,151,490,2,0,0,0,9,0,0,0,16,0,0,0,2,0,2,3,0,0,0,0,1,0,0,0,1,0,677,0,0,677
109,90M,156,270,2,0,0,0,7,2,0,0,16,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,455,1,0,456
110,90A(W),113,255,0,0,0,1,11,0,0,0,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,388,3,0,391
111,91,241,408,3,0,0,0,15,9,0,1,44,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,726,3,0,729
112,92,145,406,3,0,0,0,24,1,0,0,20,1,0,1,0,0,0,3,1,2,0,0,2,0,0,0,2,0,611,7,0,618
113,93,145,429,4,0,0,0,28,1,0,0,15,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,627,1,0,628
114,94,154,398,0,0,0,0,6,1,0,1,16,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,578,4,0,582
115,95,164,404,1,0,1,0,9,0,0,0,11,0,1,0,1,5,1,0,0,0,0,0,8,0,0,0,0,0,606,2,0,608
116,96,218,567,0,0,0,1,26,1,0,0,25,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,842,7,0,849
117,97,212,374,1,0,0,0,6,2,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608,2,0,610
118,98M,112,315,1,0,0,0,3,2,0,1,10,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,448,3,0,451
119,98A(W),93,326,2,0,0,0,1,2,0,0,5,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,2,437,3,0,440
120,99M,108,352,0,0,0,0,2,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,482,1,0,483
121,99A(W),79,377,2,0,1,0,3,0,0,0,8,0,1,0,0,1,3,1,0,0,0,0,0,0,0,0,2,0,478,1,0,479
122,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,101M,177,322,1,0,0,0,2,1,0,0,10,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,515,0,0,515
124,101A(W),146,335,3,1,0,0,1,0,0,1,3,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,1,0,496,0,0,496
125,102M,168,309,1,0,0,0,7,2,1,0,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,514,5,0,519
126,102A(W),122,338,2,0,1,0,3,1,0,0,9,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,480,5,0,485
127,103,143,347,3,0,1,0,4,10,0,1,16,0,0,0,2,1,0,3,0,0,0,0,0,0,0,1,0,0,532,4,0,536
