Sl. No,Polling Station No,"M.SUBRAMANIAN,(Alias)RAVICPI","M. SELVAKUMAR, DMDK","K.N. VIJEYAKUMAR, AIADMK","B. ALAGUSUNDARAM, KDA","S.EASWARAN,NTK","S.SIVABALAN,MNM","V. SENTHILKUMAR, MDATPA K","K. DEIVASIGAMANI, KMTE","S. UDHAYAKUMAR, IND","T.N. SENTHILKUMAR, IND","R. SENTHILKUMAR, IND","A. SENTHILVEL, IND","S. MURUGAPANDI, IND","M.RANGASAMY,IND",Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
124,86A,1,176,9,212,1,51,48,3,0,0,0,0,1,0,1,503,0,5,508,0
125,87,1,181,9,281,4,79,34,1,0,0,2,1,2,2,2,599,0,7,606,0
126,87A,1,75,3,140,1,50,20,0,0,1,0,0,1,0,2,294,0,1,295,0
127,88,4,192,9,279,0,20,7,2,17,2,3,0,1,0,2,538,0,3,541,0
128,88A,1,106,4,186,1,30,17,0,2,0,1,0,1,0,0,349,0,3,352,0
129,89,0,140,5,207,2,37,32,1,0,0,0,0,1,1,2,428,0,4,432,0
130,89A,1,117,11,197,0,66,37,2,0,0,0,0,0,0,0,431,0,5,436,0
131,90,0,142,7,181,1,61,31,2,0,0,0,0,1,0,1,427,0,4,431,0
132,91,2,159,13,232,1,82,58,0,0,1,0,0,2,1,0,551,0,8,559,0
133,91A,0,46,2,43,1,15,9,0,0,0,1,0,0,0,0,117,0,0,117,0
134,92,0,152,6,309,1,64,49,1,0,3,0,0,1,1,0,587,0,8,595,0
135,93,0,174,2,101,0,25,24,2,0,0,0,1,0,0,1,330,0,1,331,0
136,94,0,123,4,127,1,42,45,0,0,0,0,0,0,1,0,343,0,3,346,0
137,95,1,119,5,194,1,40,23,2,0,1,0,1,1,1,0,389,0,3,392,0
138,95A,1,110,1,194,1,65,22,1,0,0,1,1,1,0,0,398,0,3,401,0
139,96,0,146,7,141,0,37,24,0,0,0,0,1,0,0,1,357,0,1,358,0
140,96A,1,83,2,105,0,18,24,0,0,0,0,0,0,0,0,233,0,0,233,0
141,97,2,171,4,290,2,39,37,2,0,1,0,0,2,0,0,550,0,3,553,0
142,97A,0,50,3,70,1,22,16,0,0,0,0,0,0,0,0,162,0,4,166,0
143,98,0,145,5,221,0,54,31,3,0,1,0,0,1,0,4,465,0,4,469,1
144,99,0,160,11,310,0,69,29,0,0,0,0,0,0,0,1,580,0,5,585,0
145,100,0,118,8,141,1,35,20,0,0,0,0,0,0,0,0,323,0,3,326,1
146,100A,1,127,4,178,1,39,15,1,0,0,0,0,1,2,0,369,0,7,376,0
147,101,0,203,8,301,2,47,35,0,0,0,0,0,1,2,0,599,0,4,603,0
148,102,2,175,11,224,2,72,46,2,1,1,0,0,5,0,0,541,0,3,544,0
149,103,0,180,4,219,0,63,34,1,0,0,1,0,0,0,0,502,0,2,504,0
150,104,1,80,13,141,1,34,25,0,0,0,0,0,0,0,0,295,0,1,296,0
151,104A,0,97,5,186,1,52,22,0,0,0,0,0,3,0,0,366,0,2,368,0
152,105,1,171,8,224,0,50,44,3,1,1,0,0,1,0,1,505,0,1,506,0
153,106,1,199,7,278,0,47,39,0,3,1,0,0,2,0,1,578,0,4,582,0
154,107,0,175,1,106,1,27,25,0,0,0,0,0,1,0,1,337,0,4,341,0
155,107A,1,88,2,135,0,32,17,0,1,0,0,0,0,0,0,276,0,5,281,0
156,108,3,90,3,154,0,44,34,0,0,1,0,1,0,0,0,330,0,5,335,0
157,108A,0,137,7,143,0,61,30,1,0,1,0,0,0,0,0,380,0,6,386,0
158,109,1,191,9,180,1,51,49,1,1,0,0,0,0,2,0,486,0,5,491,0
159,110,0,175,8,265,1,26,28,3,0,0,0,0,3,0,3,512,0,5,517,0
160,111,0,174,10,260,1,97,52,1,0,0,1,0,0,0,1,597,0,4,601,0
161,112,1,192,6,229,1,71,24,0,1,1,0,2,1,0,0,529,0,1,530,0
162,112A,1,117,4,98,0,22,4,0,0,0,2,0,0,0,0,248,0,1,249,0
163,113,0,250,6,296,0,52,48,0,2,0,0,1,3,1,1,660,0,12,672,0
164,114,0,133,7,164,1,36,18,2,0,0,0,0,0,0,1,362,0,2,364,0
165,114A,1,149,5,227,1,34,21,0,1,2,0,0,1,2,2,446,0,4,450,0
166,115,1,101,6,139,2,42,24,0,0,0,0,0,0,0,0,315,0,3,318,0
167,115A,0,121,7,138,0,22,22,0,0,0,0,1,0,3,0,314,0,6,320,0
168,116,0,169,12,223,0,44,30,0,0,0,0,0,2,2,1,483,0,4,487,0
169,117,0,134,7,235,0,78,23,1,0,0,0,0,4,2,1,485,0,4,489,0
170,118,3,262,9,323,4,79,47,3,0,0,1,1,0,1,2,735,0,7,742,0
171,119,0,197,10,211,1,54,35,1,0,1,0,0,0,3,0,513,0,3,516,0
172,120,1,167,6,218,1,30,18,2,0,0,0,0,0,1,0,444,0,3,447,0
173,120A,1,150,8,242,0,47,40,2,0,1,0,0,0,1,1,493,0,6,499,0
174,121,0,215,20,312,3,12,17,0,1,1,0,1,3,1,3,589,0,4,593,0
175,121A,1,197,31,303,2,19,30,1,0,2,0,0,3,2,6,597,0,6,603,0
176,122,1,194,8,335,2,25,12,2,2,0,0,1,1,1,3,587,0,9,596,0
177,123,1,122,8,217,1,55,38,0,0,0,0,0,2,6,0,450,0,3,453,0
178,123A,0,143,6,196,0,61,32,1,0,0,2,0,0,3,2,446,0,9,455,0
179,124,0,141,12,230,0,53,31,2,0,31,0,2,1,0,1,504,0,2,506,0
