Sl. No,Polling Station No,K.YHTAPANAG DMK,SANTHAKUMAR.Y BSP,BENJAMIN.P AIADMK,LAVANYA.P NCP,GANESHKUMAR.G NTK,SHANMUGAM.K TNLK,SUMITHRA.R BDP,MARY.B STELLA NEVIS AMAK,PRIYA.S PADMA MNM,MUTHURAMAN.S AMGRDMK,MURUGAN.E LUCKY AMMK,ABARAJITHAN.R IND,AMALRAJ.S IND,ARUNKUMAR.A IND,GANAPATHY.R IND,SELVAKUMAR.V IND,PRIYA.K IND,MOSES.S BENJAMIN IND,MURUGAN.D IND,RAVI.C.VIND,Total Valid Votes,Rejected Votes,Total Votes
182,121,260,2,128,0,61,1,0,0,52,0,22,0,0,0,0,2,1,1,0,0,530,0,5,535
183,122,217,3,193,1,74,9,0,0,37,0,15,0,0,0,0,1,2,0,1,0,553,0,4,557
184,123 M,141,0,101,0,51,7,0,0,46,0,3,0,0,0,0,0,1,0,0,0,350,0,2,352
185,123 A(W,) 136,0,113,0,35,2,0,0,30,0,7,1,0,0,0,0,1,0,1,0,326,0,2,328
186,124 M,140,0,144,0,39,17,0,0,21,0,7,0,0,0,0,0,0,0,0,0,368,0,2,370
187,124 A(W,) 125,0,144,0,28,15,0,0,25,0,9,2,1,0,1,1,3,0,1,0,355,0,1,356
188,125,215,2,178,0,52,7,0,0,32,0,14,0,2,0,0,1,0,0,0,0,503,0,8,511
189,126 M,129,1,103,0,46,4,0,0,23,0,2,0,0,0,0,0,0,0,0,0,308,0,2,310
190,126 A(W,) 125,0,115,1,15,2,0,1,26,0,9,0,0,0,1,0,1,0,0,0,296,0,2,298
191,127 M,132,0,138,0,39,39,0,0,40,0,7,0,0,0,1,0,1,0,0,0,397,0,3,400
192,127 A(W,) 144,0,165,0,18,22,0,0,22,0,7,2,0,0,0,2,0,1,0,0,383,0,2,385
193,128 M,176,1,111,0,46,13,0,0,42,0,5,0,0,0,0,0,3,0,1,0,398,0,2,400
194,128 A(W,) 135,0,153,2,33,8,0,0,41,0,3,0,0,0,0,0,2,0,0,0,377,0,1,378
195,129 M,167,1,152,0,38,4,0,0,8,0,8,0,0,0,0,0,3,0,0,0,381,0,3,384
196,129 A(W,) 143,1,182,1,21,1,0,0,15,0,3,0,0,0,0,1,2,1,1,1,373,0,4,377
197,130,174,0,198,0,47,9,0,0,36,0,8,0,0,0,0,1,2,0,1,0,476,0,5,481
198,131,282,0,161,2,59,1,0,0,38,2,16,0,0,0,0,0,5,1,1,0,568,0,7,575
199,132 M,148,0,129,0,38,5,0,0,39,0,9,0,0,0,1,0,1,0,0,0,370,0,1,371
200,132 A(W,) 124,0,139,0,18,11,0,0,34,0,3,0,0,0,0,0,0,0,0,0,329,0,1,330
201,133 M,151,0,98,0,54,2,1,0,29,0,7,0,1,0,0,0,0,0,0,0,343,0,0,343
202,133 A(W,) 144,0,120,1,30,2,0,0,26,0,5,1,1,1,0,1,1,0,0,0,333,0,0,333
203,134,281,0,211,0,66,5,0,0,46,7,23,0,0,1,0,1,0,0,0,0,641,0,6,647
204,135,249,0,176,2,68,5,1,0,44,3,20,0,1,2,0,2,0,1,0,0,574,0,3,577
205,136,265,2,188,1,51,4,0,0,93,6,17,0,0,0,0,0,1,0,1,0,629,0,4,633
206,137,125,1,185,0,26,1,0,0,61,0,3,0,0,0,0,0,0,0,0,0,402,0,2,404
207,138 M,137,1,106,0,38,2,0,0,52,1,4,0,0,1,0,1,0,0,0,0,343,0,6,349
208,138 A(W,) 131,0,130,0,24,1,0,0,68,0,5,0,0,0,0,1,0,0,0,0,360,0,7,367
209,139 M,173,0,151,0,37,2,0,0,54,2,10,1,0,0,0,0,1,0,0,0,431,0,3,434
210,139 A(W,) 147,1,174,3,36,4,1,1,42,1,7,0,0,0,0,0,4,0,1,0,422,0,0,422
211,140,244,1,233,0,68,3,0,0,64,0,13,0,0,0,0,2,0,0,0,0,628,0,2,630
212,141,212,0,212,0,59,2,0,0,69,0,3,0,0,0,0,1,0,0,0,1,559,0,4,563
213,142,237,0,269,1,62,7,0,1,39,0,9,0,0,0,1,0,1,0,0,0,627,0,4,631
214,143,294,1,141,0,46,4,0,0,70,0,5,1,0,0,1,1,0,0,0,0,564,0,6,570
215,144,210,0,162,2,36,2,0,0,44,1,13,0,0,0,0,0,1,0,1,0,472,0,1,473
216,145,320,2,191,0,53,12,1,1,71,0,28,0,1,0,0,0,1,0,1,0,682,0,4,686
217,146,258,1,217,2,80,1,0,1,68,0,21,0,0,0,0,1,1,0,0,0,651,0,3,654
218,147,231,0,195,0,74,1,0,1,47,1,17,0,0,0,1,2,1,2,1,0,574,0,4,578
219,148,313,1,162,1,60,5,1,0,47,0,20,0,0,1,0,0,2,0,1,0,614,0,4,618
220,149 M,235,2,127,0,22,2,0,1,26,0,3,0,0,0,0,0,0,0,0,0,418,0,4,422
221,149 A(W,) 261,0,143,1,15,1,0,0,20,0,3,0,0,0,1,0,0,0,1,0,446,0,1,447
222,150,357,0,170,1,28,0,0,0,9,0,6,0,0,0,0,2,3,0,0,0,576,0,1,577
223,151,369,2,193,3,41,0,0,0,14,0,4,0,0,0,0,0,1,1,0,0,628,0,1,629
224,152 M,200,1,161,0,59,2,0,0,53,1,10,0,0,0,0,1,0,0,0,0,488,0,4,492
225,152 A(W,) 183,0,149,1,34,1,0,0,39,1,8,0,1,1,0,1,0,0,0,1,420,0,5,425
226,153 M,196,2,129,1,80,3,1,0,54,0,8,0,0,0,0,0,0,0,0,0,474,0,1,475
227,153 A(W,) 178,0,137,0,47,0,0,0,54,0,3,1,0,0,1,2,1,0,0,0,424,0,2,426
228,154,172,0,155,0,38,1,0,0,41,0,9,0,0,1,0,2,1,0,0,0,420,0,0,420
229,155 M,145,0,91,0,35,0,0,0,30,0,4,0,0,0,1,0,1,0,0,0,307,0,4,311
230,155 A(W,) 136,0,118,0,22,0,0,0,34,0,7,0,0,0,0,0,0,0,0,0,317,0,3,320
231,156,227,2,146,2,37,4,0,1,59,0,7,0,0,0,2,0,1,0,1,0,489,0,2,491
