Sl. No,Polling Station No,NACHIMUTHU S Samaj Party) (Bahujan,MOORTHI.K SIVABALA Mahasabha) Bharat Hindu (Akhil,THANGAVEL.B Party) India (My,POOVENDHAN .T Needhi Maiam) (Makkal,RAJASEKARAN VINOTH .G Tamilar Katchi) (Namm,AZHAGUMALA I.A (Independent,ANANTHAN S.P (Independent),KARUPPUSAM Y.P (Independent),KALIAPPAN.K (Independent),HAMEED SHAHUL (Independent),GOUNDER.P SAMIAPPA (Independent),SIDDIQ.M (Independent),SUDHA.R.B (Independent),SURESH.M (Independent),THANGAVEL.A (Independent),NAGENDRAN. G (Independent),PANDEESWAR AN.M (Independent),PERIYADURAI. M (Independent),MUNISHRAJA. M (Independent),SAHABUDEEN RASULBEEVI (Independent),LATHIKA (Independent),Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
77,64A(W),224,2,183,1,0,11,12,3,0,1,0,0,2,0,0,1,0,0,1,1,0,1,0,0,443,0,4,447,0
78,65 M,152,0,122,1,0,21,33,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,335,0,5,340,0
79,65A(W),186,2,128,3,1,10,7,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,342,0,2,344,0
80,66,378,1,172,3,0,42,49,2,0,0,0,0,0,0,0,2,0,1,1,0,0,0,2,0,653,0,3,656,0
81,67,223,0,114,1,1,22,11,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,376,0,3,379,0
82,68 M,252,0,142,1,0,25,24,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,449,0,5,454,0
83,68A(W),277,1,148,2,1,28,12,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,474,0,2,476,0
84,69,388,0,143,0,0,36,30,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,604,0,6,610,0
85,70,147,1,123,1,0,13,23,2,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,314,0,5,319,0
86,71 M,184,2,189,1,0,16,19,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,415,0,2,417,0
87,71A(W),188,1,177,4,0,12,16,0,0,1,2,1,1,0,0,1,3,1,3,1,0,0,1,0,413,0,4,417,0
